explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max
OCEAN,20,20,30,0.9,1.0,0.3333333333333333,0.5,23.3,12.15,4.9,0.5893267159125886,0.216093079019183,1.0,0.14025669645029232,5.5,0.0,2.260003089904785,-1,-1,-1,-1,-1
FACETIndex,20,20,30,0.9,1.0,0.3333333333333333,0.5,23.3,12.15,4.9,0.5893267159125886,0.216093079019183,1.0,0.1963423560732874,6.0,43.070082664489746,2.257999897003174,-1,-1,-1,-1,-1
OCEAN,20,20,30,0.95,1.0,0.8,0.888888888888889,23.1,12.05,4.9,0.18876616251119444,0.22624438825672788,1.0,0.11715939087813335,4.45,0.0,2.1530003547668457,-1,-1,-1,-1,-1
FACETIndex,20,20,30,0.95,1.0,0.8,0.888888888888889,23.1,12.05,4.9,0.18876616251119444,0.22624438825672788,1.0,0.17047086671284578,5.75,39.986807107925415,3.1880130767822266,-1,-1,-1,-1,-1
OCEAN,20,20,30,0.95,1.0,0.9090909090909091,0.9523809523809523,20.4,10.7,4.9,0.9599231525332856,0.1961299093922933,1.0,0.17082399790134664,5.2,0.0,1.829000473022461,-1,-1,-1,-1,-1
FACETIndex,20,20,30,0.95,1.0,0.9090909090909091,0.9523809523809523,20.4,10.7,4.9,0.9599231525332856,0.1961299093922933,1.0,0.21936253077923734,6.4,40.25154781341553,3.9539997577667236,-1,-1,-1,-1,-1
OCEAN,20,20,30,0.95,0.8333333333333334,1.0,0.9090909090909091,19.0,10.0,4.75,0.3461988304093567,0.17827890513791605,1.0,0.17166922679139268,5.55,0.0,1.6948208808898926,-1,-1,-1,-1,-1
FACETIndex,20,20,30,0.95,0.8333333333333334,1.0,0.9090909090909091,19.0,10.0,4.75,0.3461988304093567,0.17827890513791605,1.0,0.2119009625336233,6.35,38.86532711982727,3.0023224353790283,-1,-1,-1,-1,-1
OCEAN,20,20,30,1.0,1.0,1.0,1.0,22.7,11.85,5.0,-0.009941520467836255,0.22031926714405936,1.0,0.15526505755761133,5.6,0.0,1.9941165447235107,-1,-1,-1,-1,-1
FACETIndex,20,20,30,1.0,1.0,1.0,1.0,22.7,11.85,5.0,-0.009941520467836255,0.22031926714405936,1.0,0.2012647284879887,5.6,41.23053765296936,4.0480005741119385,-1,-1,-1,-1,-1
