,0,1
0,"[0, 0.32857524424171186]","[2144, 0.05526228415982326]"
1,"[0, 0.5867814254956483]","[9457, 0.20741849655730712]"
2,"[0, 1.229965581925603]","[15408, 0.6151436061356607]"
3,"[0, 0.11493319943347655]","[4275, 0.030804447070205458]"
4,"[0, 0.28387496838584036]","[7951, 0.026168821409402288]"
