,0,1,2,3,4,5,6
0,"[0, 0.4428586045045213]","[279, 0.1437980560564158]","[301, 0.12754266153029672]","[371, 0.11866530055441205]",,,
1,"[0, 0.5732588593851983]","[271, 0.037498982390106385]","[288, 0.03653182986476643]",,,,
2,"[0, 0.5527078102794035]","[250, 0.11274738953431625]",,,,,
3,"[0, 0.7240002314990499]","[262, 0.2352704219647822]","[23899, 0.23145096517013986]","[70694, 0.22534685933074228]",,,
4,"[0, 0.9456387723927476]","[277, 0.3236717685584743]","[310, 0.30745136490569136]","[523, 0.28891915786579125]","[648, 0.28820654789462036]","[2572, 0.2788016202328123]","[22709, 0.27017476001631946]"
