,0,1,2,3,4,5,6
0,"[0, 0.2550212870765325]","[194, 0.014444263343685712]","[534, 0.01410680933872478]",,,,
1,"[0, 0.5810919112345333]","[84, 0.2737941170984573]","[173, 0.24893664672102214]","[957, 0.2082719286112376]","[1164, 0.17430843860934475]",,
2,"[0, 0.37562036862191966]","[255, 0.03604976734268224]",,,,,
3,"[0, 0.30291536706032135]","[135, 0.24440964908915955]","[462, 0.23574607174165324]","[879, 0.13274085318690462]","[1036, 0.12769980525954808]","[1297, 0.1070485909725839]","[2571, 0.10560598870755648]"
4,"[0, 0.1976096681805961]","[178, 0.05356955448155427]",,,,,
