,0,1
0,"[0, 0.2550212870765325]","[4471, 0.01410680933872478]"
1,"[0, 0.5810919112345333]","[3346, 0.17430843860934475]"
2,"[0, 0.37562036862191966]","[2545, 0.03604976734268224]"
3,"[0, 0.30291536706032135]","[5023, 0.10560598870755648]"
4,"[0, 0.1976096681805961]","[9016, 0.05356955448155427]"
