,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
0,"[0, 0.24294436922502227]","[260, 0.14027120669571416]","[260, 0.13225688510215977]","[260, 0.13169125657770092]","[260, 0.1316822587596209]","[290, 0.131675060061732]","[343, 0.131662115757238]","[343, 0.13165311594753173]","[369, 0.13164591565604764]","[457, 0.1309779038835982]","[473, 0.13041902128028302]","[473, 0.1304128465948222]","[473, 0.13040672800062522]","[489, 0.13040376056688902]","[489, 0.13039764154635217]","[530, 0.13039689254502443]","[568, 0.13039392488745832]","[586, 0.13038780540533898]","[638, 0.13038665506017516]","[653, 0.13038053523684248]","[742, 0.13018441032561476]","[742, 0.13017828099453632]","[759, 0.13017209488961207]","[776, 0.13016596497861718]","[813, 0.1301629920560067]","[937, 0.13016224170441965]","[2098, 0.12585355944471838]","[2112, 0.12524955904120033]","[2158, 0.12524199060315233]","[2226, 0.1252189191243624]","[2264, 0.12521134883427532]","[2367, 0.12452169480696257]","[2378, 0.12450881926080763]","[2409, 0.12391120245041683]","[2423, 0.12389826346172217]","[2639, 0.12389061247348523]","[4791, 0.12350968454151957]","[4868, 0.12350200948069895]","[4972, 0.12347861289391034]","[5427, 0.1227715057052282]","[5532, 0.1221522665702063]","[9022, 0.1028526904333482]","[9022, 0.09162176683753859]","[9022, 0.09080336756156265]","[9022, 0.09079031762000915]","[9048, 0.09077987631500233]","[9095, 0.0907610997464152]","[9095, 0.09074804372657642]","[9117, 0.0907375975570524]","[9199, 0.08976567165262832]","[9214, 0.0889482187186079]","[9214, 0.0889391649301421]","[9214, 0.08893019290058604]","[9229, 0.08892584141571512]","[9229, 0.08891686804176888]","[9266, 0.08891576961880858]","[9301, 0.0889114174280363]","[9317, 0.0889024425982039]","[9364, 0.08890075544835088]","[9377, 0.08889177954204716]","[9467, 0.08860386669516418]","[9467, 0.08859486070985635]","[9485, 0.08858577080692225]","[9502, 0.08857676298172665]","[9541, 0.0885723941331522]","[9664, 0.08857129143817515]","[10822, 0.08210836088006908]","[10834, 0.08117953277471802]","[10874, 0.08116785516290603]","[10936, 0.0811322513442096]","[10970, 0.0811205669260575]","[11068, 0.08005196424263879]","[11078, 0.0800319347212527]","[11109, 0.07909899237167677]","[11122, 0.07907872147636627]","[11320, 0.07906673358980809]","[13452, 0.07846850754953907]","[13523, 0.0784564264243347]","[13621, 0.0784195915808706]","[14067, 0.0773014043509901]","[14170, 0.07631409260251433]","[17658, 0.07209226469520899]","[17658, 0.07104926481654851]","[17658, 0.0710325857898608]","[17670, 0.05349299461656698]","[17683, 0.05207882367273696]","[17696, 0.052056066775717155]","[17739, 0.04987533297252]","[17798, 0.04981435892304344]","[17798, 0.04979833838370736]","[17914, 0.04878866443104037]","[17914, 0.0487723069766962]","[17929, 0.04875579322590083]","[17944, 0.048739424739641955]","[17977, 0.048731484546530014]","[17992, 0.04871510789245075]","[18140, 0.04870515849146058]","[18333, 0.04642928753436108]","[18333, 0.046412098549977264]","[18347, 0.04639474471392758]","[18360, 0.04637754292688365]","[18429, 0.04636709193641663]","[19548, 0.04579528456825053]","[21078, 0.03987162024053571]","[21078, 0.03476686987675819]","[21105, 0.03251259534607004]","[21162, 0.028892622018416966]","[21233, 0.028802982008231084]","[22199, 0.02689986819354988]","[22547, 0.02239012415758729]","[25135, 0.02088266768386215]"
1,"[0, 0.10867501651908615]","[260, 0.054492238660855126]","[276, 0.0453015122692865]","[276, 0.03061829728365977]","[276, 0.030605644086391187]","[276, 0.030578735733908794]","[276, 0.030566904700423097]","[409, 0.03049271708472449]","[409, 0.03048001175526895]","[409, 0.030452992393896403]","[409, 0.03044111248990794]","[669, 0.025244306942952006]","[686, 0.025212048841161863]","[706, 0.02293011398343547]","[706, 0.022913215590257677]","[706, 0.022877261152222883]","[706, 0.02286144487357532]","[740, 0.022835788754759074]","[841, 0.022814153083775178]","[841, 0.022778042279162348]","[841, 0.0227621570584122]","[862, 0.022761030984197354]","[862, 0.02274513388274751]","[881, 0.022708913326830234]","[900, 0.02269297971545396]","[1125, 0.021590439119584123]","[1125, 0.021573679455692888]","[1140, 0.021535488719747326]","[1154, 0.02151868625820083]","[1199, 0.021517495109576505]","[1220, 0.021500678586295032]","[1262, 0.021462357950899635]","[1941, 0.02143900202242072]","[3317, 0.013595905328984062]","[3335, 0.013535915759705863]","[3356, 0.008565263333842412]","[3356, 0.008519921206815809]","[3356, 0.00842274815673178]","[3356, 0.00837969393189546]","[3453, 0.008249799368145318]","[3453, 0.00814940603700845]","[3453, 0.008104899915270192]","[3475, 0.008101736859977265]","[3475, 0.00805696742135844]","[3496, 0.007954140630527608]","[3516, 0.007908535708380352]","[3639, 0.003996613507875687]","[3639, 0.0039050612558385565]","[3654, 0.0036882424748422194]","[3668, 0.003588832182444208]","[3716, 0.0035816831162897105]","[3738, 0.0034792294874054757]","[3784, 0.0032339862348826757]","[4328, 0.0030751692428589413]","[4844, 0.0029913052626282955]","[4921, 0.002889547977956391]","[5067, 0.002888498707203596]","[9453, 0.002723797684037336]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[0, 0.2630919349253948]","[332, 0.08686931904562581]","[332, 0.027875735573149967]","[353, 0.027677994958958486]","[353, 0.027612268164189616]","[353, 0.027493822387301196]","[394, 0.017937706057260826]","[413, 0.017628841986944137]","[413, 0.017525467697714448]","[413, 0.01733825061293606]","[456, 0.016134009948896084]","[501, 0.015789903363701462]","[501, 0.01567440577687137]","[501, 0.015464795916899898]","[570, 0.015463203153240719]","[570, 0.015250690740151372]","[611, 0.014886179471432275]","[629, 0.014763613632125422]","[745, 0.013464385688541154]","[745, 0.013328752011826907]","[745, 0.013081611004999534]","[821, 0.012654774501747464]","[842, 0.012510366338084018]","[1247, 0.012458200790647923]","[1267, 0.012311487122321515]","[5581, 0.012131893166600276]","[5599, 0.011886848305001176]","[19710, 0.011831603476633933]","[32896, 0.011739920600587078]","[33102, 0.011527757152113832]","[35590, 0.011073104010219194]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[0, 0.675938084607966]","[332, 0.16830340959241635]","[332, 0.1499110212616657]","[332, 0.14700658011604886]","[332, 0.14685699458388007]","[332, 0.14682309181959932]","[332, 0.14682239516751563]","[350, 0.14680328011555846]","[350, 0.14680130650350712]","[368, 0.14680060974803974]","[408, 0.14678166407781665]","[408, 0.14677969017511427]","[425, 0.1467789933170348]","[471, 0.14663243680436158]","[491, 0.14659848210824628]","[511, 0.14659778438878748]","[557, 0.146578640045753]","[578, 0.14657666340898862]","[731, 0.05784179568907164]","[731, 0.057794748995353355]","[731, 0.05741319771820226]","[731, 0.05732642240264168]","[731, 0.05732463813008957]","[750, 0.05727566208003819]","[750, 0.05727060332453503]","[769, 0.0572688173128786]","[818, 0.057232127513786105]","[841, 0.05722706490991645]","[994, 0.03679514186549508]","[994, 0.022169861673060128]","[994, 0.021155260040852924]","[994, 0.02091861517053222]","[994, 0.02091372496501858]","[1012, 0.020788173165345987]","[1012, 0.020783252267439562]","[1029, 0.01969735605622033]","[1046, 0.019442974794568656]","[1063, 0.019437713346015077]","[1103, 0.019292797362820628]","[1121, 0.019277773951687914]","[1254, 0.019273778998622714]","[1298, 0.019127621045199425]","[1298, 0.01911246779718083]","[1317, 0.019107115338477833]","[1397, 0.01794660136574132]","[1445, 0.017667029570291114]","[1927, 0.017480753451159136]","[2346, 0.017298283093593693]","[2364, 0.0172923691044845]","[2431, 0.017129312864406908]","[2447, 0.017112390179523557]","[12250, 0.01605919346266255]","[12250, 0.01574614644692269]","[12250, 0.015739649271427767]","[12270, 0.015572437536478556]","[12270, 0.01556586785525134]","[12289, 0.014083270319092612]","[12308, 0.013725229912003199]","[12327, 0.013717775599453724]","[12371, 0.013511650430571901]","[12391, 0.013490190354753791]","[12532, 0.01348448086367678]","[12576, 0.013274733674310426]","[12576, 0.013252889970621108]","[12595, 0.013245169830281914]","[12682, 0.01150796106423477]","[12736, 0.011066914706125456]","[13260, 0.010767051987212069]","[13679, 0.010468202580253433]","[13697, 0.010458427057681538]","[13764, 0.0101865610724057]","[13780, 0.01015807880119905]","[23767, 0.010122040539537374]","[23785, 0.01009337620093279]","[37893, 0.009961579659560314]","[37934, 0.009448624374504375]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[0, 0.10405171447683531]","[334, 0.06247676124525987]","[334, 0.06199827823340433]","[356, 0.061925058537774885]","[401, 0.058230840397857905]","[419, 0.05770074307905563]","[467, 0.05762206281343471]","[553, 0.031422633971897096]","[553, 0.030460182762768063]","[576, 0.030310874367814964]","[621, 0.02034568050970959]","[642, 0.020121458356774393]","[690, 0.018774762151291365]","[742, 0.018531542430078294]","[867, 0.017656780180178053]","[889, 0.017397938306918954]","[940, 0.01722429903879526]","[940, 0.015821089240804966]","[995, 0.015531684897838485]","[1107, 0.015334222054159337]","[1107, 0.0149992409982172]","[1186, 0.014693658547918863]","[1344, 0.01469289120603643]","[1549, 0.014336853149619092]","[1601, 0.014241640548652373]","[1601, 0.013590565972658215]","[1691, 0.013252541433906355]","[1851, 0.012058897926922848]","[1900, 0.011676617241828799]","[1978, 0.01075979934980401]","[1978, 0.010166638046163284]","[2029, 0.010103605282579798]","[2053, 0.010061032871704439]","[2053, 0.009163077957014787]","[2145, 0.008653806598633901]","[2301, 0.008600269120358366]","[2322, 0.008570007315361908]","[2754, 0.008304051175119842]","[2837, 0.008170424515257384]","[2855, 0.008138564566450636]","[7431, 0.007495059621179904]","[7530, 0.006863110790688929]","[7691, 0.006795480117055809]","[7713, 0.006757140405827585]","[8174, 0.006416477771933787]","[8262, 0.006242576218055333]","[8281, 0.006200818839556351]","[13438, 0.006136728447667937]","[13456, 0.006094245850241346]","[18192, 0.005511922224251713]","[18211, 0.005464584435157617]","[18347, 0.004616021837733151]","[18367, 0.004559391850806013]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
