,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,"[0, 0.32857524424171186]","[208, 0.19826419179534333]","[224, 0.1636788962236859]","[299, 0.16109394043785638]","[376, 0.14939428479717176]","[381, 0.12765076061207858]","[387, 0.12150995872706548]","[616, 0.10299467127364584]","[620, 0.06770499734546993]","[625, 0.05526228415982326]",,,,,,,,,,
1,"[0, 0.5867814254956483]","[206, 0.5371040546272879]","[234, 0.5355935589422444]","[282, 0.5327831147556407]","[333, 0.532715105428012]","[385, 0.5312603337837946]","[708, 0.4945779692507151]","[708, 0.3994013748856813]","[716, 0.39342700422389537]","[730, 0.3198500254324164]","[737, 0.3123577886993278]","[773, 0.3097532615558399]","[1190, 0.3009871903417574]","[1196, 0.29301303408183366]","[1229, 0.2902349617554516]","[1779, 0.2856338593837761]","[1800, 0.28444064989392415]","[1855, 0.23668700236213205]","[1876, 0.23183873620566345]","[3607, 0.20741849655730712]"
2,"[0, 1.229965581925603]","[164, 0.9273771374392817]","[164, 0.8181202183476229]","[206, 0.795867698117854]","[302, 0.7884761523902416]","[5855, 0.7356766868499822]","[5866, 0.7137833812997061]","[5914, 0.6685067421327594]","[6972, 0.6519819928973998]","[14684, 0.6483697911935137]","[14953, 0.6451368533307449]","[16254, 0.6429383866617181]","[16356, 0.6151436061356607]",,,,,,,
3,"[0, 0.11493319943347655]","[168, 0.09156759109629149]","[176, 0.09008049883197095]","[184, 0.08886928012844908]","[264, 0.0873803680539893]","[286, 0.08544657378043874]","[286, 0.08081022886995996]","[294, 0.07912120841250082]","[303, 0.07773942565639669]","[371, 0.06043182028572531]","[384, 0.05046750708932311]","[384, 0.04771626350050847]","[384, 0.04538826371631761]","[394, 0.0444104147482954]","[406, 0.04189913625419563]","[558, 0.040461796213315616]","[571, 0.037688322243632964]","[593, 0.03650479541750014]","[619, 0.03340438248502098]","[711, 0.030804447070205458]"
4,"[0, 0.28387496838584036]","[208, 0.10308562148362266]","[208, 0.077583322828061]","[225, 0.06101491706652791]","[258, 0.06094445883070637]","[323, 0.0551960680949803]","[403, 0.05511817205494107]","[484, 0.054599991670008945]","[499, 0.04903486093762505]","[499, 0.041623397034138476]","[514, 0.026168821409402288]",,,,,,,,,
