,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0,"[0, 0.2550212870765325]","[126, 0.07810874301392814]","[141, 0.0730133555150618]","[141, 0.07299321809680742]","[180, 0.040878755468920114]","[180, 0.04084277724698769]","[198, 0.029968430082338193]","[199, 0.029919334988586923]","[248, 0.01410680933872478]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[0, 0.5810919112345333]","[126, 0.34307029065939076]","[141, 0.31569708733539337]","[141, 0.30856146685393065]","[296, 0.2737941170984573]","[303, 0.24893664672102214]","[1165, 0.22664675574985563]","[1170, 0.1958953481196477]","[1627, 0.17430843860934475]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[0, 0.37562036862191966]","[257, 0.37447190021122423]","[273, 0.3737546329721642]","[286, 0.37353136856669134]","[313, 0.3586925381742061]","[342, 0.35794365277541434]","[515, 0.33233374085986694]","[515, 0.3322515438386247]","[515, 0.33011339330431566]","[531, 0.3296305094485153]","[562, 0.3144468925080392]","[576, 0.31436001857297113]","[590, 0.3124747379777593]","[590, 0.312099319661128]","[783, 0.30964605693746067]","[811, 0.3095578357046604]","[844, 0.3076431280611093]","[853, 0.3074447638554164]","[853, 0.30726180644833445]","[1100, 0.29586350188286753]","[1134, 0.2949551378883671]","[1160, 0.2946721754796232]","[1355, 0.25688713953715153]","[1375, 0.2558404269851269]","[1387, 0.25551415169238717]","[1409, 0.2498235067117876]","[1420, 0.24874707259810447]","[1430, 0.24841148073564326]","[1465, 0.23103367090576585]","[1497, 0.22986926439292793]","[1521, 0.22950607039399634]","[1731, 0.18223980381531038]","[1749, 0.18208986562650648]","[1763, 0.17881543490691676]","[1763, 0.1781585900809147]","[1795, 0.1772622451059936]","[1849, 0.17213985053100703]","[1859, 0.17198110713120152]","[1869, 0.16851036112697762]","[1869, 0.16781318561368777]","[1956, 0.14351620370974347]","[1986, 0.1433257611055771]","[2012, 0.13914206550703334]","[2020, 0.1382969191711557]","[4179, 0.1342337769295037]","[4212, 0.1300294624745662]","[4328, 0.12954881171941038]","[4361, 0.12518725518428828]","[4428, 0.1069853209387975]","[4449, 0.10166028299706023]","[4507, 0.04909818207221782]","[4538, 0.03604976734268224]"
3,"[0, 0.30291536706032135]","[126, 0.2787660783529271]","[126, 0.2780519692365427]","[140, 0.277884001437059]","[140, 0.27723499736238]","[140, 0.27716761970100406]","[198, 0.2725602448574378]","[200, 0.271829833228061]","[222, 0.271658018271406]","[233, 0.27092517425886536]","[266, 0.2708432911601605]","[316, 0.2663253516285757]","[1229, 0.24282578942465086]","[1229, 0.23777608913286863]","[1232, 0.2361499471767215]","[1367, 0.2360868390486704]","[1941, 0.23095269436560745]","[1941, 0.2300902392340507]","[1957, 0.2298872307222278]","[1957, 0.22910230107308446]","[1957, 0.2290207632621632]","[2061, 0.22132489458018695]","[2071, 0.2204247720129928]","[2102, 0.21577259676462132]","[2129, 0.21484921380027636]","[3733, 0.1876744614317807]","[3733, 0.1866120966865705]","[3749, 0.1863617323597043]","[3749, 0.1853926125711526]","[3749, 0.18529184127791232]","[3778, 0.148076674760251]","[3778, 0.13122287474391425]","[3781, 0.12969893604847343]","[3803, 0.1294827750021468]","[3803, 0.12933845008526323]","[3807, 0.12793811073447023]","[3810, 0.12779204132694305]","[3849, 0.11924033995123569]","[3856, 0.11756117483138406]","[3887, 0.11716334958547134]","[3905, 0.11545398062490683]","[3973, 0.10790566730482433]","[4144, 0.10618286625031223]","[4191, 0.10560598870755648]",,,,,,,,
4,"[0, 0.1976096681805961]","[130, 0.17397245471592926]","[130, 0.16990130190267325]","[134, 0.16845288831081956]","[147, 0.15342431731735953]","[167, 0.12355292723361913]","[224, 0.11647551351732761]","[272, 0.0865947509213843]","[272, 0.07275197545650101]","[1674, 0.06350133566346791]","[1684, 0.0634935182208451]","[2129, 0.05357881990428535]","[2139, 0.05356955448155427]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
