,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
0,"[0, 0.4428586045045213]","[307, 0.2779344451095928]","[307, 0.2710687685891186]","[331, 0.2694939928019373]","[331, 0.26842207420205383]","[350, 0.2624075716940624]","[350, 0.2613065851542528]","[421, 0.25979002872318635]","[421, 0.2582395590949805]","[701, 0.257139681260944]","[701, 0.2560160413755008]","[768, 0.24962571943398756]","[768, 0.24869466044941416]","[781, 0.24195809829179052]","[781, 0.24099741837225827]","[821, 0.24089765390394915]","[821, 0.23922476985881455]","[905, 0.23294291399926884]","[905, 0.2312124824486054]","[1152, 0.2277941148092384]","[1152, 0.22754674722178125]","[1461, 0.22182124393123298]","[1850, 0.21315577821218795]","[2373, 0.2066574631728745]","[2415, 0.20345042705797156]","[2448, 0.19749073187351532]","[2448, 0.19396597071681126]","[3257, 0.19139056072646435]","[5475, 0.18151249054707275]","[6974, 0.17129292326947715]","[6974, 0.1709638236343927]","[7419, 0.163879182787032]","[9016, 0.1547431786298468]","[10218, 0.15181527554587324]","[10218, 0.1514438553344379]","[10276, 0.13884739614091904]","[10276, 0.1384411891187086]","[10386, 0.1336066316828063]","[10550, 0.11866530055441205]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[0, 0.5732588593851983]","[307, 0.14935676733486278]","[307, 0.14638924914075407]","[331, 0.14634458347855497]","[357, 0.14331470764993096]","[432, 0.14135899852860503]","[512, 0.1413580309909064]","[558, 0.14131177507604958]","[606, 0.13817158206526212]","[703, 0.12078815469474652]","[703, 0.11709887544223237]","[721, 0.11704303259636355]","[742, 0.11323179674732206]","[811, 0.11323058886733194]","[850, 0.11317283730984537]","[894, 0.10934069251489001]","[894, 0.10922664244603586]","[1004, 0.10919260847364133]","[1084, 0.10652280949207986]","[1110, 0.10640573914260629]","[1227, 0.10515214210983435]","[1250, 0.10503354402611213]","[1364, 0.10225521291109439]","[1858, 0.09671893203667496]","[1858, 0.09207019131938625]","[1878, 0.09199915749128552]","[1899, 0.08709887079853443]","[1969, 0.0870973005034926]","[2008, 0.08702220753643099]","[2050, 0.08197658531183562]","[2050, 0.0818244029601628]","[2168, 0.0787209149744036]","[2192, 0.07856242635513314]","[2344, 0.078178529289306]","[2862, 0.07630037018284865]","[3349, 0.07528437499666843]","[4643, 0.07479118067228382]","[5079, 0.06702345823050247]","[5079, 0.06661774164388276]","[5079, 0.06012081393701639]","[5096, 0.06001197478809806]","[5113, 0.0595585146433532]","[5131, 0.05242836114968991]","[5131, 0.05219008941591067]","[5195, 0.052187468743527414]","[5229, 0.05206204705324814]","[5263, 0.051779956658260996]","[5263, 0.05153868733223445]","[5299, 0.043101655168329915]","[5314, 0.04281150614785769]","[5415, 0.03653182986476643]",,,,,,,,,,,,,,,,,,,,,
2,"[0, 0.5527078102794035]","[227, 0.5181951274919548]","[227, 0.5181941692694707]","[238, 0.516670623218782]","[250, 0.5159913441739844]","[250, 0.5158726962169529]","[275, 0.5131743066657242]","[275, 0.5131733390681166]","[284, 0.5116348422094881]","[295, 0.5108290492597223]","[359, 0.5108051567859894]","[370, 0.5108041847005882]","[394, 0.5092585305520569]","[595, 0.509163807370619]","[1160, 0.4792919152127109]","[1160, 0.4776442984278951]","[1160, 0.4765901886298269]","[1175, 0.47619688663630877]","[1203, 0.475758965718042]","[1203, 0.47575815279548156]","[1216, 0.4748923028076629]","[1334, 0.4743600139903358]","[1334, 0.47423095039504204]","[1392, 0.47383569014636745]","[1504, 0.47320252814034447]","[2190, 0.470015740303739]","[2190, 0.46804776377318685]","[2425, 0.46742789316704697]","[4098, 0.29544950386169244]","[4109, 0.29276909871864526]","[4109, 0.2910448483178039]","[4132, 0.2865520689116788]","[4143, 0.2837876389661311]","[4143, 0.2820084796558018]","[4191, 0.27948070274579534]","[4203, 0.2780028219499716]","[4338, 0.27646941556756177]","[4753, 0.22019525938473747]","[4753, 0.21424902953274977]","[4768, 0.21337271053165305]","[4799, 0.21239357857198063]","[4799, 0.21001229558325865]","[4881, 0.2085124920544805]","[4920, 0.20761196084683878]","[4996, 0.20660552970735518]","[4996, 0.206603657750594]","[5014, 0.20460193232352628]","[5492, 0.20385537490115088]","[5492, 0.2035548705282241]","[5563, 0.1945094379209509]","[5563, 0.19450688509355585]","[5584, 0.19041077748175225]","[5719, 0.1881700311357702]","[7429, 0.16556810528888544]","[7446, 0.1607362228041927]","[7446, 0.15757622091831291]","[7481, 0.15638264719206055]","[7551, 0.15504402910716683]","[7551, 0.15504153460299516]","[7566, 0.15236389587644442]","[7812, 0.1506966501737663]","[7812, 0.1502898925851895]","[7942, 0.14903797756668372]","[8199, 0.1470125509577208]","[9725, 0.1364069412968225]","[9725, 0.1294633796629915]","[10271, 0.12720413834175065]","[14222, 0.12613678471445902]","[15175, 0.12473710959838821]","[15175, 0.12424539408216956]","[15615, 0.12272809333862045]","[21848, 0.11274738953431625]"
3,"[0, 0.7240002314990499]","[307, 0.4902031018505847]","[307, 0.4453219864448088]","[307, 0.4332068708684985]","[307, 0.42250269613191443]","[332, 0.4170555623674915]","[359, 0.40059871457831836]","[359, 0.38708636178290556]","[359, 0.37506824278974527]","[430, 0.37046755362681677]","[685, 0.367614553654089]","[705, 0.36553058724787674]","[705, 0.36519623564276876]","[724, 0.36501960503704267]","[951, 0.3636007250062476]","[1007, 0.3608083033338184]","[1904, 0.3535932717195565]","[2471, 0.35094892729157]","[3885, 0.3479980857347203]","[4202, 0.3390331956260731]","[4202, 0.3388429271361246]","[4202, 0.3314170404703828]","[5473, 0.32797460629666547]","[5473, 0.3270108698762684]","[10002, 0.3235648724666586]","[10393, 0.3207986909140058]","[10803, 0.3173579333351984]","[12448, 0.3151732338386934]","[12465, 0.30268320438556146]","[14296, 0.2945645251501464]","[27400, 0.2928401919931449]","[27576, 0.2907107008791107]","[45177, 0.2825483954428603]","[45177, 0.28232006181120906]","[45177, 0.27336302373410926]","[45464, 0.2715968779360817]","[45464, 0.26273924190102643]","[45464, 0.26227388270393437]","[45481, 0.2620278822613103]","[48222, 0.25825999261731536]","[48222, 0.243537940757499]","[48238, 0.23771245286694467]","[48686, 0.2352704219647822]","[53860, 0.23145096517013986]","[101198, 0.22534685933074228]",,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[0, 0.9456387723927476]","[307, 0.6574426148112539]","[307, 0.639158928179535]","[307, 0.6251349981437975]","[307, 0.6133316768167208]","[307, 0.5982509234807418]","[332, 0.5862511127114272]","[359, 0.5751531926116361]","[359, 0.56230167601913]","[359, 0.5458127852228021]","[430, 0.5418394195983991]","[705, 0.5378970492058646]","[705, 0.5373715031175197]","[927, 0.5338647728240117]","[1736, 0.5315367549625865]","[1802, 0.5312649023806447]","[1821, 0.5265400814701876]","[1839, 0.5260031884057719]","[1893, 0.5220234811769163]","[1908, 0.5166676616661705]","[3302, 0.5130306345918814]","[3302, 0.5045116465126573]","[4166, 0.5030850323906698]","[4166, 0.5011104208455498]","[4186, 0.49835590427018706]","[4186, 0.4913021191472254]","[7294, 0.48880974774248814]","[9201, 0.48824517103282844]","[9743, 0.47597705176857424]","[11456, 0.4751703692710355]","[11491, 0.46481501506698625]","[18635, 0.46428320314587435]","[18790, 0.4591546038414815]","[18980, 0.4582324977787232]","[24414, 0.45724004632093457]","[26899, 0.45707717929004266]","[27589, 0.44450356281209596]","[32655, 0.4420882452582225]","[53511, 0.4281915400983654]","[53511, 0.4179468440471517]","[53744, 0.41394724596932897]","[54492, 0.4125717728415302]","[54515, 0.41172488051326595]","[54515, 0.40105977942300214]","[54537, 0.38559049382270255]","[54537, 0.3741812373217017]","[54824, 0.3660582293618543]","[54824, 0.3652855377672953]","[57353, 0.3645148817458879]","[57353, 0.3485927987992594]","[57369, 0.33471443157860875]","[58095, 0.33356062188795493]","[66206, 0.3214177599713016]","[66206, 0.320537475567796]","[66586, 0.31386970575894263]","[66586, 0.3128133034735733]","[67091, 0.28820654789462036]","[93782, 0.28762524672101614]","[93856, 0.2788016202328123]","[94005, 0.27017476001631946]",,,,,,,,,,,,
