n_samples,n_samples_explained,n_features,n_trees,max_depth,avg_nnodes,avg_nleaves,avg_depth,accuracy,precision,recall,f1,ext_min,ext_avg,ext_max,lb_min,lb_avg,lb_max,bt_min,bt_avg,bt_max,init_time,runtime,order,coverage_ratio,mean_dist,mean_length,dataset
309,5,6,15,3,13.666666666666666,7.333333333333333,3.0,0.8225806451612904,0.9166666666666666,0.8048780487804879,0.8571428571428571,2522,4752.6,8607,2545,4880.2,9016,2545,4880.2,9016,0.24099993705749512,0.8288755416870117,PriorityQueue,1.0,0.0767281116959725,2.2,vertebral
309,5,6,15,3,13.666666666666666,7.333333333333333,3.0,0.8225806451612904,0.9166666666666666,0.8048780487804879,0.8571428571428571,512,930.4,1361,4333,6914.2,9835,248,2548.6,4538,0.24099993705749512,1.1736633777618408,Stack,1.0,0.0767281116959725,2.2,vertebral
309,5,6,15,3,13.666666666666666,7.333333333333333,3.0,0.8225806451612904,0.9166666666666666,0.8048780487804879,0.8571428571428571,350,612.2,823,2545,5236.2,9016,178,940.4,2571,0.24099993705749512,0.9383325576782227,ModifiedPriorityQueue,1.0,0.0767281116959725,2.2,vertebral
