,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,"[0, 0.6367289027991897]","[298, 0.38330749489637767]","[349, 0.3807436888406254]","[349, 0.3807332696314841]","[458, 0.36778342705032824]","[482, 0.3355172854342865]","[533, 0.33258528195550513]","[533, 0.33257335399237303]","[637, 0.27590417173249726]","[659, 0.26713067016957776]","[706, 0.2634386378143459]","[706, 0.2634235788721115]","[779, 0.21738234748447346]","[779, 0.20898863643544244]","[779, 0.2089696537094775]","[848, 0.20879104786003994]","[848, 0.2087720471682138]","[913, 0.2040266860659097]","[927, 0.20400724163458187]","[1027, 0.20172319077131098]","[1027, 0.20116828600090855]","[1238, 0.20096300853612656]","[1421, 0.19732125364024322]","[1421, 0.1967373902091308]","[3154, 0.1939754359045079]","[3154, 0.18452001218195557]","[3154, 0.18449851193964256]","[3216, 0.17911119969497388]","[3229, 0.17908905010772214]","[3307, 0.17624877426933275]","[3307, 0.17561339364930803]","[3468, 0.17143398253348935]","[3468, 0.17076162899034242]","[3912, 0.17053048062504397]","[3925, 0.17050721637080907]","[3947, 0.1681010218304042]","[3973, 0.16807742130559783]","[4049, 0.16466278202056553]","[4076, 0.16463868863382533]","[4107, 0.16214543009585505]","[4415, 0.1617385448848574]","[10877, 0.15580146080359047]",,,,,,,,,,,
1,"[0, 0.33317630182697405]","[298, 0.2635834457462197]","[349, 0.259895771402241]","[349, 0.2577784002612244]","[349, 0.2572867113630989]","[468, 0.25700225653503794]","[468, 0.24957718697255885]","[505, 0.2489524429726114]","[546, 0.24504468568680873]","[546, 0.24279783695868662]","[546, 0.2422757475163775]","[698, 0.24221824328685113]","[841, 0.23948679247634427]","[841, 0.2366528335386674]","[852, 0.08846633484570104]","[852, 0.0804793902331791]","[884, 0.07528441885302518]","[893, 0.06571440917569264]","[941, 0.05854119955051143]","[973, 0.05374962511372882]","[998, 0.051165256908826416]","[1006, 0.03561633565962161]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[0, 0.5189674134963449]","[214, 0.4394556981425775]","[222, 0.38024228542527916]","[243, 0.38002687358045956]","[307, 0.37999360034559204]","[307, 0.37713344273620875]","[373, 0.3769162541572921]","[412, 0.34117192472129715]","[412, 0.3379834012854687]","[440, 0.337741037723273]","[522, 0.3377035981784326]","[535, 0.3344820137901588]","[614, 0.33423711129528855]","[691, 0.28534666633832517]","[691, 0.2815265836770218]","[723, 0.274350115258849]","[723, 0.27037470863415364]","[755, 0.27007167953508676]","[841, 0.2700248576467907]","[856, 0.26598481361466725]","[938, 0.26567677747881624]","[994, 0.2588567313222822]","[1001, 0.25463955835124263]","[1046, 0.2543177809261772]","[1151, 0.2542680580715596]","[1178, 0.24997348395768246]","[2619, 0.24703862933835294]","[2706, 0.2467069382957668]","[2771, 0.23934696710549527]","[2779, 0.2347796157869306]","[2826, 0.23443058035793432]","[2940, 0.23437663848435247]","[2969, 0.22971048298605046]","[4453, 0.2244090185256599]","[5166, 0.22273967685117202]","[5208, 0.22273668818309578]","[5303, 0.2226100758035878]","[5396, 0.22260708539551974]","[5479, 0.14744666241361848]","[5488, 0.131395123081595]","[5496, 0.11397699713551894]","[5517, 0.11397115641704787]","[5552, 0.0921013961255411]","[5585, 0.09209416804164602]","[5682, 0.0917875229744676]","[5774, 0.0917802701717396]","[5838, 0.06877192366324014]","[5870, 0.06876224329784208]","[5914, 0.014882499003402376]","[5958, 0.01483770182997933]","[6087, 0.012797303704329886]","[6212, 0.012745179524430193]","[6357, 0.007597222813990473]"
3,"[0, 0.4131649659353695]","[298, 0.269339644403411]","[331, 0.2652108658890074]","[380, 0.2646489974845081]","[380, 0.263137023223857]","[492, 0.2620621804709932]","[545, 0.2619358428919192]","[660, 0.26098674895610213]","[687, 0.2567236694754043]","[728, 0.25614318447476747]","[728, 0.2545806985504444]","[823, 0.25009298599573604]","[860, 0.24949707438810084]","[860, 0.24789270108209924]","[946, 0.2467514634037208]","[985, 0.24661728254558019]","[1115, 0.2460951329957983]","[1128, 0.24547999855148736]","[1128, 0.2444684347840783]","[1258, 0.24432749155782083]","[1258, 0.2433111363005728]","[1323, 0.24317505712174647]","[3725, 0.2408928718383608]","[3747, 0.15863850831073995]","[3747, 0.11653001104995488]","[3747, 0.10615572941788179]","[3747, 0.10438130610218219]","[3747, 0.10232809980547874]","[3778, 0.09894109377763234]","[3778, 0.09703482989766696]","[3778, 0.094822682726612]","[3797, 0.08976628922290282]","[3797, 0.08766073725565375]","[3797, 0.08520556203914932]","[3835, 0.08455529644537252]","[3911, 0.08319040784394986]","[3911, 0.07824733272642716]","[3939, 0.0737627623324562]","[3939, 0.06813916809348279]","[3956, 0.060906417969291374]","[3956, 0.05395917782367985]","[3999, 0.047758618822103936]","[4033, 0.0465885825750529]","[4087, 0.0448015757305163]","[4246, 0.04355217035343578]","[5821, 0.042383549750396855]","[5878, 0.04106063375061164]",,,,,,
4,"[0, 0.522835134632099]","[298, 0.34794002115024203]","[349, 0.34679192720261537]","[349, 0.3428868958662573]","[458, 0.3386220371252722]","[482, 0.3210400165086785]","[533, 0.3197953637168084]","[533, 0.31555642480966745]","[637, 0.31078204139248367]","[659, 0.308565641310057]","[706, 0.3051141463302647]","[753, 0.30285626959971207]","[824, 0.30188822545406446]","[840, 0.2973941547033122]","[944, 0.2948652920845962]","[990, 0.29412016323326634]","[990, 0.2925283203745264]","[1058, 0.2904970872730442]","[1058, 0.2897910874325755]","[1058, 0.2888852808900117]","[1127, 0.2885500962040935]","[1127, 0.2881246873475613]","[1144, 0.28741286001214683]","[1644, 0.28373700864654466]","[2410, 0.2805988329221364]","[2421, 0.2757580236750302]","[2470, 0.2732576904062644]","[2546, 0.27137381197993604]","[2621, 0.26842094173654696]","[7374, 0.2631601494917912]","[7374, 0.25799233877081584]","[7400, 0.254299376954002]","[7415, 0.2490564540552163]","[7449, 0.24784743231057643]","[7487, 0.24422305166830816]","[7493, 0.23864551441431836]","[7503, 0.23050404021791795]","[7628, 0.2263630685680456]","[7666, 0.2190899710057352]","[9470, 0.21853603310413738]","[9517, 0.2124121982190691]","[9757, 0.21099330403746183]","[10113, 0.20138305728448436]","[10119, 0.19458139259738952]","[10151, 0.18965770377155158]","[10172, 0.1825677649182957]","[10212, 0.18091495566605265]","[10253, 0.17591694189840026]","[10564, 0.1704549697182318]","[10633, 0.16067069827879474]",,,
