,0,1
0,"[0, 0.6367289027991897]","[15676, 0.15580146080359047]"
1,"[0, 0.33317630182697405]","[3885, 0.03561633565962161]"
2,"[0, 0.5189674134963449]","[3951, 0.007597222813990473]"
3,"[0, 0.4131649659353695]","[8863, 0.04106063375061164]"
4,"[0, 0.522835134632099]","[38049, 0.16067069827879474]"
