,0,1,2
0,"[0, 0.24294436922502227]","[270, 0.024985175438004204]","[12034, 0.02088266768386215]"
1,"[0, 0.10867501651908615]","[296, 0.002888498707203596]","[323, 0.002723797684037336]"
2,"[0, 0.2630919349253948]","[331, 0.011527757152113832]","[352, 0.011073104010219194]"
3,"[0, 0.675938084607966]","[343, 0.010140642305248805]","[430, 0.009448624374504375]"
4,"[0, 0.10405171447683531]","[269, 0.004559391850806013]",
