,0,1,2,3,4,5
0,"[0, 0.6367289027991897]","[241, 0.17901749102312817]","[250, 0.16544078934891823]","[258, 0.16401748253109985]","[290, 0.16192217298656228]","[315, 0.15580146080359047]"
1,"[0, 0.33317630182697405]","[251, 0.03561633565962161]",,,,
2,"[0, 0.5189674134963449]","[269, 0.007597222813990473]",,,,
3,"[0, 0.4131649659353695]","[243, 0.047648435096441184]","[251, 0.04355217035343578]","[324, 0.04106063375061164]",,
4,"[0, 0.522835134632099]","[170, 0.16497201451973728]","[191, 0.16067069827879474]",,,
