,0,1,2,3,4,5,6
0,"[0, 0.32857524424171186]","[232, 0.07606965850352411]","[256, 0.07421243824623164]","[316, 0.06770499734546993]","[375, 0.05526228415982326]",,
1,"[0, 0.5867814254956483]","[144, 0.2781487096235157]","[299, 0.23497241621711212]","[1247, 0.20741849655730712]",,,
2,"[0, 1.229965581925603]","[146, 0.730669701968173]","[151, 0.714259356585585]","[214, 0.7137833812997061]","[224, 0.6519819928973998]","[1089, 0.6429383866617181]","[1312, 0.6151436061356607]"
3,"[0, 0.11493319943347655]","[122, 0.039687004255963346]","[129, 0.03938872538715816]","[188, 0.030804447070205458]",,,
4,"[0, 0.28387496838584036]","[235, 0.03250066167283293]","[807, 0.026168821409402288]",,,,
