explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max
FACETGrow,20,20,10,0.9,0.8333333333333334,1.0,0.9090909090909091,14.8,7.9,3.0,0.825772137647533,0.4033333333333332,1.0,0.4146351029116989,4.75,0.07800006866455078,0.030001163482666016,1.15,10.0,-1,-1,-1
OCEAN,20,20,10,0.9,0.8333333333333334,1.0,0.9090909090909091,14.8,7.9,3.0,0.825772137647533,0.4033333333333332,1.0,0.13501485405680674,3.2,0.0,0.5749754905700684,-1.0,-1.0,-1,-1,-1
FACETIndex,20,20,10,0.9,0.8333333333333334,1.0,0.9090909090909091,14.8,7.9,3.0,0.825772137647533,0.4033333333333332,1.0,0.136899118122656,2.9,2.3785288333892822,2.550370931625366,-1.0,-1.0,-1,-1,-1
FACETBranchBound,20,20,10,0.9,0.8333333333333334,1.0,0.9090909090909091,14.8,7.9,3.0,0.825772137647533,0.4033333333333332,1.0,0.12277675138104813,2.8,0.10299253463745117,1.2899980545043945,-1.0,-1.0,86,160.9,281
