explainer,n_samples,n_samples_explained,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,init_time,runtime,clique_size,grown_clique_size,ext_min,ext_avg,ext_max
FACETGrow,20,20,6,0.75,0.8333333333333334,0.7692307692307693,0.8,12.0,6.5,3.0,0.7360685334202003,0.46851851851851856,1.0,0.21190873400139604,3.2,0.0560002326965332,0.022999048233032227,1.75,9.5,-1,-1,-1
OCEAN,20,20,6,0.75,0.8333333333333334,0.7692307692307693,0.8,12.0,6.5,3.0,0.7360685334202003,0.46851851851851856,1.0,0.05550648200195929,1.55,0.0,0.4609999656677246,-1.0,-1.0,-1,-1,-1
FACETIndex,20,20,6,0.75,0.8333333333333334,0.7692307692307693,0.8,12.0,6.5,3.0,0.7360685334202003,0.46851851851851856,1.0,0.05855798618192232,1.6,13.699998140335083,3.6020004749298096,-1.0,-1.0,-1,-1,-1
FACETBranchBound,20,20,6,0.75,0.8333333333333334,0.7692307692307693,0.8,12.0,6.5,3.0,0.7360685334202003,0.46851851851851856,1.0,0.05309379837410107,1.45,0.07599902153015137,0.7480010986328125,-1.0,-1.0,64,114.9,222
FACETGrow,20,20,6,0.9,0.9,0.9,0.9,12.2,6.6,3.0,0.8225467232713609,0.47407407407407404,1.0,0.3013493017000896,4.15,0.0559992790222168,0.026999950408935547,0.9,9.8,-1,-1,-1
OCEAN,20,20,6,0.9,0.9,0.9,0.9,12.2,6.6,3.0,0.8225467232713609,0.47407407407407404,1.0,0.07848560004116222,1.65,0.0,0.45399999618530273,-1.0,-1.0,-1,-1,-1
FACETIndex,20,20,6,0.9,0.9,0.9,0.9,12.2,6.6,3.0,0.8225467232713609,0.47407407407407404,1.0,0.0855952602944219,2.0,16.08699870109558,5.084001302719116,-1.0,-1.0,-1,-1,-1
FACETBranchBound,20,20,6,0.9,0.9,0.9,0.9,12.2,6.6,3.0,0.8225467232713609,0.47407407407407404,1.0,0.07867051760815727,1.85,0.07499957084655762,0.8100011348724365,-1.0,-1.0,76,133.9,203
FACETGrow,20,20,6,0.85,1.0,0.7692307692307693,0.8695652173913044,13.8,7.4,3.0,0.21783433363353757,0.524814814814815,1.0,0.2695045354168916,3.0,0.0690000057220459,0.024000167846679688,2.0,9.25,-1,-1,-1
OCEAN,20,20,6,0.85,1.0,0.7692307692307693,0.8695652173913044,13.8,7.4,3.0,0.21783433363353757,0.524814814814815,1.0,0.10018902510377876,2.3,0.0,0.5239999294281006,-1.0,-1.0,-1,-1,-1
FACETIndex,20,20,6,0.85,1.0,0.7692307692307693,0.8695652173913044,13.8,7.4,3.0,0.21783433363353757,0.524814814814815,1.0,0.10552696472157064,2.15,16.444998264312744,5.213001728057861,-1.0,-1.0,-1,-1,-1
FACETBranchBound,20,20,6,0.85,1.0,0.7692307692307693,0.8695652173913044,13.8,7.4,3.0,0.21783433363353757,0.524814814814815,1.0,0.056512189077727204,1.95,0.08899855613708496,0.8220000267028809,-1.0,-1.0,60,135.75,249
FACETGrow,20,20,6,0.75,0.875,0.6363636363636364,0.7368421052631579,13.6,7.3,3.0,0.5044303315891916,0.6496296296296296,1.0,0.2366158337183908,3.55,0.0709989070892334,0.026001453399658203,2.05,9.5,-1,-1,-1
OCEAN,20,20,6,0.75,0.875,0.6363636363636364,0.7368421052631579,13.6,7.3,3.0,0.5044303315891916,0.6496296296296296,1.0,0.0655807466501803,1.9,0.0,0.4959986209869385,-1.0,-1.0,-1,-1,-1
FACETIndex,20,20,6,0.75,0.875,0.6363636363636364,0.7368421052631579,13.6,7.3,3.0,0.5044303315891916,0.6496296296296296,1.0,0.07223451322160386,1.75,13.883997678756714,4.938190221786499,-1.0,-1.0,-1,-1,-1
FACETBranchBound,20,20,6,0.75,0.875,0.6363636363636364,0.7368421052631579,13.6,7.3,3.0,0.5044303315891916,0.6496296296296296,1.0,0.058505474550268534,1.6,0.09199953079223633,0.8529999256134033,-1.0,-1.0,73,135.75,224
FACETGrow,20,20,6,0.7,0.875,0.5833333333333334,0.7000000000000001,14.2,7.6,3.0,0.6880411837599593,0.5888888888888889,1.0,0.2832036470880187,3.25,0.06999993324279785,0.026999950408935547,1.75,9.7,-1,-1,-1
OCEAN,20,20,6,0.7,0.875,0.5833333333333334,0.7000000000000001,14.2,7.6,3.0,0.6880411837599593,0.5888888888888889,1.0,0.05770156715330763,1.75,0.0,0.5160000324249268,-1.0,-1.0,-1,-1,-1
FACETIndex,20,20,6,0.7,0.875,0.5833333333333334,0.7000000000000001,14.2,7.6,3.0,0.6880411837599593,0.5888888888888889,1.0,0.07394655497750534,2.2,17.10299849510193,6.283000469207764,-1.0,-1.0,-1,-1,-1
FACETBranchBound,20,20,6,0.7,0.875,0.5833333333333334,0.7000000000000001,14.2,7.6,3.0,0.6880411837599593,0.5888888888888889,1.0,0.057861459560523354,1.8,0.09399914741516113,1.0879998207092285,-1.0,-1.0,73,153.7,270
FACETGrow,20,20,6,0.6,1.0,0.3333333333333333,0.5,13.0,7.0,3.0,0.4070504093883875,0.5262962962962963,1.0,0.1580776969806656,2.8,0.06400012969970703,0.023999929428100586,2.25,9.4,-1,-1,-1
OCEAN,20,20,6,0.6,1.0,0.3333333333333333,0.5,13.0,7.0,3.0,0.4070504093883875,0.5262962962962963,1.0,0.027573927311539237,1.2,0.0,0.46400022506713867,-1.0,-1.0,-1,-1,-1
FACETIndex,20,20,6,0.6,1.0,0.3333333333333333,0.5,13.0,7.0,3.0,0.4070504093883875,0.5262962962962963,1.0,0.0323450510973235,1.3,17.906999826431274,7.0269999504089355,-1.0,-1.0,-1,-1,-1
FACETBranchBound,20,20,6,0.6,1.0,0.3333333333333333,0.5,13.0,7.0,3.0,0.4070504093883875,0.5262962962962963,1.0,0.02941794671014658,1.4,0.08699965476989746,0.7770001888275146,-1.0,-1.0,83,140.55,197
FACETGrow,20,20,6,0.95,0.9285714285714286,1.0,0.962962962962963,12.6,6.8,3.0,0.5618447448963411,0.5396296296296295,1.0,0.19416636620429148,2.75,0.06400012969970703,0.02299976348876953,1.25,9.4,-1,-1,-1
OCEAN,20,20,6,0.95,0.9285714285714286,1.0,0.962962962962963,12.6,6.8,3.0,0.5618447448963411,0.5396296296296295,1.0,0.06158756926534127,1.5,0.0,0.48400115966796875,-1.0,-1.0,-1,-1,-1
FACETIndex,20,20,6,0.95,0.9285714285714286,1.0,0.962962962962963,12.6,6.8,3.0,0.5618447448963411,0.5396296296296295,1.0,0.06420409656830363,1.6,13.694999694824219,2.994999885559082,-1.0,-1.0,-1,-1,-1
FACETBranchBound,20,20,6,0.95,0.9285714285714286,1.0,0.962962962962963,12.6,6.8,3.0,0.5618447448963411,0.5396296296296295,1.0,0.05711446458916768,1.55,0.08299922943115234,0.6499998569488525,-1.0,-1.0,52,113.55,180
FACETGrow,20,20,6,0.9,0.9375,0.9375,0.9375,11.8,6.4,3.0,0.2602010919554779,0.5292592592592592,1.0,0.45168752171841514,3.5,0.05800008773803711,0.023000001907348633,1.15,9.85,-1,-1,-1
OCEAN,20,20,6,0.9,0.9375,0.9375,0.9375,11.8,6.4,3.0,0.2602010919554779,0.5292592592592592,1.0,0.10757963710979868,2.05,0.0,0.47300004959106445,-1.0,-1.0,-1,-1,-1
FACETIndex,20,20,6,0.9,0.9375,0.9375,0.9375,11.8,6.4,3.0,0.2602010919554779,0.5292592592592592,1.0,0.11454165391630408,2.25,13.789998292922974,2.3269999027252197,-1.0,-1.0,-1,-1,-1
FACETBranchBound,20,20,6,0.9,0.9375,0.9375,0.9375,11.8,6.4,3.0,0.2602010919554779,0.5292592592592592,1.0,0.09102452280652047,1.8,0.07599925994873047,0.6569998264312744,-1.0,-1.0,58,106.5,231
FACETGrow,20,20,6,0.8,0.9090909090909091,0.7692307692307693,0.8333333333333333,11.8,6.4,3.0,0.6252264948615062,0.5411111111111111,1.0,0.2430306613203892,3.3,0.05300021171569824,0.023000717163085938,1.75,9.6,-1,-1,-1
OCEAN,20,20,6,0.8,0.9090909090909091,0.7692307692307693,0.8333333333333333,11.8,6.4,3.0,0.6252264948615062,0.5411111111111111,1.0,0.09228577457981564,2.0,0.0,0.45399975776672363,-1.0,-1.0,-1,-1,-1
FACETIndex,20,20,6,0.8,0.9090909090909091,0.7692307692307693,0.8333333333333333,11.8,6.4,3.0,0.6252264948615062,0.5411111111111111,1.0,0.09071682552162746,2.0,13.997031927108765,4.523001194000244,-1.0,-1.0,-1,-1,-1
FACETBranchBound,20,20,6,0.8,0.9090909090909091,0.7692307692307693,0.8333333333333333,11.8,6.4,3.0,0.6252264948615062,0.5411111111111111,1.0,0.07518141130918943,1.7,0.07199668884277344,0.6809999942779541,-1.0,-1.0,66,118.35,197
