,0,1
0,"[0, 0.6621197473229058]","[15681, 0.1341028427035732]"
1,"[0, 0.974625711988114]","[7487, 0.020511914276424154]"
2,"[0, 0.6002109521701217]","[16415, 0.02206807090992623]"
3,"[0, 0.6149589131297593]","[29929, 0.18977031646478765]"
4,"[0, 0.6568863134256281]","[22102, 0.08567727609840028]"
