,0,1,2,3,4
0,"[0, 0.7843337227538519]","[157, 0.11928097900020064]",,,
1,"[0, 0.10988648782498625]","[197, 0.022719388145003686]",,,
2,"[0, 0.3701391882534774]","[172, 0.029113240538604472]",,,
3,"[0, 0.26318064257631296]","[214, 0.06911934593018466]","[529, 0.06861143908450455]","[539, 0.053818515258683655]","[1797, 0.014584251627371106]"
4,"[0, 0.49892164288873686]","[225, 0.1744000346600861]","[256, 0.16921222218844922]","[2192, 0.03786625898434802]",
