,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
0,"[0, 0.1214863818995822]","[302, 0.07883702795369263]","[324, 0.07883655989344808]","[371, 0.07839294783699348]","[412, 0.07838885756257698]","[485, 0.07633545617531555]","[505, 0.07605941369976355]","[505, 0.07597394246595722]","[549, 0.07596972195034664]","[626, 0.07573384074041721]","[626, 0.07564800165743757]","[671, 0.07555243443754642]","[671, 0.07536944140447065]","[686, 0.07528318682873841]","[747, 0.07527892758589973]","[862, 0.07438834923121045]","[884, 0.07420365366671242]","[884, 0.0740173261180893]","[932, 0.07401299402850817]","[1018, 0.07386990211468066]","[1018, 0.07384896261104204]","[1018, 0.07368273058603815]","[1063, 0.07349626182847369]","[1079, 0.07330813632156896]","[1147, 0.0733037623204576]","[1258, 0.07330130182913913]","[1326, 0.07329692742017878]","[1480, 0.04778182190691005]","[1480, 0.04546945827350317]","[1503, 0.04546864672439414]","[1549, 0.04514710466948163]","[1549, 0.04484019857470875]","[1568, 0.044695643352105616]","[1568, 0.044695066055305405]","[1610, 0.04468846891594098]","[1610, 0.044687891526458405]","[1692, 0.04406759109116941]","[1692, 0.04399652365487162]","[1737, 0.0439956849358615]","[1816, 0.042458415048621335]","[1816, 0.04213192799556148]","[1833, 0.041977432962152145]","[1873, 0.03950145577765815]","[1887, 0.039150317453840205]","[2004, 0.03914212661735263]","[2334, 0.038681354187267036]","[2352, 0.03832270227871442]","[2394, 0.03641903127257733]","[2408, 0.03603787156610596]","[2443, 0.03541038211985418]","[2477, 0.035400085346957065]","[2568, 0.035391026574037726]","[2868, 0.0353859299931012]","[2958, 0.03537686759549324]","[3648, 0.0350924377075011]","[3648, 0.031872375424449005]","[3669, 0.031871217649455025]","[3711, 0.03104883401095296]","[3711, 0.03096804946603011]","[3725, 0.030838865331080354]","[3741, 0.030758368197448288]","[3741, 0.030757529309086065]","[3779, 0.030747941940269734]","[3779, 0.0307471027674428]","[3852, 0.029838385748724557]","[3852, 0.029817457620227698]","[3852, 0.029733327651388995]","[3892, 0.02973208658144877]","[3962, 0.026990480578225614]","[3962, 0.026897509850065164]","[3976, 0.026748674047742522]","[3990, 0.02665485992465826]","[4024, 0.022048447608774217]","[4036, 0.021934539800224667]","[4062, 0.02175177150086084]","[4159, 0.021737025620311122]","[4453, 0.020543032764501454]","[4469, 0.020420729405536884]","[4505, 0.015878125589487722]","[4517, 0.015719569540109023]","[4547, 0.013403887319605002]","[4656, 0.01337994449424466]","[4957, 0.013366457802330532]","[5066, 0.013342447810423805]","[6932, 0.01040786701099031]","[7181, 0.010377013785808546]","[7915, 0.010359618459348557]","[8156, 0.01032862110911595]","[20915, 0.010306651115175217]","[31498, 0.010291841808862012]"
1,"[0, 0.1138779814669333]","[302, 0.0361743787763644]","[302, 0.03604322711795906]","[324, 0.03297801337489282]","[324, 0.03283409671934811]","[372, 0.03283299223198451]","[445, 0.03273440120208075]","[466, 0.03203046276851064]","[486, 0.03188258922479814]","[486, 0.03188226915365095]","[529, 0.031881451773833384]","[548, 0.03188113169126674]","[627, 0.03155372684891462]","[627, 0.03155340344185622]","[673, 0.03140328357476033]","[1016, 0.018525570066684628]","[1016, 0.018268149537283132]","[1039, 0.011052621073499615]","[1039, 0.010615506291047272]","[1089, 0.01061208958430495]","[1168, 0.010303013563930893]","[1191, 0.007783445310148719]","[1191, 0.007782134129190043]","[1210, 0.007149165134263756]","[1228, 0.0071477376018990015]","[1269, 0.007144090820182923]","[1314, 0.007142662273665911]","[1396, 0.005499885862058727]","[1471, 0.004761629499614082]","[1522, 0.0047594859176410455]","[1702, 0.004759431898047752]","[1702, 0.004754007469666454]","[2005, 0.004655224419553805]","[2058, 0.004653031818614444]","[2237, 0.004652976563122733]","[2237, 0.0046474278828680556]","[3062, 0.0034836206144137558]","[3143, 0.0021354118059732784]","[3198, 0.0021306276750569144]","[3391, 0.0021305070010796587]","[3391, 0.002118361421273399]","[3711, 0.001886261510476495]","[3766, 0.0018808437453795685]","[3952, 0.0018807070442959613]","[3952, 0.0018669370680219686]","[5169, 0.0016726638206142753]","[5169, 0.0016571660406495053]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[0, 0.07618453210936836]","[299, 0.04454819131289748]","[343, 0.04390085922091661]","[343, 0.043466870702698085]","[343, 0.04228998621892776]","[387, 0.041307111597984524]","[407, 0.040845573529070214]","[426, 0.03959084442937165]","[501, 0.03921649894050442]","[569, 0.03854998832324382]","[614, 0.03765437201271807]","[659, 0.03631558408120704]","[659, 0.036289472542105]","[774, 0.031924166640497804]","[822, 0.028688917735544814]","[867, 0.0272192677162356]","[867, 0.026513618073707692]","[867, 0.024536626277271007]","[944, 0.023927909553288235]","[1015, 0.022819129390973546]","[1034, 0.021271172936909798]","[1053, 0.018749316889528286]","[1169, 0.01872257681861035]","[1320, 0.0181939698245471]","[1339, 0.015990645812251778]","[1359, 0.015231232828093154]","[1359, 0.015168870217935067]","[1423, 0.01427825493765032]","[1441, 0.013351495581402398]","[1484, 0.011645544041154398]","[1505, 0.010578676476060886]","[1505, 0.010488687535156093]","[1548, 0.006048852081305908]","[1548, 0.005890057871234683]","[1589, 0.003904400479136961]","[1608, 0.003653561731579168]","[1927, 0.003513760411763269]","[3559, 0.003453885455693004]","[3862, 0.00330565026066925]","[4137, 0.0030804081959853445]","[4158, 0.002755555275959552]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[0, 0.05485476018431553]","[270, 0.04209805404542957]","[286, 0.04206304322059995]","[286, 0.04205017511876204]","[300, 0.04190352468192262]","[389, 0.04100425382164805]","[405, 0.04095509619786998]","[419, 0.04079124514362393]","[489, 0.040601178185996]","[507, 0.040215176576769304]","[507, 0.04006180949920608]","[507, 0.040048298376974434]","[525, 0.04004761427034474]","[878, 0.03173780661605686]","[878, 0.03172075016986069]","[908, 0.03167427097669128]","[950, 0.03151263604042674]","[1147, 0.03025406862550799]","[1177, 0.030187410314626066]","[1205, 0.03001777023389857]","[1360, 0.029723692308952984]","[1360, 0.02970547941067111]","[1394, 0.0291942227416153]","[1394, 0.029175679324182708]","[1409, 0.02896391577942262]","[1458, 0.028962969860368833]","[2095, 0.02886617686943693]","[2206, 0.02886522774746048]","[2928, 0.028760281680762386]","[3041, 0.028759329064008833]","[3968, 0.02845122745516061]","[4179, 0.028450264490166546]","[5640, 0.016812670340318542]","[5656, 0.016724811943288852]","[5656, 0.016692422145359008]","[5674, 0.01636525877965861]","[5674, 0.016332155934403996]","[5692, 0.01631947028333996]","[5802, 0.013848052607874395]","[5818, 0.01370181134511426]","[5836, 0.01326054276882804]","[5854, 0.013203992196587383]","[5935, 0.012604578519383944]","[5957, 0.011297139572307626]","[5957, 0.010757682041360708]","[5957, 0.010738413093476295]","[5957, 0.010687896813996548]","[6926, 0.01051639710476927]","[6926, 0.01046480915285577]","[6945, 0.009479646919112973]","[6945, 0.009422384424950116]","[6964, 0.009400378775063853]","[7332, 0.009324288365946497]","[7332, 0.009266065835715806]","[7352, 0.0092436880591541]","[7372, 0.009184954625660517]","[7713, 0.007523900454427376]","[11732, 0.00743012984318189]","[11732, 0.007356932242928202]","[11755, 0.006684685260175759]","[12110, 0.006462481322827028]","[12133, 0.006378188409602104]","[12498, 0.004685317686521004]","[12565, 0.003822486348673024]",,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[0, 0.07516566042038376]","[302, 0.050513298668290504]","[324, 0.048275866658101595]","[372, 0.04827520269176469]","[446, 0.04816903556941841]","[493, 0.0481683701304918]","[569, 0.04789247477290856]","[618, 0.047315621334832865]","[618, 0.0473141332394533]","[927, 0.03982718178319522]","[950, 0.03694821197339005]","[1000, 0.03694734444274342]","[1080, 0.0368104315680787]","[1080, 0.036808518771171084]","[1129, 0.03680764794805304]","[1211, 0.03644778490407877]","[1211, 0.0364458530742997]","[1261, 0.03610695729553311]","[1261, 0.03568443762680097]","[1629, 0.03567039511479883]","[2362, 0.03266377461837731]","[2385, 0.032663618337568125]","[2436, 0.03266279329237334]","[2485, 0.03266263700686881]","[2569, 0.031652046124374396]","[2569, 0.0316498215754682]","[2618, 0.03122692241660715]","[2978, 0.017960158115145345]","[2978, 0.017959873888844215]","[3002, 0.012688161300503131]","[3002, 0.010083355436582564]","[3002, 0.010076370316731509]","[3026, 0.010075863702039384]","[3081, 0.010073188775162863]","[3235, 0.009793839325155353]","[3235, 0.009786647568315114]","[3259, 0.008172904422522304]","[3259, 0.006038467545601449]","[3286, 0.0060267961802877214]","[3337, 0.0034099237275319414]","[3390, 0.0033968171422000325]","[3390, 0.003389212552649068]","[3981, 0.0032596899748903027]","[4036, 0.003245976833305963]","[4036, 0.0032380180098092446]","[5625, 0.0031409235112124616]","[5625, 0.003132697804253904]","[8389, 0.003042695370473066]","[8389, 0.0030342033793053893]","[9613, 0.002993913561767232]","[9613, 0.002985282808181457]","[9638, 0.002433876814981414]","[9638, 0.002423252232020861]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
