,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
0,"[0, 0.6423524315367535]","[176, 0.3867503057690568]","[216, 0.31868768282927173]","[251, 0.31629515481885695]","[270, 0.3157134388313287]","[336, 0.31496951544297497]","[423, 0.3146976109444577]","[2525, 0.21777578468235964]","[2573, 0.2173823430497157]","[2596, 0.21239298759271397]","[2651, 0.20901666844339778]","[2651, 0.20899433471829515]","[2751, 0.07829139083236794]","[2751, 0.07812620545234944]","[2797, 0.06789939361482392]","[2811, 0.06770886022653844]","[2832, 0.06513584381950716]","[2859, 0.0649372023573187]","[2936, 0.06142880716535651]","[2978, 0.061218138240840714]","[3045, 0.060019072181477166]","[3079, 0.05625235450240381]","[3306, 0.05602222315278321]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[0, 0.8249571820283252]","[270, 0.41738269579342335]","[282, 0.37691607257156784]","[333, 0.36623750909750863]","[408, 0.3497806964816531]","[463, 0.33824654165026236]","[539, 0.3373894010126967]","[638, 0.3201349220017097]","[688, 0.3074907406609394]","[757, 0.30654761550133885]","[845, 0.30402961825294866]","[845, 0.3030000649584335]","[924, 0.30299249899576153]","[924, 0.30220498392143397]","[932, 0.30189207022782816]","[932, 0.30110167705561114]","[947, 0.3008552021425343]","[1067, 0.300822949442393]","[1067, 0.299714555085281]","[1076, 0.2994669385098988]","[1076, 0.29867012759857514]","[1115, 0.2896008317579024]","[1115, 0.28877679895401315]","[1125, 0.2884493185528721]","[1125, 0.2876219866993376]","[1143, 0.2873639503545939]","[1629, 0.2872151896831379]","[1629, 0.28638429259297465]","[1705, 0.2849255300043239]","[1747, 0.27540398378266906]","[1747, 0.27453734198214685]","[1757, 0.2730508240088157]","[1757, 0.2721766895807774]","[1880, 0.2682862161055062]","[1907, 0.26704280812438624]","[3559, 0.17103928003979835]","[3559, 0.16943749933091282]","[3559, 0.16867349093195083]","[3657, 0.16671912433294483]","[3657, 0.16469925079431652]","[3657, 0.16324595269551648]","[3668, 0.16224103808484308]","[3725, 0.14549728953486474]","[3725, 0.1438501272896548]","[3734, 0.14150419045072532]","[3739, 0.13980999168290073]","[4490, 0.13908013991479318]","[5070, 0.13749940981070302]","[5070, 0.1357552413630843]","[5079, 0.13326688392625732]","[5084, 0.13146657449965055]","[5216, 0.10864474401091673]","[5220, 0.1064287473404402]","[5234, 0.10323591939979279]","[6885, 0.09632400147073275]","[6893, 0.09381743504589835]","[6922, 0.09017919889008004]","[9241, 0.07252565044713148]","[9241, 0.07176455563339251]","[9254, 0.06915606253499806]","[9266, 0.06836336229674429]","[9296, 0.06674933971752285]"
2,"[0, 0.45644107508724296]","[270, 0.29546554562559046]","[282, 0.2643168098004813]","[338, 0.24384443823689606]","[349, 0.24277022593152298]","[349, 0.2357442255612422]","[435, 0.23390875006248749]","[446, 0.23278869365922938]","[446, 0.22545184226836043]","[508, 0.21449357846879943]","[520, 0.21327158212974912]","[520, 0.20523821532734454]","[592, 0.20498129567704987]","[1002, 0.19834741016136082]","[1048, 0.1980815530644078]","[2086, 0.19786202639948014]","[2662, 0.19752670934248123]","[2662, 0.19098100699070977]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[0, 0.5889586701214208]","[270, 0.3955539187906175]","[282, 0.3595274413624096]","[333, 0.349358177632791]","[408, 0.33021884863181067]","[463, 0.31911697413021217]","[539, 0.3181840706096551]","[645, 0.3133693600390935]","[714, 0.312419294255362]","[793, 0.30590641992132206]","[793, 0.3048536986658767]","[840, 0.29388755151483376]","[840, 0.2927916200586502]","[927, 0.29229353761996335]","[1617, 0.2810533604352011]","[1718, 0.28050677970457805]","[2324, 0.2756225921594001]","[2324, 0.27437767163670573]","[2337, 0.27329187736858196]","[2337, 0.2732318865789189]","[4116, 0.142350779742318]","[4116, 0.13790025608049683]","[4116, 0.13772500472095622]","[4792, 0.12860731553723975]","[4792, 0.12366316243536643]","[4792, 0.12346770444872066]","[5374, 0.10671241648139648]","[5374, 0.10655901708431297]","[5374, 0.10648584943371506]","[5384, 0.10045880878967511]","[6637, 0.09604822722112555]","[6637, 0.09587776719864124]","[6637, 0.0957964417431137]","[6655, 0.08904883146039846]","[8320, 0.07724391230858084]","[8320, 0.06869758454673934]","[8320, 0.06834511263343716]","[8468, 0.06617704591695608]","[10308, 0.06440171938923876]","[10356, 0.04079314663593236]","[10369, 0.040390160969431196]","[10414, 0.03957014326142115]","[10414, 0.019596697530770726]",,,,,,,,,,,,,,,,,,,
4,"[0, 0.4063609034462309]","[270, 0.29179572124811154]","[282, 0.278358539010765]","[331, 0.27525326609360085]","[345, 0.26096569467402536]","[396, 0.25097195359140695]","[427, 0.23521406163533107]","[509, 0.23277983314857098]","[567, 0.2245511428962071]","[625, 0.2215181220881652]","[660, 0.20349204337017515]","[745, 0.20322320502709168]","[745, 0.2029152529176331]","[745, 0.20250985902894014]","[1252, 0.20086667008788595]","[4415, 0.2001730200618387]","[4523, 0.19989971812684323]","[4523, 0.19951605737935754]","[4678, 0.19917446937202882]","[4793, 0.19881802441522547]","[4804, 0.19166685020030702]","[4804, 0.19077335173664658]","[4818, 0.18648098147496386]","[4833, 0.18556251431523868]","[4847, 0.18295891400806505]","[10089, 0.1619106060082718]","[10113, 0.14123903510394525]","[10124, 0.13992124878501064]","[10183, 0.1364802343975931]","[10183, 0.1364664971836595]","[11747, 0.1280439643761866]","[13134, 0.1276986487000798]","[13165, 0.1266853479782868]","[13172, 0.12285538008586035]","[13172, 0.12284011921354114]","[13210, 0.11987312907804844]","[13214, 0.11580191954790665]","[13219, 0.10137035795261319]","[13232, 0.09118620760619348]","[13279, 0.08426994715682831]","[13279, 0.08424769709713391]","[13409, 0.0839125533125857]","[13425, 0.07363424015000822]","[13440, 0.07127616424581522]","[13495, 0.06487295937972848]","[13495, 0.06484405393742507]","[13514, 0.06218352776910655]","[13514, 0.06215337157521735]",,,,,,,,,,,,,,
