,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
0,"[0, 0.7843337227538519]","[162, 0.24944072466086753]","[162, 0.24849595476343225]","[194, 0.24848451763800217]","[275, 0.24776526707654498]","[284, 0.24681408384442471]","[330, 0.21386890393315083]","[339, 0.212766239060661]","[374, 0.18799117287715458]","[374, 0.18738841108868984]","[384, 0.1867357638326929]","[392, 0.18612893655956578]","[408, 0.17282542489722197]","[416, 0.17145900940270348]","[826, 0.16816147771352302]","[832, 0.16748736703826742]","[908, 0.151017313570242]","[1789, 0.11928097900020064]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"[0, 0.10988648782498625]","[159, 0.1091769583722798]","[173, 0.10747537282657821]","[210, 0.1072490990627456]","[262, 0.08530271418638072]","[262, 0.08391272937112167]","[289, 0.08106997109048433]","[303, 0.07817681035183659]","[339, 0.07786544267096705]","[393, 0.05578954412636285]","[431, 0.043315302040901345]","[445, 0.03762298306978822]","[477, 0.03514765819578544]","[534, 0.03444954806969745]","[2015, 0.032445912349671216]","[2035, 0.02926791470893611]","[2035, 0.029035494288272345]","[2086, 0.02600922630505858]","[2094, 0.025747406668293574]","[2172, 0.025057799954233483]","[2448, 0.022719388145003686]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[0, 0.3701391882534774]","[162, 0.2217320425512477]","[162, 0.22147849370242986]","[198, 0.22147560056524943]","[304, 0.22134756206500078]","[304, 0.2210935722965919]","[340, 0.22109067412242644]","[581, 0.2190684369113643]","[581, 0.21881180162307823]","[589, 0.20809210584597856]","[589, 0.20782191653952883]","[616, 0.20781883328323142]","[624, 0.20759976997158305]","[671, 0.20741165235428297]","[695, 0.20740856299915533]","[702, 0.207189065904611]","[766, 0.18398091804177785]","[775, 0.18367526420899555]","[808, 0.15542516437414083]","[818, 0.1550632329067005]","[833, 0.13952894389822582]","[841, 0.13912566500866472]","[881, 0.1391210592870247]","[1014, 0.13891713617666215]","[1021, 0.13851207601604362]","[1057, 0.13850744989102534]","[1347, 0.13505982409875958]","[1357, 0.13464316010973906]","[1405, 0.13463840105028532]","[1560, 0.1344276780419826]","[1569, 0.134009048584444]","[1613, 0.13400426700500445]","[1905, 0.13334653920253972]","[1923, 0.13292450487417062]","[1978, 0.13291968427995932]","[2138, 0.1327062321651305]","[2155, 0.1322821550104717]","[2206, 0.13227731100704726]","[2555, 0.12529858114544357]","[2564, 0.1248493448753747]","[2584, 0.11612516895204326]","[2600, 0.11564030155136028]","[2641, 0.11563476041368437]","[2783, 0.11538933833899752]","[2800, 0.11490136587987364]","[2838, 0.11489578910517668]","[3145, 0.11071533211066217]","[3165, 0.11020666605574805]","[3210, 0.1102008517034411]","[3366, 0.10994330039863855]","[3385, 0.1094310457836085]","[3427, 0.10942519021840844]","[3725, 0.1086187285696201]","[3752, 0.10810019738571133]","[4254, 0.10783168706021369]","[4280, 0.10730935286824166]","[5281, 0.10712643828235763]","[5293, 0.09681823034632536]","[5298, 0.09623613773496452]","[5400, 0.09593442690486646]","[5407, 0.09534693883032697]","[5612, 0.0876740729026223]","[5762, 0.08669710259002536]","[6136, 0.06724961635618973]","[6152, 0.06640885015420495]","[6178, 0.048039893079959956]","[6553, 0.04623284401056284]","[7337, 0.031905113014806766]","[8377, 0.029113240538604472]"
3,"[0, 0.26318064257631296]","[207, 0.25179977392068764]","[207, 0.2516196609365069]","[228, 0.25159413842487044]","[237, 0.25141387812339655]","[271, 0.24896483584655696]","[292, 0.24875685685292473]","[326, 0.24699317273442933]","[347, 0.24678353210995072]","[423, 0.24019640096983944]","[448, 0.23977318337760184]","[486, 0.23815215499377804]","[511, 0.23772529809918352]","[624, 0.17344920555554721]","[655, 0.17286264875911067]","[715, 0.10931984391852939]","[742, 0.10838679210372833]","[786, 0.10475192677792722]","[815, 0.10377781358196665]","[931, 0.10042301836523489]","[982, 0.09940649398177917]","[1182, 0.09881973482618996]","[1182, 0.08090659950267824]","[1213, 0.07737460393454146]","[1225, 0.07656961159637266]","[1278, 0.07461913784280393]","[1311, 0.07077405755885244]","[1324, 0.06989308484632771]","[1440, 0.05465917815804272]","[1456, 0.05379965055421997]","[1491, 0.04928059707281395]","[1510, 0.04800680507850158]","[1510, 0.04702584371054677]","[1569, 0.044830387531553335]","[1586, 0.0437783084309202]","[1623, 0.038088254582871565]","[1643, 0.036425145478938624]","[1643, 0.03512218481252795]","[1774, 0.03387061310866788]","[3001, 0.033179571149042866]","[3153, 0.03185175831859355]","[3861, 0.031446719634237855]","[3925, 0.030521262035616652]","[3925, 0.029927793413445744]","[4030, 0.020732767945808504]","[4108, 0.017490676164372568]","[4146, 0.014584251627371106]",,,,,,,,,,,,,,,,,,,,,,
4,"[0, 0.49892164288873686]","[208, 0.23173179011345957]","[231, 0.23163919644876785]","[231, 0.23141744480148338]","[305, 0.23133077687713274]","[315, 0.23110872929769338]","[428, 0.13707320399336034]","[453, 0.1369166097858392]","[453, 0.13654110905608063]","[532, 0.13639416788996028]","[543, 0.1360172248702767]","[653, 0.042942195899207974]","[653, 0.04172946939109937]","[692, 0.04121217536002053]","[703, 0.040083317376953344]","[703, 0.03994696264951603]","[804, 0.03957988004114893]","[804, 0.03944178491209542]","[828, 0.03826072831361793]","[2010, 0.03786625898434802]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
