,0,1
0,"[0, 0.7570467725314812]","[4183, 0.014265641417920498]"
1,"[0, 0.3068245956238672]","[5173, 0.028614802630927836]"
2,"[0, 0.46504090262785136]","[3505, 0.011412701115529684]"
3,"[0, 0.36645018412262864]","[10952, 0.0686976538202885]"
4,"[0, 0.5652203413724243]","[1219, 0.015501647465503421]"
