,0,1,2,3,4,5,6,7,8,9,10,11
0,"[0, 0.6423524315367535]","[237, 0.05602222315278321]",,,,,,,,,,
1,"[0, 0.8249571820283252]","[218, 0.06791207811718158]","[263, 0.06674933971752285]",,,,,,,,,
2,"[0, 0.45644107508724296]","[186, 0.3200715216507441]","[217, 0.2873128713516553]","[312, 0.28226370756767055]","[597, 0.2468167726338884]","[683, 0.2416390594167779]","[1006, 0.23227109742970595]","[1975, 0.2155376863119636]","[1992, 0.20921545606920622]","[2284, 0.20117610505903463]","[4096, 0.19391718634558974]","[16729, 0.19098100699070977]"
3,"[0, 0.5889586701214208]","[243, 0.019596697530770726]",,,,,,,,,,
4,"[0, 0.4063609034462309]","[189, 0.16064620350099512]","[190, 0.1426258997179723]","[210, 0.12448825892927941]","[4511, 0.06215337157521735]",,,,,,,
