,0,1,2,3,4
0,"[0, 0.7570467725314812]","[254, 0.014265641417920498]",,,
1,"[0, 0.3068245956238672]","[152, 0.03159264123763768]","[211, 0.029021333108355172]","[2247, 0.028614802630927836]",
2,"[0, 0.46504090262785136]","[162, 0.11141050838786186]","[165, 0.0877342797812337]","[2729, 0.07963065314955449]","[7266, 0.011412701115529684]"
3,"[0, 0.36645018412262864]","[257, 0.08627783068492449]","[272, 0.0782795717041651]","[362, 0.0745879263758129]","[660, 0.0686976538202885]"
4,"[0, 0.5652203413724243]","[229, 0.019187915157958705]","[397, 0.015501647465503421]",,
