,0,1,2,3,4
0,"[0, 0.1214863818995822]","[239, 0.014908255469820941]","[1002, 0.014898021068656857]","[14655, 0.010306651115175217]","[16735, 0.010291841808862012]"
1,"[0, 0.1138779814669333]","[308, 0.002026128136932764]","[329, 0.001814776026854973]","[1922, 0.0016571660406495053]",
2,"[0, 0.07618453210936836]","[248, 0.002755555275959552]",,,
3,"[0, 0.05485476018431553]","[317, 0.00432566891964238]","[2465, 0.003822486348673024]",,
4,"[0, 0.07516566042038376]","[326, 0.002423252232020861]",,,
