,0,1,2,3,4,5,6
0,"[0, 0.6621197473229058]","[273, 0.14644965984518676]","[445, 0.1341028427035732]",,,,
1,"[0, 0.974625711988114]","[237, 0.020511914276424154]",,,,,
2,"[0, 0.6002109521701217]","[256, 0.02206807090992623]",,,,,
3,"[0, 0.6149589131297593]","[220, 0.18982792215159508]","[9600, 0.18977031646478765]",,,,
4,"[0, 0.6568863134256281]","[236, 0.12516284274666548]","[248, 0.11269634804000246]","[1913, 0.1010906729556119]","[1930, 0.09592467253703439]","[1970, 0.08945950334203467]","[2007, 0.08567727609840028]"
