,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
0,"[0, 0.6621197473229058]","[232, 0.43985653936069835]","[232, 0.43876121289880426]","[242, 0.42595555848652045]","[253, 0.4248243925807743]","[278, 0.41639833578222757]","[278, 0.41625119396738447]","[290, 0.41524113568897414]","[301, 0.4150935836716022]","[324, 0.41444459699914304]","[335, 0.4106512090115517]","[368, 0.40778099011006497]","[368, 0.401658730638154]","[417, 0.3982856430662634]","[417, 0.39813180720682356]","[430, 0.39707566054691296]","[440, 0.3969213557316255]","[467, 0.3962426067604041]","[479, 0.39579943245886706]","[490, 0.3922732400931108]","[525, 0.38646152611866197]","[557, 0.3828493376360358]","[615, 0.38202507708062755]","[703, 0.38050542471580867]","[719, 0.37901615412031564]","[753, 0.3780726582657236]","[810, 0.37723796086584227]","[895, 0.3753126399256604]","[895, 0.3730725615671173]","[970, 0.3694385656223567]","[981, 0.36927271251226884]","[1011, 0.3681337807036521]","[1035, 0.3679673394911959]","[1084, 0.367235079627039]","[1113, 0.36675685546579584]","[1142, 0.3629486123262421]","[1197, 0.3590018843405707]","[1197, 0.35665937737056996]","[1253, 0.35511048579064325]","[1253, 0.35274213758034173]","[1341, 0.3518473530024872]","[1585, 0.34887912076558786]","[1913, 0.34756956216753027]","[2082, 0.3435486933517792]","[2783, 0.31727268800475705]","[2783, 0.3157524113602685]","[2794, 0.2977017318407099]","[2806, 0.2960809819407829]","[2833, 0.28385869262293717]","[2833, 0.2836428032132448]","[2846, 0.2821584379451789]","[2858, 0.28194124661128916]","[2883, 0.280984888058373]","[2895, 0.2753590361655915]","[2928, 0.2710599919400487]","[2928, 0.26175927726299886]","[2979, 0.25655338003639966]","[2979, 0.2563144928504155]","[2993, 0.25467089259309084]","[3004, 0.254430237926285]","[3033, 0.2533700589013521]","[3046, 0.2526764216743533]","[3058, 0.24711632529750382]","[3093, 0.2377828726072582]","[3125, 0.23186590664378778]","[3182, 0.23102283064453566]","[3350, 0.22797491435145298]","[3366, 0.22548043910625423]","[3400, 0.22389086239394632]","[3454, 0.22247845390871696]","[3539, 0.21919799502587337]","[3702, 0.21552710489892582]","[3702, 0.20898094914249654]","[3714, 0.20868761233375382]","[3746, 0.2066655845334656]","[3772, 0.20636895664712607]","[3824, 0.20506044729316292]","[3855, 0.20420277756816385]","[3886, 0.19728121685791364]","[3941, 0.1899224481083657]","[4015, 0.18245996945593573]","[13420, 0.18244013629112849]","[23832, 0.1790361751193733]","[23870, 0.17856357463112532]","[23939, 0.17703005915756423]","[24945, 0.17231899461328487]","[24980, 0.15990242879390126]","[27127, 0.15903936649018555]","[33320, 0.15412471421651142]","[37735, 0.1518905952625033]","[37735, 0.1462679439777551]","[37854, 0.1341028427035732]"
1,"[0, 0.974625711988114]","[263, 0.7013880415091173]","[263, 0.636278984230243]","[274, 0.6359482739545619]","[315, 0.623093129919029]","[315, 0.5429788974583467]","[315, 0.5386872797797793]","[328, 0.5382966159741809]","[367, 0.5254624073597672]","[381, 0.521026528940493]","[411, 0.5206226130629508]","[479, 0.5148898949461902]","[479, 0.41435810412068524]","[479, 0.40871816788827114]","[493, 0.4082031383204466]","[533, 0.39112312244832675]","[549, 0.38514308928654706]","[579, 0.38459649062088674]","[641, 0.35567642328220783]","[654, 0.3490897024981984]","[680, 0.3484865589416574]","[739, 0.3313924049424974]","[739, 0.3283144476596552]","[767, 0.3211670575471912]","[806, 0.320511373006072]","[913, 0.320257460039717]","[1610, 0.2662589992536664]","[1610, 0.25124454124266415]","[1610, 0.25115913618202]","[1651, 0.24182994400134394]","[1651, 0.2417412128685443]","[1724, 0.23282839744823186]","[1724, 0.22842616563520934]","[1745, 0.21549716350565878]","[1745, 0.21120776300768726]","[1745, 0.21073319142336577]","[1763, 0.21063136079638908]","[1826, 0.19991653624992545]","[1826, 0.19941509541389613]","[1840, 0.19930748220374217]","[1965, 0.1984519672962147]","[1980, 0.19794681643437312]","[2012, 0.19783840456282778]","[2214, 0.19334348543123858]","[2214, 0.19323249090709688]","[2280, 0.19277242001554748]","[2280, 0.19225234649131384]","[2295, 0.19214072164660437]","[2442, 0.19182873928655653]","[2458, 0.19171686780179617]","[2545, 0.19125315102298515]","[2560, 0.19072893484992334]","[2592, 0.19061641789848013]","[2835, 0.185901145534706]","[2855, 0.16976380722432116]","[2855, 0.1642846368928733]","[2855, 0.16367406859911793]","[2872, 0.1635429390565379]","[2932, 0.1494902813913988]","[2932, 0.14881902782656906]","[2945, 0.14867479687797405]","[3040, 0.14241212234129555]","[3040, 0.13369533980608225]","[3054, 0.1258725322473338]","[3093, 0.11185337460454627]","[3093, 0.10052068795296133]","[3108, 0.09096208211262191]","[3123, 0.08985465594519246]","[3157, 0.08961557553511901]","[3238, 0.07770953221843556]","[3238, 0.06026609904183068]","[3251, 0.058581238519557474]","[3279, 0.058213861664959086]","[5182, 0.035317499536150765]","[5182, 0.032358686411094455]","[5198, 0.03168874831408237]","[5291, 0.028750428626415928]","[5307, 0.025026904702103617]","[5341, 0.024154464233964806]","[5481, 0.021532450947852267]","[5517, 0.020511914276424154]",,,,,,,,,,,
2,"[0, 0.6002109521701217]","[232, 0.12918260756005162]","[242, 0.12404540078377366]","[269, 0.12238888892236786]","[304, 0.12234053487701689]","[354, 0.09870821928289769]","[365, 0.09188268560285633]","[394, 0.0896337357786565]","[428, 0.08956770027181057]","[481, 0.08746977518742494]","[516, 0.08740210474400228]","[619, 0.08486672599920046]","[647, 0.08359285257847866]","[647, 0.07682106834336591]","[698, 0.07411649760654344]","[756, 0.07403662309832645]","[901, 0.06631110261332583]","[958, 0.06315806366442603]","[5566, 0.06179898277867442]","[5628, 0.06170316535496202]","[5776, 0.05218257740676639]","[5833, 0.04811236910460583]","[10940, 0.046219510787007825]","[15831, 0.044624141059594634]","[15889, 0.04449135093082124]","[16023, 0.029920245280426232]","[16077, 0.02206807090992623]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"[0, 0.6149589131297593]","[232, 0.45303058320706374]","[232, 0.4527810586736949]","[242, 0.42013790847230675]","[253, 0.41986883655282636]","[278, 0.4177060941509343]","[290, 0.41743545472751686]","[319, 0.4100146126194346]","[334, 0.4072469828672755]","[357, 0.4029694338489799]","[367, 0.38051957571955736]","[399, 0.37786394276688096]","[399, 0.37753578638167]","[447, 0.3605718210401741]","[458, 0.35547071321046814]","[492, 0.35262648750186026]","[492, 0.35227482232398166]","[550, 0.3509702696034392]","[550, 0.3506169432600256]","[620, 0.3430421551182611]","[620, 0.34301028143619067]","[647, 0.33767633913307077]","[647, 0.3376439589168837]","[706, 0.33464825523317315]","[724, 0.3342776772177589]","[813, 0.33290260616014733]","[832, 0.3325300827650205]","[934, 0.32353855966337947]","[934, 0.3235047643726561]","[963, 0.317843655609461]","[963, 0.31780925473299115]","[1025, 0.3146247513014194]","[1044, 0.3142305600780631]","[1159, 0.3141296784858537]","[1198, 0.31373486523037103]","[1336, 0.30935677332917594]","[1372, 0.3060843428569647]","[1372, 0.30567913847312694]","[1418, 0.28446177920253984]","[1428, 0.27796743271326957]","[1462, 0.2743208074258072]","[1462, 0.27386861109342203]","[1518, 0.2721885299647249]","[1535, 0.2717327852870374]","[1602, 0.26188620789768274]","[1602, 0.2618444554879517]","[1627, 0.25481714170981473]","[1627, 0.254774230823907]","[1686, 0.2507905907913098]","[1704, 0.25029588727134017]","[2490, 0.24950187331485074]","[2506, 0.2490046094816581]","[2563, 0.2357618826017075]","[2574, 0.2357155028220565]","[2612, 0.22788386320675016]","[2623, 0.2278358797309731]","[8036, 0.22647160215261966]","[8036, 0.22642331939163876]","[8057, 0.2182585082046195]","[8057, 0.21820840814794368]","[8110, 0.2135437218089081]","[8126, 0.21296251285025156]","[18540, 0.20770804919253671]","[18550, 0.20765540369112206]","[20657, 0.20705064791145933]","[20668, 0.20699783521406379]","[29658, 0.204083927982196]","[29673, 0.20403034735890582]","[29711, 0.18982792215159508]","[29722, 0.18977031646478765]",,,,,,,,,,,,,,,,,,,,,,
4,"[0, 0.6568863134256281]","[232, 0.2715492437517403]","[232, 0.26905268387089804]","[242, 0.2593317456001747]","[253, 0.25671639836992305]","[280, 0.25424391311349154]","[315, 0.24979095307833743]","[315, 0.24696795154158752]","[364, 0.24023468895254302]","[377, 0.23740905772972612]","[404, 0.23473329302711196]","[440, 0.2332934095595031]","[440, 0.2302682431269275]","[473, 0.2299027440894857]","[473, 0.22683236230471898]","[531, 0.2265154630413507]","[617, 0.22530071423214604]","[634, 0.2226575153924717]","[634, 0.21910231846497258]","[649, 0.21705670587867687]","[710, 0.21672551297666975]","[794, 0.21616651038031906]","[794, 0.2159428090316088]","[812, 0.2128981189650776]","[812, 0.21267097973471985]","[887, 0.20929870756015226]","[887, 0.2055125440996915]","[917, 0.20220227668925728]","[962, 0.2014915313972131]","[1012, 0.19846461008239547]","[1012, 0.19833178108419666]","[1067, 0.19687116323656556]","[1067, 0.19662551074714524]","[1085, 0.19327675432648952]","[1085, 0.19302652751743601]","[1141, 0.19284115668107768]","[1141, 0.19259036391406825]","[1159, 0.1891701894035096]","[1159, 0.1889145233205139]","[1247, 0.1887900817496987]","[1247, 0.18853390021297287]","[1347, 0.18520269138235426]","[1408, 0.18442644447514223]","[1482, 0.18138120379369133]","[1482, 0.18111454290615614]","[1498, 0.18096897962075792]","[1573, 0.17936702905235133]","[1624, 0.17541430945031478]","[1859, 0.17493423880717163]","[1912, 0.170879012040415]","[2438, 0.17045812143751474]","[3632, 0.17013548882926965]","[3632, 0.16545555703920026]","[3648, 0.162736993229346]","[3708, 0.16229498875019657]","[3793, 0.16154775024255322]","[3793, 0.16126074738045637]","[3811, 0.1571474608681098]","[3811, 0.15685240672226586]","[3981, 0.1522355555866497]","[3981, 0.14698680614515514]","[4015, 0.142321734449608]","[4063, 0.1413101292307805]","[4119, 0.1369595445873819]","[4119, 0.1367669945069185]","[4174, 0.13464015119029027]","[4192, 0.12932756535792347]","[4302, 0.12867566634186017]","[4321, 0.12310595419144223]","[5075, 0.12255365101742997]","[5125, 0.1169177159103501]","[5190, 0.11568417705187038]","[5267, 0.11076487027968009]","[5284, 0.11052669551265334]","[5491, 0.11024597053271425]","[5540, 0.10369099704199901]","[18341, 0.10087469583750328]","[18341, 0.10039442625348328]","[18402, 0.09913894412954719]","[18932, 0.09895512795828852]","[18983, 0.09768114848626953]","[20326, 0.09592467253703439]","[22298, 0.09502562951279303]","[22298, 0.09451564329125574]","[22320, 0.09423640888548505]","[22393, 0.09318098651074305]","[22459, 0.09289774044608248]","[23054, 0.0873356691917246]","[24562, 0.08567727609840028]",,,
