,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
0,"[0, 0.7570467725314812]","[197, 0.3820389137420362]","[219, 0.3081997915773141]","[257, 0.2528917766655536]","[290, 0.25234601743603424]","[342, 0.2450448188754613]","[342, 0.2444207243932039]","[393, 0.24385600735611496]","[459, 0.2412677021318785]","[466, 0.23972581158151862]","[466, 0.23908783321952765]","[593, 0.2362454794253007]","[593, 0.23559807682593903]","[624, 0.23302964756580707]","[624, 0.23237328568455357]","[642, 0.2307719752185175]","[1333, 0.15345096321226984]","[1370, 0.15254986044418542]","[1428, 0.1393694187020028]","[1452, 0.13904839392490687]","[1493, 0.13837664788576584]","[1531, 0.13809553574684386]","[1531, 0.1380533145703613]","[1603, 0.13805324961542462]","[1679, 0.13342807612234392]","[1687, 0.1306193406204874]","[1687, 0.12944473492313935]","[1720, 0.12837523596897055]","[1784, 0.12324284222832861]","[1797, 0.1169601994537919]","[1797, 0.11239473367503741]","[1821, 0.11199641575356103]","[1867, 0.11116131507250912]","[1906, 0.11081118301758289]","[1906, 0.1107585615309785]","[1979, 0.11075848056888085]","[2090, 0.1079221854095143]","[2090, 0.107868154588001]","[2129, 0.10068807376904011]","[2129, 0.10063015884899996]","[2155, 0.09534661032743362]","[2155, 0.09528544889744064]","[2213, 0.09388949841009125]","[2224, 0.09382738716576215]","[3745, 0.09212498032768751]","[3756, 0.09045186153732662]","[3822, 0.08535284280847805]","[3822, 0.07898098300920653]","[3846, 0.07841311536256212]","[3893, 0.07145129888614117]","[3907, 0.06370381475334493]","[3953, 0.06309085771516416]","[3953, 0.06299838885154438]","[4037, 0.06299824651056565]","[4154, 0.0611842113501322]","[4154, 0.06108885650585504]","[4181, 0.05192682948293159]","[4181, 0.05181444094849191]","[4245, 0.039543495742859675]","[4257, 0.039395795793724785]","[4305, 0.02272830739798651]","[4318, 0.0224703499712993]","[6011, 0.02002863863008699]","[6042, 0.019735425914580988]","[6140, 0.014668600969737596]","[6192, 0.014265641417920498]",,,,,,,,,,,,
1,"[0, 0.3068245956238672]","[130, 0.13890094600108413]","[130, 0.13483789717568745]","[136, 0.11505874150681797]","[143, 0.11011947925729546]","[168, 0.10829160029924075]","[204, 0.09157078701328569]","[211, 0.0852818547464682]","[222, 0.04827266546783172]","[235, 0.03490037171914307]","[265, 0.028614802630927836]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"[0, 0.46504090262785136]","[196, 0.4484014450035896]","[218, 0.4483448359131854]","[250, 0.4474263193599117]","[283, 0.4473695868794297]","[335, 0.3312974634078778]","[357, 0.3296187852087549]","[392, 0.24957047283033185]","[414, 0.24733773511285448]","[450, 0.2461866839010919]","[450, 0.24596347782440084]","[450, 0.24556549143844916]","[497, 0.23928834433884652]","[530, 0.23918224797242027]","[577, 0.23809838272421333]","[577, 0.23786758700828564]","[577, 0.2374560319534479]","[626, 0.23734911653467516]","[709, 0.23392578940034536]","[709, 0.22840072103960726]","[732, 0.22663383776087534]","[732, 0.2263913547631206]","[732, 0.22595889819481255]","[773, 0.22513323528733095]","[773, 0.2246983573435134]","[785, 0.2244537834079248]","[794, 0.2240175864704915]","[851, 0.22292322843132725]","[862, 0.21782068988939637]","[862, 0.21756838473719234]","[862, 0.2171183552790585]","[902, 0.21700141982898966]","[961, 0.21625894237374446]","[961, 0.21580618229917106]","[973, 0.21555151915911291]","[983, 0.21509727002854767]","[1590, 0.14850640899044396]","[1612, 0.14472279645321318]","[1651, 0.14274668448933497]","[1651, 0.14178517151923617]","[1651, 0.14167266210489815]","[1709, 0.13161344247220913]","[1720, 0.130648429244002]","[1744, 0.1304540074993442]","[1786, 0.1282519146603121]","[1810, 0.1272614137850726]","[1849, 0.12706180955459995]","[1924, 0.1270245149454348]","[1940, 0.12689891931089253]","[2028, 0.12037444724299395]","[2028, 0.10925027219139592]","[2051, 0.10550653544072218]","[2051, 0.10420195751878099]","[2051, 0.10404881679238481]","[2092, 0.10143951927234973]","[2092, 0.10128220176988076]","[2102, 0.09992248658533429]","[2224, 0.08487382813354534]","[2236, 0.08336954195977139]","[2263, 0.08306453235464603]","[2312, 0.07956143586369635]","[2339, 0.0784102318898146]","[2339, 0.07795470416358821]","[2382, 0.07762842204982986]","[4512, 0.0773751652692465]","[4512, 0.07691350750460721]","[4535, 0.07213271097789067]","[4535, 0.07163727681338794]","[4569, 0.0703565335811778]","[4578, 0.069848502158439]","[4629, 0.06948416555224228]","[5543, 0.06924220740254035]","[5638, 0.054853897410823055]","[5646, 0.05420075181558979]","[5668, 0.02132051795794048]","[5692, 0.01957896632135931]","[5749, 0.014194305567175622]","[5785, 0.011412701115529684]"
3,"[0, 0.36645018412262864]","[197, 0.2896713943585873]","[219, 0.28759515315566553]","[254, 0.19931099784911338]","[276, 0.1962812504356741]","[314, 0.19435108935754797]","[365, 0.1942653105459229]","[431, 0.18630291110357522]","[448, 0.17760946175463957]","[455, 0.17080158052743374]","[455, 0.17029025255590796]","[462, 0.1606101753867761]","[462, 0.16006629452403923]","[502, 0.1582455215784787]","[502, 0.15769348529514546]","[814, 0.15289134594849305]","[837, 0.14994229496620828]","[837, 0.14892017685634243]","[878, 0.1474066093552362]","[878, 0.14636678495067829]","[1480, 0.14274726726665507]","[1488, 0.13418211996385548]","[1488, 0.13353063889190375]","[1496, 0.1209433331982216]","[1496, 0.12022013163352278]","[1541, 0.11778500119696839]","[1541, 0.11704228599893003]","[1944, 0.11048721678668016]","[1967, 0.106368948603709]","[2021, 0.10276366035195651]","[2844, 0.09443172425763795]","[2981, 0.09035135421311824]","[4021, 0.08168167217654082]","[4021, 0.0797898666795902]","[4062, 0.07662826587549185]","[4062, 0.07398209904117622]","[4182, 0.07153955404500967]","[4182, 0.0686976538202885]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"[0, 0.5652203413724243]","[196, 0.3279508177005259]","[218, 0.3269225635149945]","[253, 0.25497268233529374]","[275, 0.2536487580139643]","[304, 0.25360770107143843]","[334, 0.2528813209636512]","[334, 0.25227661355645326]","[382, 0.2414546712563809]","[418, 0.24069161747162715]","[418, 0.24005620586916512]","[465, 0.24001282377617333]","[517, 0.23924517137571144]","[527, 0.23860590789371589]","[597, 0.23566939365762526]","[605, 0.2326530284416814]","[605, 0.23199560103216765]","[638, 0.2312013307657588]","[647, 0.23053976360499875]","[697, 0.23049459040021342]","[746, 0.2296951297989212]","[1003, 0.22725802952570223]","[1014, 0.2241284910939214]","[1014, 0.2234459840212594]","[1058, 0.22262121243226132]","[1071, 0.22193407011993657]","[1131, 0.22188714491992176]","[1195, 0.22105655731123533]","[1799, 0.16584465898903783]","[1821, 0.16380193716791705]","[1853, 0.1637383529313633]","[1886, 0.16261102259766033]","[1886, 0.16185689103019052]","[1886, 0.16166901968357356]","[1944, 0.1444687513514415]","[1968, 0.14211911842470962]","[2009, 0.14204582859954065]","[2048, 0.13965543715624568]","[2123, 0.13959564000437596]","[2444, 0.1345768366119162]","[2444, 0.12803445139412417]","[2468, 0.12537720864880647]","[2514, 0.1252941261563358]","[2553, 0.12257749285269219]","[2630, 0.12250936019333811]","[2831, 0.11923537155317039]","[2831, 0.11216680628242266]","[2831, 0.11179879078391927]","[2855, 0.1091238568616897]","[2867, 0.10874554393407833]","[2914, 0.10864974425295258]","[2953, 0.1058952947106527]","[2977, 0.10550540569565149]","[4549, 0.09349024860597548]","[4583, 0.09280383381327964]","[4640, 0.09271382394967902]","[4952, 0.08731805406668787]","[4959, 0.08378542395612226]","[4992, 0.08301880662562473]","[5324, 0.08175737907192786]","[5332, 0.07381528061059765]","[5332, 0.0617496093412518]","[5332, 0.06107856778727896]","[5338, 0.05664423143896767]","[5345, 0.0559119499253903]","[5375, 0.055503999327499456]","[5396, 0.05475647112894585]","[5607, 0.04567581741780945]","[5626, 0.021227314925845005]","[5651, 0.019187915157958705]","[5710, 0.017964517388361127]","[5759, 0.015501647465503421]",,,,,,
