n_samples,n_samples_explained,n_features,n_trees,max_depth,avg_nnodes,avg_nleaves,avg_depth,accuracy,precision,recall,f1,ext_min,ext_avg,ext_max,lb_min,lb_avg,lb_max,init_time,runtime,order,coverage_ratio,mean_dist,mean_length,dataset
4600,5,57,15,3,14.333333333333334,7.666666666666667,3.0,0.8739130434782608,0.9201277955271565,0.7598944591029023,0.8323699421965317,383,11831.0,30429,390,11838.4,30428,0.19604229927062988,3.9140708446502686,PriorityQueue,1.0,0.003215485619200623,2.4,spambase
4600,5,57,15,3,14.333333333333334,7.666666666666667,3.0,0.8739130434782608,0.9201277955271565,0.7598944591029023,0.8323699421965317,863,1534.4,2251,2820,19836.4,38342,0.19604229927062988,6.117583274841309,Stack,1.0,0.003215485619200623,2.4,spambase
