explainer,n_samples,n_features,accuracy,precision,recall,f1,avg_nnodes,avg_nleaves,avg_depth,q,jaccard,coverage_ratio,mean_distance,mean_length,runtime
BestCandidate,3062,166,1.0,1.0,1.0,1.0,3.9,2.45,1.35,0.0,0.015350877192982455,0.0,,,0.8629999160766602
GraphMerge,3062,166,1.0,1.0,1.0,1.0,3.9,2.45,1.35,0.0,0.015350877192982455,1.0,1.0563744378712097,11.061990212071779,1.1070034503936768
BestCandidate,3062,166,1.0,1.0,1.0,1.0,3.9,2.45,1.35,0.0,0.018421052631578946,0.0,,,0.8572845458984375
GraphMerge,3062,166,1.0,1.0,1.0,1.0,3.9,2.45,1.35,0.0,0.018421052631578946,1.0,0.9998289588575737,11.853181076672104,1.0837156772613525
BestCandidate,3062,166,1.0,1.0,1.0,1.0,3.6,2.3,1.3,0.0,0.0256140350877193,0.0,,,0.878002405166626
GraphMerge,3062,166,1.0,1.0,1.0,1.0,3.6,2.3,1.3,0.0,0.0256140350877193,1.0,1.0679116751329814,11.00652528548124,1.0909991264343262
BestCandidate,3062,166,1.0,1.0,1.0,1.0,3.6,2.3,1.25,0.0,0.02368421052631579,0.0,,,0.8420016765594482
GraphMerge,3062,166,1.0,1.0,1.0,1.0,3.6,2.3,1.25,0.0,0.02368421052631579,1.0,1.0500094291014797,11.809135399673735,1.0920014381408691
BestCandidate,3062,166,1.0,1.0,1.0,1.0,3.8,2.4,1.4,0.0,0.02368421052631579,0.0,,,0.8560078144073486
GraphMerge,3062,166,1.0,1.0,1.0,1.0,3.8,2.4,1.4,0.0,0.02368421052631579,1.0,1.0883712002414176,11.877650897226754,1.090003252029419
