dataset,explainer,n_trees,max_depth,iteration,accuracy,precision,recall,f1,per_valid,avg_dist,avg_manhattan,avg_length,prep_time,explain_time,sample_time,n_explain,facet_k
cancer,FACETIndex,100,,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.331958048,,14.5,24.95266533,3.425742626,0.171287131,20,18
cancer,FACETIndex,100,,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.331958048,,14.5,24.95266533,3.437023878,0.171851194,20,19
magic,FACETIndex,100,,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.163740359,,8.15,33.13830805,0.383338213,0.019166911,20,1
magic,FACETIndex,100,,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.163740359,,8.15,33.13830805,0.464538574,0.023226929,20,2
magic,FACETIndex,100,,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.163740359,,8.15,33.13830805,0.509778976,0.025488949,20,3
magic,FACETIndex,100,,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.163740359,,8.15,33.13830805,0.641966105,0.032098305,20,4
magic,FACETIndex,100,,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.163740359,,8.15,33.13830805,0.666874647,0.033343732,20,5
cancer,FACETIndex,100,,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.331958048,,14.5,24.95266533,3.427085638,0.171354282,20,20
magic,FACETIndex,100,,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.163740359,,8.15,33.13830805,0.724810362,0.036240518,20,6
magic,FACETIndex,100,,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.163740359,,8.15,33.13830805,0.751866579,0.037593329,20,7
magic,FACETIndex,100,,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.163740359,,8.15,33.13830805,0.772130489,0.038606524,20,8
magic,FACETIndex,100,,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.163740359,,8.15,33.13830805,0.776142359,0.038807118,20,9
magic,FACETIndex,100,,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.163740359,,8.15,33.13830805,0.790728331,0.039536417,20,10
cancer,FACETIndex,100,,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.331958048,,14.5,24.95266533,3.418026447,0.170901322,20,21
magic,FACETIndex,100,,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.163740359,,8.15,33.13830805,0.791175842,0.039558792,20,11
magic,FACETIndex,100,,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.163740359,,8.15,33.13830805,0.798674822,0.039933741,20,12
magic,FACETIndex,100,,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.163740359,,8.15,33.13830805,0.801497221,0.040074861,20,13
magic,FACETIndex,100,,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.163740359,,8.15,33.13830805,0.803307295,0.040165365,20,14
cancer,FACETIndex,100,,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.331958048,,14.5,24.95266533,3.410141945,0.170507097,20,22
magic,FACETIndex,100,,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.163740359,,8.15,33.13830805,0.808698177,0.040434909,20,15
magic,FACETIndex,100,,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.163740359,,8.15,33.13830805,0.816566229,0.040828311,20,16
magic,FACETIndex,100,,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.163740359,,8.15,33.13830805,0.840819359,0.042040968,20,17
magic,FACETIndex,100,,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.163740359,,8.15,33.13830805,0.858296871,0.042914844,20,18
cancer,FACETIndex,100,,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.331958048,,14.5,24.95266533,3.435229063,0.171761453,20,23
magic,FACETIndex,100,,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.163740359,,8.15,33.13830805,0.862321377,0.043116069,20,19
magic,FACETIndex,100,,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.163740359,,8.15,33.13830805,0.85936141,0.042968071,20,20
magic,FACETIndex,100,,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.163740359,,8.15,33.13830805,0.874958038,0.043747902,20,21
magic,FACETIndex,100,,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.163740359,,8.15,33.13830805,0.877020121,0.043851006,20,22
cancer,FACETIndex,100,,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.331958048,,14.5,24.95266533,3.431984186,0.171599209,20,24
magic,FACETIndex,100,,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.163740359,,8.15,33.13830805,0.877928495,0.043896425,20,23
magic,FACETIndex,100,,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.163740359,,8.15,33.13830805,0.878619909,0.043930995,20,24
magic,FACETIndex,100,,0,0.873817035,0.878869969,0.931501231,0.90442055,1,0.163740359,,8.15,33.13830805,0.898370266,0.044918513,20,25
cancer,FACETIndex,100,,0,0.947368421,0.951219512,0.906976744,0.928571429,1,0.331958048,,14.5,24.95266533,3.428729773,0.171436489,20,25
vertebral,FACETIndex,100,,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.07079258,,3.7,22.4596734,0.046085835,0.002304292,20,1
vertebral,FACETIndex,100,,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.07079258,,3.7,22.4596734,0.071617603,0.00358088,20,2
vertebral,FACETIndex,100,,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.07079258,,3.7,22.4596734,0.085152626,0.004257631,20,3
vertebral,FACETIndex,100,,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.07079258,,3.7,22.4596734,0.092838049,0.004641902,20,4
vertebral,FACETIndex,100,,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.07079258,,3.7,22.4596734,0.099972725,0.004998636,20,5
vertebral,FACETIndex,100,,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.07079258,,3.7,22.4596734,0.108080149,0.005404007,20,6
vertebral,FACETIndex,100,,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.07079258,,3.7,22.4596734,0.115137815,0.005756891,20,7
vertebral,FACETIndex,100,,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.07079258,,3.7,22.4596734,0.118000746,0.005900037,20,8
vertebral,FACETIndex,100,,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.07079258,,3.7,22.4596734,0.129193068,0.006459653,20,9
vertebral,FACETIndex,100,,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.07079258,,3.7,22.4596734,0.130410194,0.00652051,20,10
vertebral,FACETIndex,100,,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.07079258,,3.7,22.4596734,0.136326313,0.006816316,20,11
vertebral,FACETIndex,100,,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.07079258,,3.7,22.4596734,0.137136698,0.006856835,20,12
vertebral,FACETIndex,100,,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.07079258,,3.7,22.4596734,0.147598743,0.007379937,20,13
vertebral,FACETIndex,100,,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.07079258,,3.7,22.4596734,0.152515888,0.007625794,20,14
vertebral,FACETIndex,100,,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.07079258,,3.7,22.4596734,0.151617527,0.007580876,20,15
vertebral,FACETIndex,100,,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.07079258,,3.7,22.4596734,0.155707121,0.007785356,20,16
vertebral,FACETIndex,100,,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.07079258,,3.7,22.4596734,0.163872719,0.008193636,20,17
vertebral,FACETIndex,100,,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.07079258,,3.7,22.4596734,0.172131777,0.008606589,20,18
vertebral,FACETIndex,100,,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.07079258,,3.7,22.4596734,0.173053026,0.008652651,20,19
vertebral,FACETIndex,100,,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.07079258,,3.7,22.4596734,0.184365749,0.009218287,20,20
vertebral,FACETIndex,100,,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.07079258,,3.7,22.4596734,0.1989851,0.009949255,20,21
vertebral,FACETIndex,100,,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.07079258,,3.7,22.4596734,0.207593441,0.010379672,20,22
vertebral,FACETIndex,100,,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.07079258,,3.7,22.4596734,0.218882561,0.010944128,20,23
vertebral,FACETIndex,100,,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.07079258,,3.7,22.4596734,0.227907658,0.011395383,20,24
vertebral,FACETIndex,100,,0,0.822580645,0.829787234,0.928571429,0.876404494,1,0.07079258,,3.7,22.4596734,0.226972103,0.011348605,20,25
spambase,FACETIndex,100,,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.085360286,,18.25,34.79123378,0.22697401,0.011348701,20,1
spambase,FACETIndex,100,,0,0.958695652,0.95026178,0.95026178,0.95026178,1,0.085360286,,18.25,34.79123378,0.301732779,0.015086639,20,2
