accuracy,precision,recall,f1,per_valid,avg_dist,avg_manhattan,avg_length,prep_time,explain_time,sample_time,n_explain,dataset,explainer,min_robust,iteration
0.845218353,0.72036942,0.621513944,0.66730038,1,0.245500497,0.335105467,2.6,92.40767097,10.96118832,0.548059416,20,adult,FACETIndex,0.065,1
0.845218353,0.72036942,0.621513944,0.66730038,1,0.245500497,0.335105467,2.6,92.40767097,11.15138793,0.557569396,20,adult,FACETIndex,0.07,1
0.845218353,0.72036942,0.621513944,0.66730038,1,0.245500497,0.335105467,2.6,92.40767097,11.21463203,0.560731602,20,adult,FACETIndex,0.075,1
0.845218353,0.72036942,0.621513944,0.66730038,1,0.245500497,0.335105467,2.6,92.40767097,11.17252731,0.558626366,20,adult,FACETIndex,0.08,1
0.845218353,0.72036942,0.621513944,0.66730038,1,0.245500497,0.335105467,2.6,92.40767097,11.14399862,0.557199931,20,adult,FACETIndex,0.085,1
0.845218353,0.72036942,0.621513944,0.66730038,1,0.245500497,0.335105467,2.6,92.40767097,11.21552467,0.560776234,20,adult,FACETIndex,0.09,1
0.845218353,0.72036942,0.621513944,0.66730038,1,0.245500497,0.335105467,2.6,92.40767097,11.20754576,0.560377288,20,adult,FACETIndex,0.095,1
0.845218353,0.72036942,0.621513944,0.66730038,1,0.245500497,0.335105467,2.6,92.40767097,11.18466496,0.559233248,20,adult,FACETIndex,0.1,1
0.83946932,0.704379562,0.604203936,0.65045739,1,0.157147551,0.224152396,2.85,91.62804079,8.182550669,0.409127533,20,adult,FACETIndex,0.001,2
0.83946932,0.704379562,0.604203936,0.65045739,1,0.157147551,0.224152396,2.85,91.62804079,8.264763594,0.41323818,20,adult,FACETIndex,0.005,2
0.83946932,0.704379562,0.604203936,0.65045739,1,0.157147551,0.224152396,2.85,91.62804079,8.119496107,0.405974805,20,adult,FACETIndex,0.01,2
0.83946932,0.704379562,0.604203936,0.65045739,1,0.157147551,0.224152396,2.85,91.62804079,8.016775846,0.400838792,20,adult,FACETIndex,0.015,2
0.83946932,0.704379562,0.604203936,0.65045739,1,0.157147551,0.224152396,2.85,91.62804079,8.006131649,0.400306582,20,adult,FACETIndex,0.02,2
0.83946932,0.704379562,0.604203936,0.65045739,1,0.157147551,0.224152396,2.85,91.62804079,7.956064701,0.397803235,20,adult,FACETIndex,0.025,2
0.83946932,0.704379562,0.604203936,0.65045739,1,0.157147551,0.224152396,2.85,91.62804079,8.107885361,0.405394268,20,adult,FACETIndex,0.03,2
0.83946932,0.704379562,0.604203936,0.65045739,1,0.157147551,0.224152396,2.85,91.62804079,8.209106207,0.41045531,20,adult,FACETIndex,0.035,2
0.83946932,0.704379562,0.604203936,0.65045739,1,0.157147551,0.224152396,2.85,91.62804079,8.171766996,0.40858835,20,adult,FACETIndex,0.04,2
0.83946932,0.704379562,0.604203936,0.65045739,1,0.157147551,0.224152396,2.85,91.62804079,8.161542177,0.408077109,20,adult,FACETIndex,0.045,2
0.83946932,0.704379562,0.604203936,0.65045739,1,0.157147551,0.224152396,2.85,91.62804079,8.156221867,0.407811093,20,adult,FACETIndex,0.05,2
