,explainer,dataset,iteration,facet_m,index_time,sample_time,sample_time/m=4
38,facet,glass,4.5,16,4.703104043,0.017431253,0.538424113
39,facet,glass,4.5,17,5.006909347,0.01729398,0.534183963
40,facet,glass,4.5,18,5.306359529,0.017325323,0.535152084
41,facet,glass,4.5,19,5.611941457,0.016986879,0.524698094
42,facet,glass,4.5,20,5.90486269,0.01684072,0.520183473
43,facet,glass,4.5,21,6.188238454,0.016743628,0.517184441
44,facet,glass,4.5,22,6.503114486,0.016656328,0.514487901
45,facet,glass,4.5,23,6.800941968,0.016479141,0.509014844
46,facet,glass,4.5,24,7.084531236,0.016345803,0.504896243
48,facet,magic,4.5,2,1.433297539,0.047214451,2.170516606
49,facet,magic,4.5,3,2.127264118,0.030002995,1.379281062
50,facet,magic,4.5,4,2.819581509,0.021752633,1
51,facet,magic,4.5,5,3.499257874,0.018118967,0.832955116
52,facet,magic,4.5,6,4.217083478,0.014516655,0.66735164
53,facet,magic,4.5,7,4.896185732,0.013202997,0.606960892
54,facet,magic,4.5,8,5.584655213,0.012205515,0.561105177
55,facet,magic,4.5,9,6.285782981,0.011550837,0.531008666
56,facet,magic,4.5,10,7.026155472,0.011352388,0.521885684
57,facet,magic,4.5,11,7.697509098,0.010778834,0.495518575
58,facet,magic,4.5,12,8.41917007,0.010358728,0.476205719
59,facet,magic,4.5,13,9.095461583,0.009733526,0.447464249
60,facet,magic,4.5,14,9.810475111,0.009690639,0.445492683
61,facet,magic,4.5,15,10.51981642,0.009658495,0.444014996
62,facet,magic,4.5,16,11.19977801,0.009489177,0.436231215
63,facet,magic,4.5,17,11.92150712,0.009303335,0.427687766
64,facet,magic,4.5,18,12.61274393,0.009066709,0.416809742
65,facet,magic,4.5,19,13.3277632,0.008788296,0.40401068
66,facet,magic,4.5,20,14.06410077,0.008903767,0.409319043
67,facet,magic,4.5,21,14.74416039,0.008791728,0.404168455
68,facet,magic,4.5,22,15.3011086,0.008724157,0.4010621
69,facet,magic,4.5,23,16.12090096,0.008582575,0.394553403
70,facet,magic,4.5,24,16.73262239,0.008584565,0.394644868
72,facet,spambase,4.5,2,8.324183965,0.042040884,2.315374908
73,facet,spambase,4.5,3,12.39132347,0.024175881,1.33147124
74,facet,spambase,4.5,4,16.41849639,0.018157269,1
75,facet,spambase,4.5,5,20.5456264,0.015718932,0.865710166
76,facet,spambase,4.5,6,24.51372666,0.014042811,0.773398884
77,facet,spambase,4.5,7,28.54704649,0.012888212,0.70981007
78,facet,spambase,4.5,8,32.57814672,0.012517821,0.689410988
79,facet,spambase,4.5,9,36.54849551,0.011966745,0.659060832
80,facet,spambase,4.5,10,40.45162265,0.011061113,0.609183739
81,facet,spambase,4.5,11,44.14359424,0.011071801,0.609772391
82,facet,spambase,4.5,12,47.71710913,0.011730976,0.646076029
83,facet,spambase,4.5,13,51.44741089,0.011580292,0.637777198
84,facet,spambase,4.5,14,55.14547913,0.010952941,0.603226252
85,facet,spambase,4.5,15,58.74234722,0.011447556,0.630466849
86,facet,spambase,4.5,16,62.19189708,0.011242107,0.619151883
87,facet,spambase,4.5,17,65.48327367,0.011224713,0.61819393
88,facet,spambase,4.5,18,68.72827015,0.010915931,0.601187965
89,facet,spambase,4.5,19,72.05875778,0.010630056,0.585443538
90,facet,spambase,4.5,20,75.72995994,0.010618795,0.584823373
91,facet,spambase,4.5,21,78.54322252,0.010514759,0.579093638
92,facet,spambase,4.5,22,82.18230183,0.010518777,0.579314957
93,facet,spambase,4.5,23,85.30250268,0.01049716,0.578124392
94,facet,spambase,4.5,24,88.2092612,0.01064849,0.586458808
96,facet,vertebral,4.5,2,0.763367248,0.039352176,3.020272728
97,facet,vertebral,4.5,3,1.12857008,0.019192059,1.472987217
98,facet,vertebral,4.5,4,1.503808641,0.013029345,1
99,facet,vertebral,4.5,5,1.871526694,0.010309387,0.791243706
100,facet,vertebral,4.5,6,2.261516547,0.008472314,0.650248627
101,facet,vertebral,4.5,7,2.624836397,0.007443279,0.57127038
102,facet,vertebral,4.5,8,3.001481199,0.006828686,0.524100471
103,facet,vertebral,4.5,9,3.377551436,0.006219,0.477307147
104,facet,vertebral,4.5,10,3.753158879,0.005924076,0.454671798
105,facet,vertebral,4.5,11,4.109656191,0.005610577,0.430610806
106,facet,vertebral,4.5,12,4.47481966,0.005299474,0.406733715
107,facet,vertebral,4.5,13,4.879421902,0.005037103,0.386596762
108,facet,vertebral,4.5,14,5.225873566,0.004816889,0.369695366
109,facet,vertebral,4.5,15,5.6181005,0.004872195,0.373940089
110,facet,vertebral,4.5,16,5.981075406,0.004616873,0.354344226
111,facet,vertebral,4.5,17,6.349517608,0.004633743,0.355638942
112,facet,vertebral,4.5,18,6.745610404,0.004457886,0.342141998
113,facet,vertebral,4.5,19,7.127476335,0.004446234,0.341247654
114,facet,vertebral,4.5,20,7.49171226,0.004369462,0.335355418
115,facet,vertebral,4.5,21,7.878931642,0.004313517,0.331061656
116,facet,vertebral,4.5,22,8.223764563,0.004257923,0.326794883
117,facet,vertebral,4.5,23,8.587245703,0.004199299,0.322295444
118,facet,vertebral,4.5,24,8.990434742,0.004137632,0.317562515
