dataset,explainer,n_trees,max_depth,n_rects,iteration,accuracy,precision,recall,f1,per_valid,avg_dist,avg_manhattan,avg_length,prep_time,explain_time,sample_time,n_explain
credit,FACETIndex,100,,100000,4,0.80185654,0.838240992,0.927346764,0.880545381,1,0.284504911,0.502281697,5.5,97.3607986,30.26825857,1.513412929,20
adult,FACETIndex,100,,70000,7,0.841901603,0.716174975,0.61754386,0.663212435,1,0.092845821,0.143152804,2.45,103.5993819,72.50177526,3.625088763,20
credit,FACETIndex,100,,100000,9,0.797974684,0.827666151,0.933536718,0.877419355,1,0.319886955,0.552535458,5.65,97.91603613,28.45260382,1.422630191,20
credit,FACETIndex,100,,100000,0,0.79814346,0.833268558,0.926934717,0.877609497,1,0.304691464,0.541262529,5.85,97.92755198,30.24744391,1.512372196,20
credit,FACETIndex,100,,100000,8,0.796455696,0.832293292,0.925010837,0.876206118,1,0.284856574,0.470133675,5.15,96.08194089,32.04957294,1.602478647,20
credit,FACETIndex,100,,100000,7,0.797974684,0.833462884,0.926550011,0.877544757,1,0.251242037,0.437757996,5.45,103.7081454,26.24990153,1.312495077,20
adult,FACETIndex,100,,70000,9,0.848977336,0.720734908,0.622111464,0.667801556,1,0.10801381,0.161917266,2.6,105.7887707,75.43854117,3.771927059,20
credit,FACETIndex,100,,100000,6,0.800675105,0.835826695,0.927554981,0.879305059,1,0.326628276,0.563589025,5.65,101.2975049,33.3317256,1.66658628,20
credit,FACETIndex,100,,100000,3,0.807257384,0.833045149,0.940768062,0.883635623,1,0.243350123,0.446857762,5.3,97.41950154,42.78297639,2.139148819,20
adult,FACETIndex,100,,80000,0,0.844665561,0.705549846,0.622675737,0.661527343,1,0.164883025,0.242765284,2.65,109.2897394,72.39560223,3.619780111,20
adult,FACETIndex,100,,80000,1,0.845218353,0.72036942,0.621513944,0.66730038,1,0.18749646,0.262665197,2.6,111.8008046,67.88126731,3.394063365,20
adult,FACETIndex,100,,80000,3,0.849087894,0.722166998,0.643204958,0.680402716,1,0.159240821,0.234975626,2.45,112.5733092,67.51515913,3.375757957,20
adult,FACETIndex,100,,80000,5,0.844444444,0.695847924,0.635159817,0.664120315,1,0.095731774,0.141803865,2.75,109.4295588,71.93620253,3.596810126,20
adult,FACETIndex,100,,80000,2,0.83946932,0.704379562,0.604203936,0.65045739,1,0.145028291,0.208713569,2.65,109.4259837,76.5686121,3.828430605,20
adult,FACETIndex,100,,80000,6,0.845771144,0.715562566,0.614446953,0.66116104,1,0.113240286,0.16717545,2.35,116.1806769,73.45291805,3.672645903,20
adult,FACETIndex,100,,80000,8,0.846102819,0.725864739,0.620202911,0.668886775,1,0.101627389,0.153282521,2.55,115.6169024,73.18233562,3.659116781,20
adult,FACETIndex,100,,80000,4,0.84013267,0.700553598,0.620597414,0.658156028,1,0.110712944,0.172111692,2.65,111.1725466,83.49838996,4.174919498,20
adult,FACETIndex,100,,80000,7,0.841901603,0.716174975,0.61754386,0.663212435,1,0.152130695,0.234100664,2.65,115.0431144,83.12669444,4.156334722,20
adult,FACETIndex,100,,80000,9,0.848977336,0.720734908,0.622111464,0.667801556,1,0.143866569,0.192829816,2.55,116.6160903,86.41733408,4.320866704,20
adult,FACETIndex,100,,90000,0,0.844665561,0.705549846,0.622675737,0.661527343,1,0.172016869,0.262443334,2.7,120.3484631,81.46232724,4.073116362,20
adult,FACETIndex,100,,90000,1,0.845218353,0.72036942,0.621513944,0.66730038,1,0.224195679,0.357231286,2.6,122.5311272,76.49185181,3.82459259,20
adult,FACETIndex,100,,90000,3,0.849087894,0.722166998,0.643204958,0.680402716,1,0.096740208,0.142806435,2.4,122.4740422,76.24584985,3.812292492,20
adult,FACETIndex,100,,90000,5,0.844444444,0.695847924,0.635159817,0.664120315,1,0.097319795,0.142602963,2.3,119.8692698,80.70640969,4.035320485,20
adult,FACETIndex,100,,90000,2,0.83946932,0.704379562,0.604203936,0.65045739,1,0.148633438,0.219923698,2.95,120.5088511,85.93416333,4.296708167,20
adult,FACETIndex,100,,90000,8,0.846102819,0.725864739,0.620202911,0.668886775,1,0.085802383,0.125890637,2.4,127.2360206,82.04685664,4.102342832,20
adult,FACETIndex,100,,90000,6,0.845771144,0.715562566,0.614446953,0.66116104,1,0.108613492,0.15625851,2.35,129.4423199,83.9996314,4.19998157,20
adult,FACETIndex,100,,90000,4,0.84013267,0.700553598,0.620597414,0.658156028,1,0.118293377,0.173670334,2.35,121.9289558,93.12200212,4.656100106,20
adult,FACETIndex,100,,90000,7,0.841901603,0.716174975,0.61754386,0.663212435,1,0.097988744,0.156730578,2.6,126.2492387,92.9858501,4.649292505,20
adult,FACETIndex,100,,90000,9,0.848977336,0.720734908,0.622111464,0.667801556,1,0.111286622,0.161686391,2.4,128.7404094,97.54076004,4.877038002,20
adult,FACETIndex,100,,100000,0,0.844665561,0.705549846,0.622675737,0.661527343,1,0.108392143,0.159615448,2.55,131.0420718,90.02311492,4.501155746,20
adult,FACETIndex,100,,100000,1,0.845218353,0.72036942,0.621513944,0.66730038,1,0.14976145,0.227628666,2.45,133.519165,85.01625466,4.250812733,20
adult,FACETIndex,100,,100000,3,0.849087894,0.722166998,0.643204958,0.680402716,1,0.132152682,0.181844253,2.25,133.561882,83.93890381,4.19694519,20
adult,FACETIndex,100,,100000,5,0.844444444,0.695847924,0.635159817,0.664120315,1,0.093674353,0.140410411,2.45,130.5133929,89.67334867,4.483667433,20
adult,FACETIndex,100,,100000,2,0.83946932,0.704379562,0.604203936,0.65045739,1,0.136140747,0.187457476,2.7,130.9709363,95.98786497,4.799393249,20
adult,FACETIndex,100,,100000,8,0.846102819,0.725864739,0.620202911,0.668886775,1,0.086239258,0.125227159,2.3,139.3222473,91.3950963,4.569754815,20
adult,FACETIndex,100,,100000,6,0.845771144,0.715562566,0.614446953,0.66116104,1,0.101638131,0.140326725,2.15,141.4977219,91.3452971,4.567264855,20
adult,FACETIndex,100,,100000,4,0.84013267,0.700553598,0.620597414,0.658156028,1,0.106674127,0.162951903,2.45,132.7657256,102.7064793,5.135323966,20
adult,FACETIndex,100,,100000,7,0.841901603,0.716174975,0.61754386,0.663212435,1,0.094378071,0.142398246,2.5,138.5988746,102.7241485,5.136207426,20
adult,FACETIndex,100,,100000,9,0.848977336,0.720734908,0.622111464,0.667801556,1,0.118970228,0.175378695,2.45,141.3787487,107.4224646,5.37112323,20
