dataset,explainer,n_trees,max_depth,n_rects,iteration,accuracy,precision,recall,f1,per_valid,avg_dist,avg_manhattan,avg_length,prep_time,explain_time,sample_time,n_explain
vertebral,FACETIndex,100,,10000,1,0.85483871,0.863636364,0.926829268,0.894117647,1,0.092028255,,3.55,8.167988062,2.017512321,0.100875616,20
cancer,FACETIndex,100,,20000,1,0.956140351,0.939393939,0.911764706,0.925373134,1,0.297354468,,12.1,16.39745212,3.894004583,0.194700229,20
glass,FACETIndex,100,,20000,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.229252767,,5.6,16.52597117,2.3253479,0.116267395,20
magic,FACETIndex,100,,20000,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.107492316,,8.75,22.90911961,3.863548756,0.193177438,20
spambase,FACETIndex,100,,20000,1,0.955434783,0.959302326,0.924369748,0.941512126,1,0.068088994,,17.9,17.80919766,4.766617537,0.238330877,20
vertebral,FACETIndex,100,,20000,1,0.85483871,0.863636364,0.926829268,0.894117647,1,0.087032066,,3.4,16.29958701,3.972716093,0.198635805,20
cancer,FACETIndex,100,,30000,1,0.956140351,0.939393939,0.911764706,0.925373134,1,0.284095407,,12.8,24.38504672,5.738096237,0.286904812,20
glass,FACETIndex,100,,30000,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.233066872,,5.8,24.74329352,3.200337887,0.160016894,20
magic,FACETIndex,100,,30000,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.106727824,,8.45,31.85066128,5.610215664,0.280510783,20
spambase,FACETIndex,100,,30000,1,0.955434783,0.959302326,0.924369748,0.941512126,1,0.0608592,,16.05,26.14244461,7.16992259,0.35849613,20
vertebral,FACETIndex,100,,30000,1,0.85483871,0.863636364,0.926829268,0.894117647,1,0.087525325,,3.2,24.27875304,5.903286457,0.295164323,20
cancer,FACETIndex,100,,40000,1,0.956140351,0.939393939,0.911764706,0.925373134,1,0.285536822,,11.45,32.71355724,7.74468112,0.387234056,20
glass,FACETIndex,100,,40000,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.232882295,,5.65,33.1644485,3.959846973,0.197992349,20
magic,FACETIndex,100,,40000,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.102479038,,8.55,41.08420277,7.556969643,0.377848482,20
spambase,FACETIndex,100,,40000,1,0.955434783,0.959302326,0.924369748,0.941512126,1,0.060934291,,17.55,34.68133569,9.682251453,0.484112573,20
vertebral,FACETIndex,100,,40000,1,0.85483871,0.863636364,0.926829268,0.894117647,1,0.082574194,,3.55,32.35835075,7.723766565,0.386188328,20
cancer,FACETIndex,100,,50000,1,0.956140351,0.939393939,0.911764706,0.925373134,1,0.280785107,,11.25,40.97521353,9.534916639,0.476745832,20
glass,FACETIndex,100,,50000,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.231826369,,5.55,41.24584484,4.569369555,0.228468478,20
magic,FACETIndex,100,,50000,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.103240522,,8.9,49.60009623,9.317117214,0.465855861,20
spambase,FACETIndex,100,,50000,1,0.955434783,0.959302326,0.924369748,0.941512126,1,0.059949426,,16.65,43.2387538,12.06456447,0.603228223,20
vertebral,FACETIndex,100,,50000,1,0.85483871,0.863636364,0.926829268,0.894117647,1,0.08661099,,3.7,40.65007162,9.774986029,0.488749301,20
cancer,FACETIndex,100,,60000,1,0.956140351,0.939393939,0.911764706,0.925373134,1,0.273771801,,12.45,49.01988029,11.13052988,0.556526494,20
glass,FACETIndex,100,,60000,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.232440954,,5.85,49.65868068,5.262555599,0.26312778,20
magic,FACETIndex,100,,60000,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.101416823,,9,58.83478189,10.77042484,0.538521242,20
spambase,FACETIndex,100,,60000,1,0.955434783,0.959302326,0.924369748,0.941512126,1,0.059479897,,16.3,51.13033295,14.55890417,0.727945209,20
vertebral,FACETIndex,100,,60000,1,0.85483871,0.863636364,0.926829268,0.894117647,1,0.081808176,,3.7,48.47370005,11.66140676,0.583070338,20
cancer,FACETIndex,100,,70000,1,0.956140351,0.939393939,0.911764706,0.925373134,1,0.267575734,,12.05,57.1911695,13.22658181,0.661329091,20
glass,FACETIndex,100,,70000,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.229377035,,5.55,57.43740821,5.871886015,0.293594301,20
magic,FACETIndex,100,,70000,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.100329832,,8.85,67.70102406,12.71076918,0.635538459,20
spambase,FACETIndex,100,,70000,1,0.955434783,0.959302326,0.924369748,0.941512126,1,0.054789279,,16.95,59.73054051,16.83149552,0.841574776,20
vertebral,FACETIndex,100,,70000,1,0.85483871,0.863636364,0.926829268,0.894117647,1,0.080653854,,3.55,56.87025118,13.34765148,0.667382574,20
cancer,FACETIndex,100,,80000,1,0.956140351,0.939393939,0.911764706,0.925373134,1,0.272967437,,11,64.89579272,14.96192169,0.748096085,20
glass,FACETIndex,100,,80000,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.230890941,,5.5,66.04555964,6.548518658,0.327425933,20
magic,FACETIndex,100,,80000,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.098991748,,8.55,76.39969158,14.26023483,0.713011742,20
spambase,FACETIndex,100,,80000,1,0.955434783,0.959302326,0.924369748,0.941512126,1,0.053415661,,15.9,67.94692183,19.39719391,0.969859695,20
vertebral,FACETIndex,100,,80000,1,0.85483871,0.863636364,0.926829268,0.894117647,1,0.080824815,,3.15,65.06928134,15.16695285,0.758347642,20
cancer,FACETIndex,100,,90000,1,0.956140351,0.939393939,0.911764706,0.925373134,1,0.263458761,,11.6,73.22110128,16.87167835,0.843583918,20
glass,FACETIndex,100,,90000,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.229663218,,5.5,73.73399568,7.128351927,0.356417596,20
magic,FACETIndex,100,,90000,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.098647221,,8.85,85.27086139,15.96684647,0.798342323,20
spambase,FACETIndex,100,,90000,1,0.955434783,0.959302326,0.924369748,0.941512126,1,0.051024615,,15.2,75.69992781,21.5595839,1.077979195,20
vertebral,FACETIndex,100,,90000,1,0.85483871,0.863636364,0.926829268,0.894117647,1,0.081111692,,3.35,73.17799115,17.11315155,0.855657578,20
cancer,FACETIndex,100,,100000,1,0.956140351,0.939393939,0.911764706,0.925373134,1,0.259740131,,10.8,81.03928876,18.69964695,0.934982347,20
glass,FACETIndex,100,,100000,1,0.757575758,0.714285714,0.882352941,0.789473684,1,0.228322895,,5.7,81.90693736,7.595699072,0.379784954,20
magic,FACETIndex,100,,100000,1,0.883280757,0.887924528,0.9412,0.913786408,1,0.098364158,,8.85,93.80830741,17.40348983,0.870174491,20
spambase,FACETIndex,100,,100000,1,0.955434783,0.959302326,0.924369748,0.941512126,1,0.049112026,,16.1,84.14250803,24.38713455,1.219356728,20
vertebral,FACETIndex,100,,100000,1,0.85483871,0.863636364,0.926829268,0.894117647,1,0.079671863,,3.35,80.88545918,19.06059456,0.953029728,20
cancer,FACETIndex,100,,100,2,0.98245614,1,0.956521739,0.977777778,1,0.564687147,,16.35,0.143457651,0.030369282,0.001518464,20
glass,FACETIndex,100,,100,2,0.878787879,0.863636364,0.95,0.904761905,1,0.133386618,,6.45,0.141637325,0.027811766,0.001390588,20
magic,FACETIndex,100,,100,2,0.877760252,0.881968474,0.935562806,0.90797546,1,0.235689012,,8.85,4.685573816,0.030935764,0.001546788,20
spambase,FACETIndex,100,,100,2,0.95326087,0.951086957,0.933333333,0.942126514,1,0.134965315,,20.15,0.993366003,0.029964209,0.00149821,20
vertebral,FACETIndex,100,,100,2,0.85483871,0.888888889,0.909090909,0.898876404,1,0.18517435,,4.35,0.164367676,0.027258396,0.00136292,20
cancer,FACETIndex,100,,1000,2,0.98245614,1,0.956521739,0.977777778,1,0.44813406,,14.6,0.86882019,0.240415096,0.012020755,20
glass,FACETIndex,100,,1000,2,0.878787879,0.863636364,0.95,0.904761905,1,0.109487656,,5.95,0.879264116,0.188281536,0.009414077,20
magic,FACETIndex,100,,1000,2,0.877760252,0.881968474,0.935562806,0.90797546,1,0.154925108,,9.2,5.424346924,0.242564678,0.012128234,20
spambase,FACETIndex,100,,1000,2,0.95326087,0.951086957,0.933333333,0.942126514,1,0.098343628,,20,1.718616009,0.231817961,0.011590898,20
vertebral,FACETIndex,100,,1000,2,0.85483871,0.888888889,0.909090909,0.898876404,1,0.15099823,,3.85,0.887096405,0.198624611,0.009931231,20
cancer,FACETIndex,100,,5000,2,0.98245614,1,0.956521739,0.977777778,1,0.414932016,,12.95,4.080054522,1.159642696,0.057982135,20
glass,FACETIndex,100,,5000,2,0.878787879,0.863636364,0.95,0.904761905,1,0.10411861,,5.8,4.142858982,0.767846107,0.038392305,20
magic,FACETIndex,100,,5000,2,0.877760252,0.881968474,0.935562806,0.90797546,1,0.129642406,,8.95,9.123660326,1.187749863,0.059387493,20
spambase,FACETIndex,100,,5000,2,0.95326087,0.951086957,0.933333333,0.942126514,1,0.075825149,,19.45,5.124857664,1.152401209,0.05762006,20
vertebral,FACETIndex,100,,5000,2,0.85483871,0.888888889,0.909090909,0.898876404,1,0.141657061,,3.7,4.127340555,0.936763287,0.046838164,20
cancer,FACETIndex,100,,10000,2,0.98245614,1,0.956521739,0.977777778,1,0.377230221,,12.7,8.145189047,2.32647419,0.116323709,20
glass,FACETIndex,100,,10000,2,0.878787879,0.863636364,0.95,0.904761905,1,0.101832743,,5.9,8.257065058,1.38353157,0.069176579,20
magic,FACETIndex,100,,10000,2,0.877760252,0.881968474,0.935562806,0.90797546,1,0.126047765,,8.7,13.59839225,2.33335042,0.116667521,20
spambase,FACETIndex,100,,10000,2,0.95326087,0.951086957,0.933333333,0.942126514,1,0.065790289,,17,9.283408403,2.301380873,0.115069044,20
vertebral,FACETIndex,100,,10000,2,0.85483871,0.888888889,0.909090909,0.898876404,1,0.131645125,,3.5,8.187553406,1.817841053,0.090892053,20
cancer,FACETIndex,100,,20000,2,0.98245614,1,0.956521739,0.977777778,1,0.361690249,,12.55,16.28621197,4.586480618,0.229324031,20
glass,FACETIndex,100,,20000,2,0.878787879,0.863636364,0.95,0.904761905,1,0.100807487,,5.55,16.32224488,2.410931587,0.120546579,20
magic,FACETIndex,100,,20000,2,0.877760252,0.881968474,0.935562806,0.90797546,1,0.119239402,,9,22.4708035,4.594482899,0.229724145,20
spambase,FACETIndex,100,,20000,2,0.95326087,0.951086957,0.933333333,0.942126514,1,0.058093182,,16.65,17.71301103,4.673395395,0.23366977,20
vertebral,FACETIndex,100,,20000,2,0.85483871,0.888888889,0.909090909,0.898876404,1,0.127339155,,3.75,16.1924572,3.647578001,0.1823789,20
cancer,FACETIndex,100,,30000,2,0.98245614,1,0.956521739,0.977777778,1,0.366268834,,12.25,24.23529267,6.904839277,0.345241964,20
glass,FACETIndex,100,,30000,2,0.878787879,0.863636364,0.95,0.904761905,1,0.10016603,,5.55,24.41621423,3.342857838,0.167142892,20
magic,FACETIndex,100,,30000,2,0.877760252,0.881968474,0.935562806,0.90797546,1,0.113909033,,9.1,31.29909658,6.839444399,0.34197222,20
spambase,FACETIndex,100,,30000,2,0.95326087,0.951086957,0.933333333,0.942126514,1,0.056458441,,15.8,25.77125406,6.935499191,0.34677496,20
vertebral,FACETIndex,100,,30000,2,0.85483871,0.888888889,0.909090909,0.898876404,1,0.126488936,,3.4,24.37628222,5.216135979,0.260806799,20
cancer,FACETIndex,100,,40000,2,0.98245614,1,0.956521739,0.977777778,1,0.370999803,,13.15,32.25965691,9.084947109,0.454247355,20
glass,FACETIndex,100,,40000,2,0.878787879,0.863636364,0.95,0.904761905,1,0.101477458,,5.6,32.99506712,4.259658098,0.212982905,20
magic,FACETIndex,100,,40000,2,0.877760252,0.881968474,0.935562806,0.90797546,1,0.110425371,,8.9,40.37491179,8.956330061,0.447816503,20
spambase,FACETIndex,100,,40000,2,0.95326087,0.951086957,0.933333333,0.942126514,1,0.056872099,,16.4,34.07103205,9.171716452,0.458585823,20
vertebral,FACETIndex,100,,40000,2,0.85483871,0.888888889,0.909090909,0.898876404,1,0.118931659,,3.5,32.33172226,6.837589025,0.341879451,20
cancer,FACETIndex,100,,50000,2,0.98245614,1,0.956521739,0.977777778,1,0.35497585,,12.5,40.15419364,11.56611919,0.57830596,20
glass,FACETIndex,100,,50000,2,0.878787879,0.863636364,0.95,0.904761905,1,0.096145426,,5.6,41.04725647,5.024341106,0.251217055,20
magic,FACETIndex,100,,50000,2,0.877760252,0.881968474,0.935562806,0.90797546,1,0.108498477,,8.75,49.26086545,11.02853966,0.551426983,20
spambase,FACETIndex,100,,50000,2,0.95326087,0.951086957,0.933333333,0.942126514,1,0.053658132,,16.4,42.46903968,11.4131875,0.570659375,20
vertebral,FACETIndex,100,,50000,2,0.85483871,0.888888889,0.909090909,0.898876404,1,0.121402403,,3.2,40.53549266,8.508469105,0.425423455,20
cancer,FACETIndex,100,,60000,2,0.98245614,1,0.956521739,0.977777778,1,0.354815923,,12,48.57081366,13.73646545,0.686823273,20
glass,FACETIndex,100,,60000,2,0.878787879,0.863636364,0.95,0.904761905,1,0.098282189,,5.45,49.49792385,5.776053905,0.288802695,20
magic,FACETIndex,100,,60000,2,0.877760252,0.881968474,0.935562806,0.90797546,1,0.108959742,,8.75,58.17505121,13.15987802,0.657993901,20
spambase,FACETIndex,100,,60000,2,0.95326087,0.951086957,0.933333333,0.942126514,1,0.053438026,,15.9,50.46405411,13.81267452,0.690633726,20
vertebral,FACETIndex,100,,60000,2,0.85483871,0.888888889,0.909090909,0.898876404,1,0.120930592,,3.45,48.43362021,10.2407732,0.51203866,20
cancer,FACETIndex,100,,70000,2,0.98245614,1,0.956521739,0.977777778,1,0.352466738,,12.45,56.2814219,15.74281001,0.787140501,20
glass,FACETIndex,100,,70000,2,0.878787879,0.863636364,0.95,0.904761905,1,0.097149552,,5.55,57.39145541,6.440439224,0.322021961,20
magic,FACETIndex,100,,70000,2,0.877760252,0.881968474,0.935562806,0.90797546,1,0.105261145,,8.5,67.51213193,15.22719741,0.76135987,20
spambase,FACETIndex,100,,70000,2,0.95326087,0.951086957,0.933333333,0.942126514,1,0.054068393,,16.2,59.35434461,16.19349384,0.809674692,20
vertebral,FACETIndex,100,,70000,2,0.85483871,0.888888889,0.909090909,0.898876404,1,0.117193789,,3.05,56.40806913,11.83182669,0.591591334,20
cancer,FACETIndex,100,,80000,2,0.98245614,1,0.956521739,0.977777778,1,0.352286944,,12.7,64.53213644,18.42298245,0.921149123,20
glass,FACETIndex,100,,80000,2,0.878787879,0.863636364,0.95,0.904761905,1,0.096227231,,5.55,65.84516382,7.163979292,0.358198965,20
magic,FACETIndex,100,,80000,2,0.877760252,0.881968474,0.935562806,0.90797546,1,0.103754174,,8.5,76.80066657,17.45216298,0.872608149,20
spambase,FACETIndex,100,,80000,2,0.95326087,0.951086957,0.933333333,0.942126514,1,0.052317036,,16.05,67.68708539,18.5239718,0.92619859,20
vertebral,FACETIndex,100,,80000,2,0.85483871,0.888888889,0.909090909,0.898876404,1,0.115435997,,3.65,64.75650668,13.52107382,0.676053691,20
cancer,FACETIndex,100,,90000,2,0.98245614,1,0.956521739,0.977777778,1,0.353918041,,12.2,73.33393073,20.60820532,1.030410266,20
glass,FACETIndex,100,,90000,2,0.878787879,0.863636364,0.95,0.904761905,1,0.096046503,,5.75,73.82601738,7.752260208,0.38761301,20
magic,FACETIndex,100,,90000,2,0.877760252,0.881968474,0.935562806,0.90797546,1,0.104135987,,8.6,85.46488714,19.46297407,0.973148704,20
spambase,FACETIndex,100,,90000,2,0.95326087,0.951086957,0.933333333,0.942126514,1,0.051794033,,16.05,76.19046974,20.97160554,1.048580277,20
vertebral,FACETIndex,100,,90000,2,0.85483871,0.888888889,0.909090909,0.898876404,1,0.117748089,,3.1,73.4498713,14.73943377,0.736971688,20
cancer,FACETIndex,100,,100000,2,0.98245614,1,0.956521739,0.977777778,1,0.348154101,,12.7,81.11383414,22.79053044,1.139526522,20
glass,FACETIndex,100,,100000,2,0.878787879,0.863636364,0.95,0.904761905,1,0.095482452,,5.5,82.77931547,8.341776609,0.41708883,20
magic,FACETIndex,100,,100000,2,0.877760252,0.881968474,0.935562806,0.90797546,1,0.101626102,,8.55,94.20753241,21.63993907,1.081996953,20
spambase,FACETIndex,100,,100000,2,0.95326087,0.951086957,0.933333333,0.942126514,1,0.050075548,,15.05,84.62907267,23.33480406,1.166740203,20
vertebral,FACETIndex,100,,100000,2,0.85483871,0.888888889,0.909090909,0.898876404,1,0.118054894,,3.35,81.02563047,16.44969511,0.822484756,20
cancer,FACETIndex,100,,100,3,0.903508772,0.871794872,0.85,0.860759494,1,0.534305615,,15.1,0.134021521,0.026674986,0.001333749,20
glass,FACETIndex,100,,100,3,0.909090909,0.913043478,0.954545455,0.933333333,1,0.159905553,,5.8,0.143801451,0.026259661,0.001312983,20
magic,FACETIndex,100,,100,3,0.864879075,0.870067014,0.934052758,0.900925212,1,0.237639442,,9.3,4.618052244,0.027049303,0.001352465,20
spambase,FACETIndex,100,,100,3,0.952173913,0.93877551,0.933333333,0.936046512,1,0.177157293,,21,4.780959129,0.029132843,0.001456642,20
vertebral,FACETIndex,100,,100,3,0.774193548,0.871794872,0.790697674,0.829268293,1,0.181791163,,5,0.163980007,0.027941465,0.001397073,20
cancer,FACETIndex,100,,1000,3,0.903508772,0.871794872,0.85,0.860759494,1,0.454417824,,15.05,0.865344524,0.208864212,0.010443211,20
glass,FACETIndex,100,,1000,3,0.909090909,0.913043478,0.954545455,0.933333333,1,0.131682339,,6.05,0.866306305,0.185707569,0.009285378,20
magic,FACETIndex,100,,1000,3,0.864879075,0.870067014,0.934052758,0.900925212,1,0.184431873,,9,5.400280237,0.208102942,0.010405147,20
spambase,FACETIndex,100,,1000,3,0.952173913,0.93877551,0.933333333,0.936046512,1,0.120465038,,20.55,1.737525702,0.225331068,0.011266553,20
vertebral,FACETIndex,100,,1000,3,0.774193548,0.871794872,0.790697674,0.829268293,1,0.110705792,,4.2,0.882524252,0.223676443,0.011183822,20
cancer,FACETIndex,100,,5000,3,0.903508772,0.871794872,0.85,0.860759494,1,0.399136627,,13.75,4.114427805,1.004526138,0.050226307,20
glass,FACETIndex,100,,5000,3,0.909090909,0.913043478,0.954545455,0.933333333,1,0.125971897,,6.1,4.133462191,0.73211956,0.036605978,20
magic,FACETIndex,100,,5000,3,0.864879075,0.870067014,0.934052758,0.900925212,1,0.146683094,,8.85,9.069464922,0.981808901,0.049090445,20
spambase,FACETIndex,100,,5000,3,0.952173913,0.93877551,0.933333333,0.936046512,1,0.091095208,,18.45,5.117337942,1.129658937,0.056482947,20
vertebral,FACETIndex,100,,5000,3,0.774193548,0.871794872,0.790697674,0.829268293,1,0.092663572,,3.85,4.091934681,1.028490067,0.051424503,20
cancer,FACETIndex,100,,10000,3,0.903508772,0.871794872,0.85,0.860759494,1,0.388375404,,13.45,8.205577612,1.982556105,0.099127805,20
glass,FACETIndex,100,,10000,3,0.909090909,0.913043478,0.954545455,0.933333333,1,0.12279472,,5.75,8.228157043,1.367264271,0.068363214,20
magic,FACETIndex,100,,10000,3,0.864879075,0.870067014,0.934052758,0.900925212,1,0.129357706,,8.2,13.40714169,1.974968672,0.098748434,20
spambase,FACETIndex,100,,10000,3,0.952173913,0.93877551,0.933333333,0.936046512,1,0.081466792,,19.3,9.273441315,2.278562069,0.113928103,20
vertebral,FACETIndex,100,,10000,3,0.774193548,0.871794872,0.790697674,0.829268293,1,0.092568306,,3.95,8.124947548,2.03463769,0.101731884,20
cancer,FACETIndex,100,,20000,3,0.903508772,0.871794872,0.85,0.860759494,1,0.375482598,,12.55,16.36308837,3.938638449,0.196931922,20
glass,FACETIndex,100,,20000,3,0.909090909,0.913043478,0.954545455,0.933333333,1,0.119847255,,5.7,16.43900776,2.352847099,0.117642355,20
magic,FACETIndex,100,,20000,3,0.864879075,0.870067014,0.934052758,0.900925212,1,0.12524639,,8.3,22.2644012,3.860141039,0.193007052,20
spambase,FACETIndex,100,,20000,3,0.952173913,0.93877551,0.933333333,0.936046512,1,0.0765461,,17.4,17.44972587,4.403989077,0.220199454,20
vertebral,FACETIndex,100,,20000,3,0.774193548,0.871794872,0.790697674,0.829268293,1,0.08492494,,3.85,16.18310452,3.981357574,0.199067879,20
cancer,FACETIndex,100,,30000,3,0.903508772,0.871794872,0.85,0.860759494,1,0.386052662,,13.6,24.48352027,5.869769812,0.293488491,20
glass,FACETIndex,100,,30000,3,0.909090909,0.913043478,0.954545455,0.933333333,1,0.121305895,,5.85,24.51915455,3.24649477,0.162324739,20
magic,FACETIndex,100,,30000,3,0.864879075,0.870067014,0.934052758,0.900925212,1,0.125516673,,8.2,30.93979716,5.624738216,0.281236911,20
spambase,FACETIndex,100,,30000,3,0.952173913,0.93877551,0.933333333,0.936046512,1,0.067217311,,17.65,25.94604301,6.820320129,0.341016006,20
vertebral,FACETIndex,100,,30000,3,0.774193548,0.871794872,0.790697674,0.829268293,1,0.082466049,,3.5,24.37410617,5.874734879,0.293736744,20
cancer,FACETIndex,100,,40000,3,0.903508772,0.871794872,0.85,0.860759494,1,0.378277999,,13.4,32.72105289,7.72132659,0.386066329,20
glass,FACETIndex,100,,40000,3,0.909090909,0.913043478,0.954545455,0.933333333,1,0.119398967,,5.7,32.79980135,4.042376995,0.20211885,20
magic,FACETIndex,100,,40000,3,0.864879075,0.870067014,0.934052758,0.900925212,1,0.121725761,,8.2,39.97841549,7.46656394,0.373328197,20
spambase,FACETIndex,100,,40000,3,0.952173913,0.93877551,0.933333333,0.936046512,1,0.065585314,,17.85,34.0280962,9.085598946,0.454279947,20
vertebral,FACETIndex,100,,40000,3,0.774193548,0.871794872,0.790697674,0.829268293,1,0.081699354,,3.8,32.45676184,7.590798855,0.379539943,20
cancer,FACETIndex,100,,50000,3,0.903508772,0.871794872,0.85,0.860759494,1,0.366333808,,12.55,40.80073881,9.492793798,0.47463969,20
glass,FACETIndex,100,,50000,3,0.909090909,0.913043478,0.954545455,0.933333333,1,0.11838478,,5.5,40.88035321,4.758789063,0.237939453,20
magic,FACETIndex,100,,50000,3,0.864879075,0.870067014,0.934052758,0.900925212,1,0.12153848,,8.2,49.19774055,9.257115364,0.462855768,20
spambase,FACETIndex,100,,50000,3,0.952173913,0.93877551,0.933333333,0.936046512,1,0.066826952,,18.25,42.82822418,11.22184873,0.561092436,20
vertebral,FACETIndex,100,,50000,3,0.774193548,0.871794872,0.790697674,0.829268293,1,0.079597935,,3.95,40.69457984,9.649815559,0.482490778,20
cancer,FACETIndex,100,,60000,3,0.903508772,0.871794872,0.85,0.860759494,1,0.361557087,,13.1,49.22108054,11.46928716,0.573464358,20
glass,FACETIndex,100,,60000,3,0.909090909,0.913043478,0.954545455,0.933333333,1,0.118800102,,5.9,49.55958247,5.435323238,0.271766162,20
magic,FACETIndex,100,,60000,3,0.864879075,0.870067014,0.934052758,0.900925212,1,0.118026517,,8.3,58.06875706,10.93622112,0.546811056,20
spambase,FACETIndex,100,,60000,3,0.952173913,0.93877551,0.933333333,0.936046512,1,0.064615388,,16.95,50.91078138,13.38876867,0.669438434,20
vertebral,FACETIndex,100,,60000,3,0.774193548,0.871794872,0.790697674,0.829268293,1,0.080151232,,3.75,48.54738903,11.29628921,0.56481446,20
cancer,FACETIndex,100,,70000,3,0.903508772,0.871794872,0.85,0.860759494,1,0.360233377,,13.6,57.07832432,13.28149891,0.664074945,20
glass,FACETIndex,100,,70000,3,0.909090909,0.913043478,0.954545455,0.933333333,1,0.117674334,,5.8,57.27226996,6.115317583,0.305765879,20
magic,FACETIndex,100,,70000,3,0.864879075,0.870067014,0.934052758,0.900925212,1,0.121274833,,8.45,66.92654538,12.77235103,0.638617551,20
spambase,FACETIndex,100,,70000,3,0.952173913,0.93877551,0.933333333,0.936046512,1,0.063130546,,16.05,58.73739839,15.6537044,0.78268522,20
vertebral,FACETIndex,100,,70000,3,0.774193548,0.871794872,0.790697674,0.829268293,1,0.080841047,,3.75,56.93493104,13.35199785,0.667599893,20
cancer,FACETIndex,100,,80000,3,0.903508772,0.871794872,0.85,0.860759494,1,0.369055351,,13.35,65.95028424,15.21798062,0.760899031,20
glass,FACETIndex,100,,80000,3,0.909090909,0.913043478,0.954545455,0.933333333,1,0.118518343,,5.5,65.87542534,6.790409565,0.339520478,20
magic,FACETIndex,100,,80000,3,0.864879075,0.870067014,0.934052758,0.900925212,1,0.11837924,,8.15,76.36100698,14.3549006,0.71774503,20
spambase,FACETIndex,100,,80000,3,0.952173913,0.93877551,0.933333333,0.936046512,1,0.06204912,,17.45,67.24972796,18.13396573,0.906698287,20
vertebral,FACETIndex,100,,80000,3,0.774193548,0.871794872,0.790697674,0.829268293,1,0.07780317,,3.5,64.53439951,14.92565298,0.746282649,20
cancer,FACETIndex,100,,90000,3,0.903508772,0.871794872,0.85,0.860759494,1,0.35548271,,13.15,73.99697137,17.1160605,0.855803025,20
glass,FACETIndex,100,,90000,3,0.909090909,0.913043478,0.954545455,0.933333333,1,0.119135781,,5.65,73.38983512,7.261571646,0.363078582,20
magic,FACETIndex,100,,90000,3,0.864879075,0.870067014,0.934052758,0.900925212,1,0.119370123,,8.3,84.81911445,16.03289485,0.801644742,20
spambase,FACETIndex,100,,90000,3,0.952173913,0.93877551,0.933333333,0.936046512,1,0.061839887,,16.75,76.1334765,19.97622371,0.998811185,20
vertebral,FACETIndex,100,,90000,3,0.774193548,0.871794872,0.790697674,0.829268293,1,0.078630517,,3.4,72.6665709,17.0182023,0.850910115,20
cancer,FACETIndex,100,,100000,3,0.903508772,0.871794872,0.85,0.860759494,1,0.363322055,,13.4,81.451998,18.97118926,0.948559463,20
glass,FACETIndex,100,,100000,3,0.909090909,0.913043478,0.954545455,0.933333333,1,0.116530283,,5.95,82.09193826,7.757505655,0.387875283,20
magic,FACETIndex,100,,100000,3,0.864879075,0.870067014,0.934052758,0.900925212,1,0.120802154,,8.25,93.88956213,17.62095928,0.881047964,20
spambase,FACETIndex,100,,100000,3,0.952173913,0.93877551,0.933333333,0.936046512,1,0.06143222,,17.65,83.63132429,22.23251653,1.111625826,20
vertebral,FACETIndex,100,,100000,3,0.774193548,0.871794872,0.790697674,0.829268293,1,0.077488876,,3.55,81.08361435,18.90628171,0.945314085,20
cancer,FACETIndex,100,,100,4,0.956140351,0.951219512,0.928571429,0.939759036,1,0.528933874,,14.4,0.137489319,0.028058052,0.001402903,20
glass,FACETIndex,100,,100,4,0.848484848,1,0.8,0.888888889,1,0.178237345,,5.9,0.141798973,0.02768755,0.001384377,20
magic,FACETIndex,100,,100,4,0.875920084,0.87831094,0.936553418,0.906497623,1,0.271930448,,8.75,4.695047379,0.026965141,0.001348257,20
spambase,FACETIndex,100,,100,4,0.945652174,0.94017094,0.919220056,0.929577465,1,0.158640959,,20.85,1.020480871,0.028369188,0.001418459,20
vertebral,FACETIndex,100,,100,4,0.822580645,0.804347826,0.948717949,0.870588235,1,0.155705558,,4.3,0.162397146,0.025176287,0.001258814,20
cancer,FACETIndex,100,,1000,4,0.956140351,0.951219512,0.928571429,0.939759036,1,0.434748349,,14.5,0.862468004,0.221630573,0.011081529,20
glass,FACETIndex,100,,1000,4,0.848484848,1,0.8,0.888888889,1,0.148594079,,5.85,0.876182556,0.188058138,0.009402907,20
magic,FACETIndex,100,,1000,4,0.875920084,0.87831094,0.936553418,0.906497623,1,0.191802711,,8.6,5.483231783,0.193351269,0.009667563,20
spambase,FACETIndex,100,,1000,4,0.945652174,0.94017094,0.919220056,0.929577465,1,0.101460716,,20,1.799900293,0.216282368,0.010814118,20
