dataset,explainer,n_trees,max_depth,iteration,accuracy,precision,recall,f1,per_valid,avg_dist,avg_manhattan,avg_length,prep_time,explain_time,sample_time,n_explain
spambase,FACETIndex,100,3,3,0.920652174,0.959459459,0.823188406,0.886115445,1,0.05,0.12,11.5,25.77551532,0.968384027,0.048,20
magic,FACETIndex,100,3,4,0.782334385,0.755295605,0.977896029,0.852301106,1,0.16,0.3,5,21.9431448,0.138245821,0.007,20
vertebral,FACETIndex,100,3,4,0.822580645,0.85,0.871794872,0.860759494,1,0.06,0.09,2.85,22.41378951,0.057117462,0.003,20
cancer,FACETIndex,100,3,3,0.877192982,0.825,0.825,0.825,1,0.38,1.08,11.75,30.11726689,2.203215837,0.11,20
compas,FACETIndex,100,3,6,0.645833333,0.676020408,0.517578125,0.586283186,1,0.07,0.07,1,19.15863872,0.027459621,0.001,20
glass,FACETIndex,100,3,6,0.818181818,0.823529412,0.823529412,0.823529412,1,0.13,0.25,4.9,18.58814311,0.134067297,0.007,20
adult,FACETIndex,100,3,7,0.81050304,0.901988636,0.278508772,0.425603217,1,0.6,1.18,2.95,20.23000097,5.045788527,0.252,20
magic,FACETIndex,100,3,5,0.783648791,0.751496063,0.985950413,0.852904379,1,0.13,0.22,4,22.50938368,0.072408199,0.004,20
credit,FACETIndex,100,3,5,0.805738397,0.82213585,0.958981002,0.885301445,1,1.01,1.87,7.55,22.18921089,2.504836559,0.125,20
compas,FACETIndex,100,3,7,0.68844697,0.675268817,0.638211382,0.656217346,1,0.14,0.14,1,19.21401286,0.040391684,0.002,20
vertebral,FACETIndex,100,3,5,0.806451613,0.846153846,0.846153846,0.846153846,1,0.05,0.08,3.25,22.54313469,0.035905838,0.002,20
spambase,FACETIndex,100,3,4,0.918478261,0.958064516,0.82729805,0.887892377,1,0.04,0.11,11.7,27.59912252,0.922968864,0.046,20
glass,FACETIndex,100,3,7,0.727272727,0.611111111,0.846153846,0.709677419,1,0.18,0.35,4.95,18.44013762,0.09328413,0.005,20
cancer,FACETIndex,100,3,4,0.938596491,0.948717949,0.880952381,0.913580247,1,0.37,1.11,12.35,31.60331917,2.93042326,0.147,20
compas,FACETIndex,100,3,8,0.678030303,0.692307692,0.6,0.642857143,1,0.11,0.11,1,19.16881704,0.049421072,0.002,20
adult,FACETIndex,100,3,8,0.810281924,0.90936107,0.2699603,0.416326531,1,1.03,2.11,4.05,20.21393037,3.055421352,0.153,20
magic,FACETIndex,100,3,6,0.816771819,0.792990501,0.97385358,0.874165012,1,0.15,0.24,4.3,22.17565656,0.143199921,0.007,20
vertebral,FACETIndex,100,3,6,0.758064516,0.731707317,0.882352941,0.8,1,0.1,0.17,3.65,21.95117474,0.069034815,0.003,20
glass,FACETIndex,100,3,8,0.757575758,0.85,0.772727273,0.80952381,1,0.12,0.22,4.75,18.70508265,0.090205908,0.005,20
credit,FACETIndex,100,3,6,0.799493671,0.818500739,0.955799914,0.881838074,1,0.85,1.38,6.35,21.8117044,3.951156616,0.198,20
spambase,FACETIndex,100,3,5,0.904347826,0.966101695,0.785123967,0.866261398,1,0.09,0.2,11.4,28.16601205,1.195276022,0.06,20
compas,FACETIndex,100,3,9,0.660037879,0.677033493,0.558185404,0.611891892,1,0.08,0.08,1,19.18615484,0.037338734,0.002,20
glass,FACETIndex,100,3,9,0.848484848,0.842105263,0.888888889,0.864864865,1,0.18,0.33,4.15,18.89408231,0.21320796,0.011,20
magic,FACETIndex,100,3,7,0.81466877,0.793885602,0.968712395,0.872628726,1,0.14,0.22,4.5,22.14933181,0.140195847,0.007,20
vertebral,FACETIndex,100,3,7,0.903225806,0.911111111,0.953488372,0.931818182,1,0.12,0.18,3.15,22.58998418,0.093183756,0.005,20
credit,FACETIndex,100,3,7,0.805063291,0.821785847,0.95830633,0.88481101,1,0.67,1.06,5.75,22.29074883,1.488641024,0.074,20
adult,FACETIndex,100,3,9,0.825207297,0.870853081,0.333031264,0.481809243,1,1.18,2.49,4.55,20.48141813,7.927122831,0.396,20
cancer,FACETIndex,100,3,5,0.947368421,0.930232558,0.930232558,0.930232558,1,0.36,1.03,11.2,33.54579234,1.906630039,0.095,20
spambase,FACETIndex,100,3,6,0.90326087,0.939873418,0.809264305,0.869692533,1,0.04,0.11,11.2,27.08185911,1.065053225,0.053,20
magic,FACETIndex,100,3,8,0.803890641,0.780670355,0.970861999,0.865440115,1,0.14,0.23,3.9,21.63166881,0.061153173,0.003,20
vertebral,FACETIndex,100,3,8,0.870967742,0.886363636,0.928571429,0.906976744,1,0.11,0.16,3.55,22.77323699,0.087998629,0.004,20
credit,FACETIndex,100,3,8,0.804725738,0.818500092,0.96272215,0.884772433,1,0.65,1.06,5.55,22.15094018,5.033932924,0.252,20
cancer,FACETIndex,100,3,6,0.964912281,0.948717949,0.948717949,0.948717949,1,0.3,0.86,11.6,33.40184927,2.26941371,0.113,20
magic,FACETIndex,100,3,9,0.815457413,0.787809648,0.979335494,0.873193642,1,0.12,0.21,4.35,21.63151169,0.107423067,0.005,20
spambase,FACETIndex,100,3,7,0.914130435,0.955271565,0.821428571,0.883308715,1,0.04,0.1,9.85,29.64397359,0.358272552,0.018,20
vertebral,FACETIndex,100,3,9,0.870967742,0.933333333,0.893617021,0.913043478,1,0.07,0.1,3.55,22.8571322,0.05525589,0.003,20
credit,FACETIndex,100,3,9,0.802194093,0.816330309,0.960775768,0.882682683,1,0.84,1.41,6.35,22.13218331,2.421866894,0.121,20
cancer,FACETIndex,100,3,7,0.956140351,0.942857143,0.916666667,0.929577465,1,0.31,0.82,10.75,29.95948696,1.75491643,0.088,20
spambase,FACETIndex,100,3,8,0.895652174,0.933933934,0.807792208,0.866295265,1,0.05,0.11,10.35,30.550982,0.432875395,0.022,20
spambase,FACETIndex,100,3,9,0.890217391,0.950177936,0.754237288,0.840944882,1,0.03,0.09,9.85,29.10406327,0.33207798,0.017,20
