dataset,explainer,n_trees,iteration,max_depth,accuracy,precision,recall,f1,per_valid,avg_dist,avg_length,prep_time,explain_time,sample_time,n_explain
glass,FACETIndex,10,1,5,0.787878788,0.75,0.882352941,0.810810811,1,0.109694684,2.55,2.528262138,0.022468328,0.001123416,20
glass,FACETIndex,50,1,5,0.757575758,0.714285714,0.882352941,0.789473684,1,0.205425752,4.85,9.67164588,0.214166641,0.010708332,20
glass,FACETIndex,200,5,5,0.787878788,0.761904762,0.888888889,0.820512821,1,0.215638776,6.15,34.71179557,0.941945791,0.04709729,20
glass,FACETIndex,500,0,5,0.848484848,0.85,0.894736842,0.871794872,1,0.23828574,6.9,82.95139766,1.226360798,0.06131804,20
glass,FACETIndex,10,1,5,0.787878788,0.75,0.882352941,0.810810811,1,0.109694684,2.55,2.514320374,0.021611691,0.001080585,20
glass,FACETIndex,100,1,5,0.757575758,0.714285714,0.882352941,0.789473684,1,0.230681567,5.8,18.32044482,0.403639078,0.020181954,20
glass,FACETIndex,50,1,5,0.757575758,0.714285714,0.882352941,0.789473684,1,0.205425752,4.85,9.571346045,0.212492228,0.010624611,20
magic,FACETIndex,10,0,5,0.831230284,0.810941828,0.960623462,0.879459256,1,0.128370001,3.55,3.689320803,0.053640604,0.00268203,20
magic,FACETIndex,10,5,5,0.805205047,0.780487805,0.965289256,0.863107334,1,0.08207734,2.55,3.704606771,0.029954433,0.001497722,20
cancer,FACETIndex,300,6,5,0.964912281,0.948717949,0.948717949,0.948717949,1,0.393495672,18.95,56.21405339,4.088966846,0.204448342,20
cancer,FACETIndex,300,1,5,0.956140351,0.967741935,0.882352941,0.923076923,1,0.390056153,18.3,56.21924305,3.681630373,0.184081519,20
glass,FACETIndex,100,1,5,0.757575758,0.714285714,0.882352941,0.789473684,1,0.230681567,5.8,18.11127758,0.400276899,0.020013845,20
magic,FACETIndex,50,0,5,0.835436383,0.816561845,0.9585726,0.881886792,1,0.197768372,4.85,14.92121506,0.29052949,0.014526474,20
magic,FACETIndex,50,5,5,0.838853838,0.811659193,0.97231405,0.884752773,1,0.115003421,4.35,14.89723563,0.096310377,0.004815519,20
glass,FACETIndex,200,1,5,0.757575758,0.714285714,0.882352941,0.789473684,1,0.255747464,6.2,34.97785759,0.721415758,0.036070788,20
glass,FACETIndex,300,5,5,0.818181818,0.8,0.888888889,0.842105263,1,0.227884148,6.65,51.20361376,1.132106066,0.056605303,20
magic,FACETIndex,100,0,5,0.835436383,0.81545961,0.960623462,0.882109228,1,0.212056915,6.4,25.20515609,0.395923138,0.019796157,20
magic,FACETIndex,100,5,5,0.835699264,0.809162935,0.970661157,0.882585008,1,0.11710388,5.05,24.78613973,0.194707394,0.00973537,20
glass,FACETIndex,200,1,5,0.757575758,0.714285714,0.882352941,0.789473684,1,0.255747464,6.2,34.64051819,0.717546225,0.035877311,20
spambase,FACETIndex,10,0,5,0.932608696,0.954545455,0.879581152,0.915531335,1,0.007611469,3.9,8.546299934,0.270124674,0.013506234,20
spambase,FACETIndex,10,5,5,0.915217391,0.943925234,0.834710744,0.885964912,1,0.01201851,4.8,8.029154301,0.178177595,0.00890888,20
glass,FACETIndex,300,1,5,0.787878788,0.75,0.882352941,0.810810811,1,0.258962865,6.6,51.22721648,0.821741819,0.041087091,20
cancer,FACETIndex,400,6,5,0.964912281,0.948717949,0.948717949,0.948717949,1,0.408097059,20.1,71.91650343,4.05343318,0.202671659,20
cancer,FACETIndex,400,1,5,0.956140351,0.967741935,0.882352941,0.923076923,1,0.411346081,19.05,71.26350498,3.703284979,0.185164249,20
magic,FACETIndex,200,0,5,0.836225026,0.816532961,0.96021329,0.882563619,1,0.228859143,7.25,43.88132048,0.451850653,0.022592533,20
magic,FACETIndex,200,5,5,0.836750789,0.809851877,0.971487603,0.883336464,1,0.12751054,5.85,43.89653087,0.251396656,0.012569833,20
spambase,FACETIndex,50,0,5,0.933695652,0.957264957,0.879581152,0.916780355,1,0.039771015,11.7,23.77488327,0.098744631,0.004937232,20
spambase,FACETIndex,50,5,5,0.923913043,0.96214511,0.840220386,0.897058824,1,0.073384151,11.5,23.97273088,0.223114252,0.011155713,20
glass,FACETIndex,300,1,5,0.787878788,0.75,0.882352941,0.810810811,1,0.258962865,6.6,50.67759013,0.809929848,0.040496492,20
glass,FACETIndex,400,5,5,0.848484848,0.842105263,0.888888889,0.864864865,1,0.234074516,6.75,67.39809513,1.152651072,0.057632554,20
spambase,FACETIndex,100,0,5,0.938043478,0.957746479,0.890052356,0.92265943,1,0.066359707,13.95,32.9579432,0.165584326,0.008279216,20
spambase,FACETIndex,100,5,5,0.925,0.965189873,0.840220386,0.898379971,1,0.111112816,15.5,33.02971554,0.42830205,0.021415102,20
glass,FACETIndex,400,1,5,0.787878788,0.75,0.882352941,0.810810811,1,0.261721039,6.7,67.37535024,0.893889189,0.044694459,20
magic,FACETIndex,300,0,5,0.83701367,0.817832168,0.959392945,0.882974707,1,0.239817118,7.25,62.42030573,0.597810268,0.029890513,20
magic,FACETIndex,300,5,5,0.835436383,0.807613169,0.973140496,0.882683658,1,0.130859193,6.55,62.68859506,0.26355195,0.013177598,20
glass,FACETIndex,400,1,5,0.787878788,0.75,0.882352941,0.810810811,1,0.261721039,6.7,66.63985968,0.887284517,0.044364226,20
cancer,FACETIndex,500,6,5,0.964912281,0.948717949,0.948717949,0.948717949,1,0.42212976,21.6,87.40371037,4.237856388,0.211892819,20
cancer,FACETIndex,500,1,5,0.956140351,0.967741935,0.882352941,0.923076923,1,0.423850446,20.35,86.85151267,3.769608974,0.188480449,20
cancer,FACETIndex,10,7,5,0.947368421,0.916666667,0.916666667,0.916666667,1,0.115613621,3.95,4.878584385,0.192366123,0.009618306,20
spambase,FACETIndex,200,0,5,0.941304348,0.958100559,0.897905759,0.927027027,1,0.100477418,19.75,50.8181591,0.213642359,0.010682118,20
cancer,FACETIndex,10,2,5,0.973684211,0.977777778,0.956521739,0.967032967,1,0.180650195,4.6,4.996819496,0.491461515,0.024573076,20
spambase,FACETIndex,200,5,5,0.925,0.965189873,0.840220386,0.898379971,1,0.146356396,19.2,50.44764113,1.041220903,0.052061045,20
glass,FACETIndex,500,5,5,0.818181818,0.8,0.888888889,0.842105263,1,0.235275484,6.65,83.63445663,1.248633623,0.062431681,20
glass,FACETIndex,10,6,5,0.787878788,0.8125,0.764705882,0.787878788,1,0.085174693,2.25,2.553704977,0.028789043,0.001439452,20
cancer,FACETIndex,50,7,5,0.956140351,0.942857143,0.916666667,0.929577465,1,0.257309076,9.6,16.5463953,2.067251444,0.103362572,20
glass,FACETIndex,50,6,5,0.878787879,0.882352941,0.882352941,0.882352941,1,0.134463222,4.9,9.691100597,0.222149134,0.011107457,20
cancer,FACETIndex,50,2,5,0.98245614,1,0.956521739,0.977777778,1,0.314550278,10.05,17.03823328,3.030888081,0.151544404,20
glass,FACETIndex,100,6,5,0.848484848,0.928571429,0.764705882,0.838709677,1,0.146339715,5.55,18.2769413,0.350455284,0.017522764,20
cancer,FACETIndex,100,7,5,0.964912281,0.944444444,0.944444444,0.944444444,1,0.305615893,12.95,24.75738549,2.655860901,0.132793045,20
