dataset,explainer,n_trees,iteration,max_depth,accuracy,precision,recall,f1,per_valid,avg_dist,avg_length,prep_time,explain_time,sample_time,n_explain
glass,FACETIndex,300,3,5,0.878787879,0.909090909,0.909090909,0.909090909,1,0.14078196,6.5,51.02723622,0.511214972,0.025560749,20
vertebral,FACETIndex,100,6,5,0.709677419,0.681818182,0.882352941,0.769230769,1,0.084747945,3.6,22.74454165,0.064037085,0.003201854,20
glass,FACETIndex,400,7,5,0.787878788,0.6875,0.846153846,0.75862069,1,0.203300562,6.1,68.01975083,0.670100451,0.033505023,20
cancer,FACETIndex,300,8,5,0.964912281,0.9375,0.97826087,0.957446809,1,0.466704194,18.95,56.47421193,4.181905985,0.209095299,20
cancer,FACETIndex,300,3,5,0.885964912,0.829268293,0.85,0.839506173,1,0.484312141,18.25,56.4423461,3.865404367,0.193270218,20
vertebral,FACETIndex,200,1,5,0.870967742,0.88372093,0.926829268,0.904761905,1,0.095231424,4.1,39.26490974,0.111963511,0.005598176,20
vertebral,FACETIndex,200,6,5,0.741935484,0.704545455,0.911764706,0.794871795,1,0.091519526,4.5,39.24858665,0.087152004,0.0043576,20
glass,FACETIndex,400,3,5,0.878787879,0.909090909,0.909090909,0.909090909,1,0.141593851,6.35,67.68855977,0.526059389,0.026302969,20
glass,FACETIndex,400,3,5,0.878787879,0.909090909,0.909090909,0.909090909,1,0.141593851,6.35,67.01902866,0.518694401,0.02593472,20
magic,FACETIndex,500,1,5,0.844111462,0.827775868,0.9632,0.890367905,1,0.164725325,7.75,98.75735354,0.185622692,0.009281135,20
magic,FACETIndex,10,2,5,0.82597266,0.81054823,0.95269168,0.875890514,1,0.082363651,2.45,3.658385754,0.039697886,0.001984894,20
spambase,FACETIndex,400,1,5,0.925,0.947204969,0.854341737,0.898379971,1,0.097773582,22.55,84.30996752,0.765997887,0.038299894,20
spambase,FACETIndex,400,6,5,0.917391304,0.94224924,0.844686649,0.890804598,1,0.097369639,21.2,84.21187449,1.548076868,0.077403843,20
magic,FACETIndex,500,6,5,0.850946372,0.834437086,0.962992759,0.894117647,1,0.17280534,7.65,99.62215066,0.368503809,0.01842519,20
magic,FACETIndex,10,7,5,0.834384858,0.816944539,0.963096671,0.884020619,1,0.070235957,2.75,3.638954639,0.016798496,0.000839925,20
magic,FACETIndex,50,2,5,0.830704522,0.813671062,0.956362153,0.879265092,1,0.114804372,4.45,14.88174081,0.18134737,0.009067369,20
vertebral,FACETIndex,300,1,5,0.870967742,0.88372093,0.926829268,0.904761905,1,0.09866358,4.5,55.5059011,0.120596409,0.00602982,20
cancer,FACETIndex,400,8,5,0.964912281,0.9375,0.97826087,0.957446809,1,0.482778857,20.3,72.01102161,4.234852791,0.21174264,20
vertebral,FACETIndex,300,6,5,0.758064516,0.711111111,0.941176471,0.810126582,1,0.096794054,4.55,55.50485444,0.091213703,0.004560685,20
glass,FACETIndex,500,7,5,0.787878788,0.6875,0.846153846,0.75862069,1,0.213335918,6.25,84.23517632,0.85733366,0.042866683,20
cancer,FACETIndex,400,3,5,0.885964912,0.829268293,0.85,0.839506173,1,0.485372508,19.6,72.03649521,4.22042942,0.211021471,20
magic,FACETIndex,50,7,5,0.84148265,0.828810021,0.955475331,0.88764673,1,0.128158083,5.5,14.69576621,0.086956263,0.004347813,20
glass,FACETIndex,10,8,5,0.848484848,0.904761905,0.863636364,0.88372093,1,0.063947886,2.6,2.504346132,0.013121843,0.000656092,20
glass,FACETIndex,50,8,5,0.848484848,0.904761905,0.863636364,0.88372093,1,0.08821223,4.3,9.64963913,0.123271942,0.006163597,20
magic,FACETIndex,100,2,5,0.827024185,0.810810811,0.954323002,0.876732859,1,0.136323737,5.95,25.24757004,0.353023529,0.017651176,20
magic,FACETIndex,100,7,5,0.840694006,0.827945777,0.955475331,0.887150838,1,0.140488841,5.95,25.06560016,0.13301158,0.006650579,20
glass,FACETIndex,100,8,5,0.848484848,0.904761905,0.863636364,0.88372093,1,0.120789319,5.2,18.1838007,0.277896881,0.013894844,20
glass,FACETIndex,500,3,5,0.878787879,0.909090909,0.909090909,0.909090909,1,0.145640216,6.7,84.38090372,0.617800951,0.030890048,20
glass,FACETIndex,10,4,5,0.848484848,1,0.8,0.888888889,1,0.059156855,2.95,2.57946229,0.016982079,0.000849104,20
glass,FACETIndex,500,3,5,0.878787879,0.909090909,0.909090909,0.909090909,1,0.145640216,6.7,83.3170495,0.609488487,0.030474424,20
glass,FACETIndex,50,4,5,0.848484848,0.954545455,0.84,0.893617021,1,0.122246819,5.05,9.686613798,0.227673531,0.011383677,20
glass,FACETIndex,10,4,5,0.848484848,1,0.8,0.888888889,1,0.059156855,2.95,2.5456388,0.016713619,0.000835681,20
glass,FACETIndex,200,8,5,0.818181818,0.863636364,0.863636364,0.863636364,1,0.144481028,6.15,34.72026634,0.5242064,0.02621032,20
magic,FACETIndex,200,2,5,0.829127234,0.813718663,0.953099511,0.877911345,1,0.146973493,6.7,43.78795743,0.369366169,0.018468308,20
glass,FACETIndex,50,4,5,0.848484848,0.954545455,0.84,0.893617021,1,0.122246819,5.05,9.586444139,0.228755713,0.011437786,20
vertebral,FACETIndex,400,1,5,0.870967742,0.88372093,0.926829268,0.904761905,1,0.098698937,4.7,71.45203137,0.125173569,0.006258678,20
vertebral,FACETIndex,400,6,5,0.758064516,0.711111111,0.941176471,0.810126582,1,0.10351183,4.65,71.40576863,0.114385843,0.005719292,20
glass,FACETIndex,100,4,5,0.818181818,0.952380952,0.8,0.869565217,1,0.141917813,5.95,18.2951014,0.393407583,0.019670379,20
magic,FACETIndex,200,7,5,0.840431125,0.826749827,0.957079824,0.887153746,1,0.156497849,6.4,43.96459031,0.176676989,0.008833849,20
spambase,FACETIndex,500,1,5,0.926086957,0.947368421,0.857142857,0.9,1,0.10670079,23.55,101.9613485,0.753027201,0.03765136,20
glass,FACETIndex,100,4,5,0.818181818,0.952380952,0.8,0.869565217,1,0.141917813,5.95,18.11294389,0.390910864,0.019545543,20
spambase,FACETIndex,500,6,5,0.915217391,0.939209726,0.841961853,0.887931034,1,0.103650565,22.5,101.4021695,1.893758774,0.094687939,20
cancer,FACETIndex,500,8,5,0.964912281,0.9375,0.97826087,0.957446809,1,0.504854671,21.35,88.06919289,4.2786057,0.213930285,20
spambase,FACETIndex,10,2,5,0.913043478,0.940298507,0.84,0.887323944,1,0.009445084,5.1,7.907773733,0.186279058,0.009313953,20
cancer,FACETIndex,500,3,5,0.885964912,0.829268293,0.85,0.839506173,1,0.495124833,19.7,87.50340867,4.244791508,0.212239575,20
spambase,FACETIndex,10,7,5,0.920652174,0.950464396,0.843406593,0.893740902,1,0.009462137,4.9,7.595200777,0.287219048,0.014360952,20
cancer,FACETIndex,10,9,5,0.956140351,1,0.88372093,0.938271605,1,0.126568743,3.5,4.448672056,0.15095067,0.007547534,20
cancer,FACETIndex,10,4,5,0.929824561,0.925,0.880952381,0.902439024,1,0.171540091,3.75,4.725391865,0.741703033,0.037085152,20
glass,FACETIndex,200,4,5,0.818181818,0.952380952,0.8,0.869565217,1,0.152545154,5.95,35.14620447,0.612666368,0.030633318,20
cancer,FACETIndex,50,9,5,0.956140351,1,0.88372093,0.938271605,1,0.312193232,9.7,16.4723742,1.950670958,0.097533548,20
spambase,FACETIndex,50,2,5,0.922826087,0.947058824,0.858666667,0.900699301,1,0.03318503,10.85,24.53253031,0.23598361,0.011799181,20
glass,FACETIndex,300,8,5,0.818181818,0.863636364,0.863636364,0.863636364,1,0.147826601,6.25,51.49962831,0.582927227,0.029146361,20
cancer,FACETIndex,50,4,5,0.929824561,0.925,0.880952381,0.902439024,1,0.313096482,9.95,16.42156005,2.503415823,0.125170791,20
spambase,FACETIndex,50,7,5,0.922826087,0.948012232,0.851648352,0.897250362,1,0.032794508,10.35,23.80125928,0.108039141,0.005401957,20
glass,FACETIndex,200,4,5,0.818181818,0.952380952,0.8,0.869565217,1,0.152545154,5.95,34.8111167,0.605731487,0.030286574,20
magic,FACETIndex,300,2,5,0.829127234,0.813500348,0.953507341,0.877957191,1,0.151255435,6.7,62.5068624,0.437911272,0.021895564,20
cancer,FACETIndex,100,9,5,0.956140351,1,0.88372093,0.938271605,1,0.357789867,12.1,24.83114767,2.551154137,0.127557707,20
magic,FACETIndex,300,7,5,0.8393796,0.825605536,0.957079824,0.88649452,1,0.162336857,7,62.45924973,0.204934835,0.010246742,20
cancer,FACETIndex,100,4,5,0.938596491,0.948717949,0.880952381,0.913580247,1,0.368150755,12.15,24.56978083,3.216110468,0.160805523,20
spambase,FACETIndex,100,2,5,0.92173913,0.944281525,0.858666667,0.899441341,1,0.052510125,14.85,33.57524872,0.285860538,0.014293027,20
spambase,FACETIndex,100,7,5,0.925,0.951070336,0.854395604,0.900144718,1,0.052524215,12.25,33.05550885,0.174204588,0.008710229,20
vertebral,FACETIndex,500,1,5,0.887096774,0.904761905,0.926829268,0.915662651,1,0.099322617,4.9,87.252738,0.125708342,0.006285417,20
vertebral,FACETIndex,500,6,5,0.741935484,0.704545455,0.911764706,0.794871795,1,0.099488898,4.85,87.11497712,0.108502865,0.005425143,20
vertebral,FACETIndex,10,2,5,0.903225806,0.913043478,0.954545455,0.933333333,1,0.081224383,1.85,3.700507641,0.016503334,0.000825167,20
vertebral,FACETIndex,10,7,5,0.822580645,0.847826087,0.906976744,0.876404494,1,0.101380654,2.5,4.076231956,0.050389528,0.002519476,20
glass,FACETIndex,300,4,5,0.818181818,0.952380952,0.8,0.869565217,1,0.160882553,6.4,51.06838846,0.799540997,0.03997705,20
glass,FACETIndex,300,4,5,0.818181818,0.952380952,0.8,0.869565217,1,0.160882553,6.4,50.69101048,0.786654472,0.039332724,20
vertebral,FACETIndex,50,2,5,0.870967742,0.909090909,0.909090909,0.909090909,1,0.118398618,2.85,14.25489116,0.097518444,0.004875922,20
vertebral,FACETIndex,50,7,5,0.903225806,0.893617021,0.976744186,0.933333333,1,0.116604994,3.1,13.69066072,0.126251221,0.006312561,20
cancer,FACETIndex,200,9,5,0.956140351,1,0.88372093,0.938271605,1,0.413819653,15.55,40.73917913,2.924977541,0.146248877,20
glass,FACETIndex,400,8,5,0.818181818,0.863636364,0.863636364,0.863636364,1,0.155448968,6.25,68.31686568,0.644351959,0.032217598,20
cancer,FACETIndex,200,4,5,0.929824561,0.925,0.880952381,0.902439024,1,0.417617846,16.15,40.2226007,3.581372976,0.179068649,20
vertebral,FACETIndex,100,2,5,0.870967742,0.909090909,0.909090909,0.909090909,1,0.124175744,3.45,22.65221739,0.170109749,0.008505487,20
vertebral,FACETIndex,100,7,5,0.919354839,0.913043478,0.976744186,0.943820225,1,0.126267566,3.95,22.50863147,0.133537531,0.006676877,20
spambase,FACETIndex,200,7,5,0.92826087,0.951515152,0.862637363,0.904899135,1,0.066103465,15.45,50.48531318,0.178710699,0.008935535,20
spambase,FACETIndex,200,2,5,0.92173913,0.941690962,0.861333333,0.899721448,1,0.073076509,19.35,50.95745778,0.523058653,0.026152933,20
magic,FACETIndex,400,2,5,0.829915878,0.815008726,0.95228385,0.878314839,1,0.155019611,7.55,80.92082238,0.461440563,0.023072028,20
magic,FACETIndex,400,7,5,0.840956887,0.828005559,0.955876454,0.887358034,1,0.163488235,7.15,81.1429894,0.196105003,0.00980525,20
glass,FACETIndex,400,4,5,0.818181818,0.952380952,0.8,0.869565217,1,0.1645542,6.45,67.65314913,0.929111004,0.04645555,20
vertebral,FACETIndex,200,2,5,0.870967742,0.928571429,0.886363636,0.906976744,1,0.133415278,3.9,38.96392298,0.217525721,0.010876286,20
vertebral,FACETIndex,200,7,5,0.919354839,0.913043478,0.976744186,0.943820225,1,0.142386477,4.4,39.26001859,0.158577919,0.007928896,20
glass,FACETIndex,400,4,5,0.818181818,0.952380952,0.8,0.869565217,1,0.1645542,6.45,66.85942149,0.919597864,0.045979893,20
cancer,FACETIndex,300,9,5,0.964912281,1,0.906976744,0.951219512,1,0.449796619,17.8,55.95801306,3.278793573,0.163939679,20
cancer,FACETIndex,300,4,5,0.929824561,0.925,0.880952381,0.902439024,1,0.442939002,18.55,55.98406577,3.775880575,0.188794029,20
spambase,FACETIndex,300,7,5,0.927173913,0.948640483,0.862637363,0.903597122,1,0.094996256,18.6,67.1958828,0.652588844,0.032629442,20
spambase,FACETIndex,300,2,5,0.923913043,0.942028986,0.866666667,0.902777778,1,0.085569431,20.65,67.23882461,0.855779409,0.04278897,20
glass,FACETIndex,500,8,5,0.818181818,0.863636364,0.863636364,0.863636364,1,0.158906038,6.35,84.67344379,0.792243004,0.03961215,20
glass,FACETIndex,10,9,5,0.848484848,0.882352941,0.833333333,0.857142857,1,0.107617909,3,2.548624277,0.030457258,0.001522863,20
glass,FACETIndex,50,9,5,0.878787879,0.9375,0.833333333,0.882352941,1,0.181929669,5.25,9.773733616,0.358412027,0.017920601,20
vertebral,FACETIndex,300,2,5,0.870967742,0.928571429,0.886363636,0.906976744,1,0.137322898,4.45,54.89823103,0.23096323,0.011548162,20
vertebral,FACETIndex,300,7,5,0.919354839,0.913043478,0.976744186,0.943820225,1,0.148475901,4.55,55.53264666,0.17352128,0.008676064,20
glass,FACETIndex,100,9,5,0.909090909,0.941176471,0.888888889,0.914285714,1,0.202872389,5.55,18.50690484,0.626147747,0.031307387,20
glass,FACETIndex,500,4,5,0.818181818,0.952380952,0.8,0.869565217,1,0.165809306,6.6,83.87263727,0.915632486,0.045781624,20
cancer,FACETIndex,400,9,5,0.956140351,1,0.88372093,0.938271605,1,0.458029316,18.8,71.98221159,3.403988361,0.170199418,20
glass,FACETIndex,500,4,5,0.818181818,0.952380952,0.8,0.869565217,1,0.165809306,6.6,82.8703649,0.903329372,0.045166469,20
cancer,FACETIndex,400,4,5,0.929824561,0.925,0.880952381,0.902439024,1,0.45378777,18.7,71.56356883,3.740553617,0.187027681,20
magic,FACETIndex,500,2,5,0.831493165,0.816276633,0.953099511,0.87939793,1,0.158843642,7.95,98.83778501,0.501107454,0.025055373,20
glass,FACETIndex,10,5,5,0.757575758,0.727272727,0.888888889,0.8,1,0.113005147,2.9,2.500775099,0.01611948,0.000805974,20
magic,FACETIndex,10,3,5,0.815194532,0.791006147,0.977218225,0.87430717,1,0.118844144,2.9,3.753980398,0.053458929,0.002672946,20
magic,FACETIndex,500,7,5,0.840168244,0.826916407,0.956277577,0.886904762,1,0.165132412,7.4,99.24260473,0.208191633,0.010409582,20
glass,FACETIndex,50,5,5,0.878787879,0.888888889,0.888888889,0.888888889,1,0.173297771,4.65,9.4499228,0.264494181,0.013224709,20
glass,FACETIndex,200,9,5,0.909090909,0.941176471,0.888888889,0.914285714,1,0.217071309,6.3,35.51691389,0.874946833,0.043747342,20
magic,FACETIndex,10,8,5,0.834384858,0.821067318,0.952650749,0.881978269,1,0.115221588,3.15,3.742749453,0.051386356,0.002569318,20
magic,FACETIndex,50,3,5,0.830178759,0.812879299,0.963629097,0.881858083,1,0.166002018,5.35,14.87002611,0.229141951,0.011457098,20
spambase,FACETIndex,400,7,5,0.927173913,0.951367781,0.85989011,0.903318903,1,0.102698299,20.15,84.18576908,0.562727928,0.028136396,20
spambase,FACETIndex,400,2,5,0.92173913,0.941690962,0.861333333,0.899721448,1,0.097521168,22.25,83.58524299,0.838468075,0.041923404,20
magic,FACETIndex,50,8,5,0.84148265,0.825662483,0.958316471,0.887057501,1,0.148466385,4.95,14.98026896,0.12833786,0.006416893,20
glass,FACETIndex,100,5,5,0.818181818,0.8,0.888888889,0.842105263,1,0.198775434,5.75,17.94777203,0.571059942,0.028552997,20
vertebral,FACETIndex,400,2,5,0.85483871,0.906976744,0.886363636,0.896551724,1,0.138871348,4.55,71.30252361,0.238414288,0.011920714,20
vertebral,FACETIndex,400,7,5,0.903225806,0.911111111,0.953488372,0.931818182,1,0.151691794,4.7,71.81220365,0.176611662,0.008830583,20
magic,FACETIndex,100,3,5,0.830178759,0.813090418,0.963229416,0.881814855,1,0.184208792,6.1,24.87021351,0.369826555,0.018491328,20
magic,FACETIndex,100,8,5,0.84148265,0.826801959,0.956292999,0.886845562,1,0.161114751,6.15,25.31099248,0.139170408,0.00695852,20
glass,FACETIndex,200,5,5,0.787878788,0.761904762,0.888888889,0.820512821,1,0.215638776,6.15,34.34066439,0.929005146,0.046450257,20
glass,FACETIndex,300,9,5,0.909090909,0.941176471,0.888888889,0.914285714,1,0.221176911,6.25,51.83331275,1.0047822,0.05023911,20
cancer,FACETIndex,500,9,5,0.956140351,1,0.88372093,0.938271605,1,0.467759549,19.75,87.7528317,3.46586132,0.173293066,20
cancer,FACETIndex,500,4,5,0.938596491,0.948717949,0.880952381,0.913580247,1,0.464929022,20.45,87.49466944,3.857882977,0.192894149,20
magic,FACETIndex,200,3,5,0.83044164,0.813788442,0.962430056,0.881889764,1,0.201911074,7.4,43.55672479,0.464771986,0.023238599,20
magic,FACETIndex,200,8,5,0.843322818,0.826768909,0.959935249,0.888389513,1,0.173715199,7.4,44.34769773,0.170233011,0.008511651,20
glass,FACETIndex,300,5,5,0.818181818,0.8,0.888888889,0.842105263,1,0.227884148,6.65,50.41749644,1.111716509,0.055585825,20
vertebral,FACETIndex,500,2,5,0.870967742,0.928571429,0.886363636,0.906976744,1,0.141946167,4.6,87.1402123,0.24614501,0.01230725,20
vertebral,FACETIndex,500,7,5,0.919354839,0.913043478,0.976744186,0.943820225,1,0.156138048,5.05,87.48476171,0.18956995,0.009478498,20
vertebral,FACETIndex,10,3,5,0.725806452,0.842105263,0.744186047,0.790123457,1,0.0548076,1.85,3.428035259,0.025868416,0.001293421,20
vertebral,FACETIndex,10,8,5,0.822580645,0.860465116,0.880952381,0.870588235,1,0.073815518,1.7,4.068912029,0.031904936,0.001595247,20
spambase,FACETIndex,500,2,5,0.922826087,0.944444444,0.861333333,0.90097629,1,0.099785093,22.6,101.9871192,0.898712635,0.044935632,20
spambase,FACETIndex,500,7,5,0.92826087,0.957055215,0.857142857,0.904347826,1,0.109807761,21.65,102.8190734,0.764991522,0.038249576,20
glass,FACETIndex,400,9,5,0.909090909,0.941176471,0.888888889,0.914285714,1,0.233758267,6.8,68.17840672,1.16891098,0.058445549,20
spambase,FACETIndex,10,3,5,0.920652174,0.941558442,0.84057971,0.88820827,1,0.00621021,3.5,8.174268723,0.397361755,0.019868088,20
spambase,FACETIndex,10,8,5,0.914130435,0.93220339,0.857142857,0.893098782,1,0.00536045,4,7.651689053,0.414031506,0.020701575,20
vertebral,FACETIndex,50,3,5,0.774193548,0.871794872,0.790697674,0.829268293,1,0.079599776,2.95,14.06778717,0.076384068,0.003819203,20
vertebral,FACETIndex,50,8,5,0.838709677,0.863636364,0.904761905,0.88372093,1,0.097846811,3.25,14.57299113,0.125945807,0.00629729,20
magic,FACETIndex,300,3,5,0.828864353,0.811931244,0.962829736,0.880965442,1,0.204348488,7.6,62.06951308,0.433504343,0.021675217,20
vertebral,FACETIndex,100,3,5,0.774193548,0.871794872,0.790697674,0.829268293,1,0.085157639,3.5,22.95503283,0.074314356,0.003715718,20
spambase,FACETIndex,50,3,5,0.927173913,0.951298701,0.849275362,0.897396631,1,0.027314198,10.05,23.88923049,0.151004076,0.007550204,20
spambase,FACETIndex,50,8,5,0.916304348,0.935028249,0.85974026,0.895805142,1,0.049795459,10.9,24.47255301,0.193509579,0.009675479,20
vertebral,FACETIndex,100,8,5,0.887096774,0.888888889,0.952380952,0.91954023,1,0.106774331,3.7,23.23129034,0.108836174,0.005441809,20
magic,FACETIndex,300,8,5,0.84384858,0.825528963,0.963172805,0.889054912,1,0.175790166,8.1,63.25006199,0.37912488,0.018956244,20
glass,FACETIndex,400,5,5,0.848484848,0.842105263,0.888888889,0.864864865,1,0.234074516,6.75,66.45485449,1.131479263,0.056573963,20
spambase,FACETIndex,100,3,5,0.933695652,0.955128205,0.863768116,0.907153729,1,0.053917248,14.4,33.26651001,0.415053606,0.02075268,20
spambase,FACETIndex,100,8,5,0.920652174,0.938202247,0.867532468,0.90148448,1,0.072367165,13.65,33.9776783,0.279743195,0.01398716,20
vertebral,FACETIndex,200,3,5,0.774193548,0.871794872,0.790697674,0.829268293,1,0.0933764,4.2,39.27343822,0.090622902,0.004531145,20
vertebral,FACETIndex,200,8,5,0.887096774,0.888888889,0.952380952,0.91954023,1,0.112213834,4.45,39.15991902,0.187935591,0.00939678,20
glass,FACETIndex,500,9,5,0.909090909,0.941176471,0.888888889,0.914285714,1,0.237756357,6.65,84.64378333,1.205635548,0.060281777,20
magic,FACETIndex,400,3,5,0.830704522,0.814488829,0.961630695,0.881964809,1,0.207800089,7.95,80.42295098,0.503848314,0.025192416,20
spambase,FACETIndex,200,3,5,0.931521739,0.95483871,0.857971014,0.903816794,1,0.078710514,18.5,51.08721066,0.656950235,0.032847512,20
spambase,FACETIndex,200,8,5,0.923913043,0.938718663,0.875324675,0.905913978,1,0.109339441,17.95,50.89278674,0.769919395,0.03849597,20
vertebral,FACETIndex,300,3,5,0.758064516,0.868421053,0.76744186,0.814814815,1,0.092602627,4.15,55.28180122,0.091566801,0.00457834,20
magic,FACETIndex,400,8,5,0.844900105,0.826675929,0.963172805,0.889719626,1,0.177648102,8.15,81.37446404,0.196728706,0.009836435,20
vertebral,FACETIndex,300,8,5,0.887096774,0.888888889,0.952380952,0.91954023,1,0.118447594,4.7,55.46331429,0.200875998,0.0100438,20
glass,FACETIndex,500,5,5,0.818181818,0.8,0.888888889,0.842105263,1,0.235275484,6.65,82.49363208,1.226494789,0.061324739,20
glass,FACETIndex,10,6,5,0.787878788,0.8125,0.764705882,0.787878788,1,0.085174693,2.25,2.534722567,0.028544903,0.001427245,20
glass,FACETIndex,50,6,5,0.878787879,0.882352941,0.882352941,0.882352941,1,0.134463222,4.9,9.566921949,0.218431234,0.010921562,20
glass,FACETIndex,100,6,5,0.848484848,0.928571429,0.764705882,0.838709677,1,0.146339715,5.55,18.01974726,0.342721701,0.017136085,20
spambase,FACETIndex,300,3,5,0.932608696,0.954983923,0.860869565,0.905487805,1,0.089383796,21.05,68.28503299,0.866815567,0.043340778,20
spambase,FACETIndex,300,8,5,0.925,0.941340782,0.875324675,0.907133244,1,0.118272942,20.1,67.56364322,0.856705189,0.042835259,20
vertebral,FACETIndex,400,3,5,0.758064516,0.868421053,0.76744186,0.814814815,1,0.095666152,4.6,71.75423646,0.106262207,0.00531311,20
glass,FACETIndex,200,6,5,0.878787879,0.933333333,0.823529412,0.875,1,0.161235689,5.9,34.48365951,0.676196575,0.033809829,20
vertebral,FACETIndex,400,8,5,0.887096774,0.888888889,0.952380952,0.91954023,1,0.116112308,5.1,72.03898168,0.207700014,0.010385001,20
magic,FACETIndex,500,3,5,0.830704522,0.814063556,0.962430056,0.882051282,1,0.206305761,8.05,99.04456282,0.480793715,0.024039686,20
magic,FACETIndex,10,4,5,0.827024185,0.815259626,0.944740074,0.875237012,1,0.098527614,3.5,3.668318272,0.025663137,0.001283157,20
magic,FACETIndex,500,8,5,0.843585699,0.825920778,0.961958721,0.888764255,1,0.181578833,8.45,100.147053,0.205464125,0.010273206,20
magic,FACETIndex,10,9,5,0.83701367,0.831896552,0.938411669,0.881949733,1,0.080897565,2.65,3.757628679,0.026775122,0.001338756,20
magic,FACETIndex,50,4,5,0.830704522,0.810493614,0.961113385,0.879400749,1,0.157436669,5.8,14.75957656,0.163550377,0.008177519,20
glass,FACETIndex,300,6,5,0.878787879,0.933333333,0.823529412,0.875,1,0.167644636,6.05,50.48411942,0.753690481,0.037684524,20
magic,FACETIndex,50,9,5,0.844637224,0.826434783,0.962722853,0.889387984,1,0.121687736,5.3,14.64776278,0.095872641,0.004793632,20
magic,FACETIndex,100,4,5,0.830178759,0.811654527,0.957838723,0.878708224,1,0.180784272,6.35,25.19396806,0.285832167,0.014291608,20
spambase,FACETIndex,400,8,5,0.926086957,0.941504178,0.877922078,0.908602151,1,0.126620476,21.3,83.95656133,0.816521406,0.04082607,20
spambase,FACETIndex,400,3,5,0.933695652,0.955128205,0.863768116,0.907153729,1,0.101740329,22.45,85.22051215,1.051371336,0.052568567,20
magic,FACETIndex,100,9,5,0.847791798,0.82897945,0.964343598,0.891552725,1,0.140922467,6.3,24.92723322,0.147735119,0.007386756,20
vertebral,FACETIndex,500,3,5,0.758064516,0.868421053,0.76744186,0.814814815,1,0.098131523,4.6,87.54898024,0.121066332,0.006053317,20
vertebral,FACETIndex,10,4,5,0.774193548,0.765957447,0.923076923,0.837209302,1,0.053182414,1.9,4.062888384,0.024826765,0.001241338,20
vertebral,FACETIndex,500,8,5,0.887096774,0.888888889,0.952380952,0.91954023,1,0.119410881,5.45,87.95061278,0.220362663,0.011018133,20
vertebral,FACETIndex,10,9,5,0.85483871,0.931818182,0.872340426,0.901098901,1,0.044026012,1.8,4.114361763,0.014883995,0.0007442,20
vertebral,FACETIndex,50,4,5,0.806451613,0.8,0.923076923,0.857142857,1,0.061962776,2.85,14.180511,0.057249308,0.002862465,20
vertebral,FACETIndex,50,9,5,0.887096774,0.954545455,0.893617021,0.923076923,1,0.077962556,3.5,14.53990459,0.076435566,0.003821778,20
magic,FACETIndex,200,4,5,0.831230284,0.811053541,0.961113385,0.879730236,1,0.190455004,7.1,43.84874463,0.335038185,0.016751909,20
glass,FACETIndex,400,6,5,0.848484848,0.928571429,0.764705882,0.838709677,1,0.171401747,6.25,66.50156665,0.860972404,0.04304862,20
vertebral,FACETIndex,100,4,5,0.838709677,0.837209302,0.923076923,0.87804878,1,0.065619569,3.4,22.60810852,0.048718214,0.002435911,20
magic,FACETIndex,200,9,5,0.846477392,0.828681089,0.962317666,0.890513686,1,0.156021267,7.25,44.35756087,0.196110964,0.009805548,20
vertebral,FACETIndex,100,9,5,0.85483871,0.931818182,0.872340426,0.901098901,1,0.082481587,4.15,23.25597477,0.091966391,0.00459832,20
vertebral,FACETIndex,200,4,5,0.806451613,0.813953488,0.897435897,0.853658537,1,0.072008096,3.85,39.14968705,0.064817429,0.003240871,20
vertebral,FACETIndex,200,9,5,0.85483871,0.931818182,0.872340426,0.901098901,1,0.095156702,4.7,39.5430131,0.109687328,0.005484366,20
spambase,FACETIndex,500,8,5,0.926086957,0.941504178,0.877922078,0.908602151,1,0.1327474,23.3,101.4974391,0.923270941,0.046163547,20
spambase,FACETIndex,500,3,5,0.933695652,0.955128205,0.863768116,0.907153729,1,0.109405525,23.25,101.8365324,1.307920218,0.065396011,20
magic,FACETIndex,300,4,5,0.833070452,0.813888889,0.959476054,0.880706369,1,0.1943281,7.75,62.40522361,0.379847288,0.018992364,20
spambase,FACETIndex,10,9,5,0.898913043,0.942372881,0.785310734,0.856702619,1,0.005235532,3.05,7.115951777,0.462923288,0.023146164,20
spambase,FACETIndex,10,4,5,0.917391304,0.940809969,0.841225627,0.888235294,1,0.007127423,5,7.74464941,0.330392361,0.016519618,20
magic,FACETIndex,300,9,5,0.847791798,0.830360266,0.96191248,0.891308429,1,0.162783362,7.7,62.617383,0.235049248,0.011752462,20
glass,FACETIndex,500,6,5,0.878787879,0.933333333,0.823529412,0.875,1,0.172967035,6.5,83.03843164,0.827427149,0.041371357,20
glass,FACETIndex,10,7,5,0.818181818,0.705882353,0.923076923,0.8,1,0.094073691,2.85,2.516518354,0.01513958,0.000756979,20
spambase,FACETIndex,50,9,5,0.897826087,0.945205479,0.779661017,0.854489164,1,0.022351759,9.25,24.06384468,0.062923431,0.003146172,20
spambase,FACETIndex,50,4,5,0.926086957,0.950464396,0.855153203,0.900293255,1,0.039814992,10.25,23.41901207,0.19449544,0.009724772,20
glass,FACETIndex,50,7,5,0.787878788,0.6875,0.846153846,0.75862069,1,0.155045397,4.3,9.421305656,0.136326551,0.006816328,20
vertebral,FACETIndex,300,4,5,0.838709677,0.837209302,0.923076923,0.87804878,1,0.075331785,4,55.06399918,0.080489397,0.00402447,20
