dataset,n_samples,n_features,n_trees,max_depth,test_size,avg_nnodes,avg_nleaves,avg_depth,accuracy_hard,precision_hard,recall_hard,f1_hard,accuracy_soft,precision_soft,recall_soft,f1_soft
cancer,568,30,20,3,0.2,12.7,6.85,3.0,0.9649122807017544,0.94,0.9791666666666666,0.9591836734693877,0.9473684210526315,0.9038461538461539,0.9791666666666666,0.9400000000000001
cancer,568,30,20,3,0.2,13.9,7.45,3.0,0.9649122807017544,0.9743589743589743,0.926829268292683,0.9500000000000001,0.9649122807017544,0.9743589743589743,0.926829268292683,0.9500000000000001
cancer,568,30,20,3,0.2,13.4,7.2,3.0,0.9298245614035088,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.9298245614035088,0.8918918918918919,0.8918918918918919,0.8918918918918919
cancer,568,30,20,3,0.2,11.4,6.2,3.0,0.9473684210526315,0.9069767441860465,0.9512195121951219,0.9285714285714286,0.9473684210526315,0.9069767441860465,0.9512195121951219,0.9285714285714286
cancer,568,30,20,3,0.2,13.1,7.05,3.0,0.9473684210526315,0.9767441860465116,0.8936170212765957,0.9333333333333332,0.9473684210526315,0.9767441860465116,0.8936170212765957,0.9333333333333332
cancer,568,30,20,3,0.2,13.3,7.15,3.0,0.9473684210526315,0.925,0.925,0.925,0.9473684210526315,0.9047619047619048,0.95,0.9268292682926829
cancer,568,30,20,3,0.2,13.2,7.1,3.0,0.9210526315789473,0.918918918918919,0.85,0.8831168831168831,0.9210526315789473,0.918918918918919,0.85,0.8831168831168831
cancer,568,30,20,3,0.2,13.6,7.3,3.0,0.9385964912280702,0.9047619047619048,0.926829268292683,0.9156626506024096,0.9385964912280702,0.9047619047619048,0.926829268292683,0.9156626506024096
cancer,568,30,20,3,0.2,12.8,6.9,3.0,0.9385964912280702,0.918918918918919,0.8947368421052632,0.9066666666666667,0.9385964912280702,0.8974358974358975,0.9210526315789473,0.9090909090909091
cancer,568,30,20,3,0.2,13.0,7.0,3.0,0.9298245614035088,0.8648648648648649,0.9142857142857143,0.888888888888889,0.9298245614035088,0.8648648648648649,0.9142857142857143,0.888888888888889
glass,162,9,20,3,0.2,12.8,6.9,3.0,0.7878787878787878,0.7272727272727273,0.9411764705882353,0.8205128205128205,0.8181818181818182,0.7619047619047619,0.9411764705882353,0.8421052631578947
glass,162,9,20,3,0.2,11.4,6.2,3.0,0.8787878787878788,0.85,0.9444444444444444,0.8947368421052632,0.9090909090909091,0.8947368421052632,0.9444444444444444,0.918918918918919
glass,162,9,20,3,0.2,11.4,6.2,3.0,0.696969696969697,0.7,0.7777777777777778,0.7368421052631577,0.7575757575757576,0.7777777777777778,0.7777777777777778,0.7777777777777778
glass,162,9,20,3,0.2,11.1,6.05,3.0,0.7878787878787878,0.7142857142857143,0.9375,0.8108108108108109,0.7575757575757576,0.7,0.875,0.7777777777777777
