n_samples,n_samples_explained,n_features,n_trees,max_depth,avg_nnodes,avg_nleaves,avg_depth,accuracy,precision,recall,f1,ext_min,ext_avg,ext_max,init_time,runtime,order,coverage_ratio,mean_dist,mean_length,dataset
4600,5,57,20,3,14.5,7.75,3.0,0.8923913043478261,0.9419354838709677,0.7828418230563002,0.8550512445095166,119383,273652.4,501962,0.3970341682434082,104.08639073371887,PriorityQueue,1.0,0.007004752173836097,5.6,spambase
4600,5,57,20,3,14.5,7.75,3.0,0.8923913043478261,0.9419354838709677,0.7828418230563002,0.8550512445095166,10552,20773.0,29010,0.3970341682434082,193.07367587089539,Stack,1.0,0.007004752173836097,5.6,spambase
