,k,accuracy,precision,recall,f1,coverage_ratio,mean_distance
0,1.0,0.9947019867549669,0.9959128065395095,0.9986338797814208,0.9972714870395634,1.0,0.09886889061979084
1,2.0,0.9933774834437086,0.9945578231292517,0.9986338797814208,0.9965916837082481,1.0,0.33582819737988595
2,3.0,0.9933774834437086,0.9959072305593452,0.9972677595628415,0.9965870307167236,0.9933774834437086,0.3994935968319616
3,4.0,0.9841059602649007,0.9931506849315068,0.9904371584699454,0.9917920656634747,0.6516556291390728,0.3845554501264884
4,5.0,0.9947019867549669,0.9959128065395095,0.9986338797814208,0.9972714870395634,1.0,0.3262733165467586
5,6.0,0.9933774834437086,0.9959072305593452,0.9972677595628415,0.9965870307167236,0.33642384105960266,0.3578700934316461
6,7.0,0.9920529801324504,0.9932065217391305,0.9986338797814208,0.9959128065395096,0.7907284768211921,0.3388840215174745
7,8.0,0.9920529801324504,0.9932065217391305,0.9986338797814208,0.9959128065395096,0.9986754966887417,0.3374377838586872
8,9.0,0.990728476821192,0.9918588873812755,0.9986338797814208,0.9952348536419334,0.766887417218543,0.32522158657672656
9,10.0,0.9920529801324504,0.9932065217391305,0.9986338797814208,0.9959128065395096,0.6357615894039735,0.38352582751830594
10,12.0,0.990728476821192,0.9945429740791268,0.9959016393442623,0.9952218430034131,0.35761589403973515,0.32826979313794585
11,13.0,0.9920529801324504,0.9932065217391305,0.9986338797814208,0.9959128065395096,0.4635761589403974,0.3555845301030927
12,14.0,0.9960264900662251,0.9959183673469387,1.0,0.9979550102249488,0.7298013245033113,0.3438723004453277
13,15.0,0.9960264900662251,0.9972714870395635,0.9986338797814208,0.9979522184300342,0.8582781456953642,0.3524214460603075
