,k,accuracy,precision,recall,f1,coverage_ratio,mean_distance
0,1.0,0.9836512261580381,0.9969325153374233,0.9848484848484849,0.9908536585365855,1.0,0.3425558528493232
1,2.0,0.9782016348773842,0.9938650306748467,0.9818181818181818,0.9878048780487805,0.9918256130790191,1.103184857208259
2,3.0,0.9809264305177112,0.9969230769230769,0.9818181818181818,0.9893129770992366,0.6267029972752043,1.1724003334495379
3,4.0,0.9863760217983651,0.9969418960244648,0.9878787878787879,0.9923896499238966,0.9700272479564033,1.105054046745636
4,5.0,0.9809264305177112,0.9938837920489296,0.9848484848484849,0.9893455098934552,0.9509536784741144,1.1525018822261701
5,6.0,0.9863760217983651,0.9969418960244648,0.9878787878787879,0.9923896499238966,0.9618528610354223,1.1213745025477948
6,7.0,0.9863760217983651,0.9969418960244648,0.9878787878787879,0.9923896499238966,0.8419618528610354,1.1750029614820836
7,8.0,0.9809264305177112,0.9938837920489296,0.9848484848484849,0.9893455098934552,0.9809264305177112,1.1373098269399224
8,9.0,0.989100817438692,0.9939393939393939,0.9939393939393939,0.9939393939393939,0.8664850136239782,1.1290767158944277
9,10.0,0.9836512261580381,0.9969325153374233,0.9848484848484849,0.9908536585365855,0.8937329700272479,1.1251548623955887
10,12.0,0.9809264305177112,0.9938837920489296,0.9848484848484849,0.9893455098934552,0.9155313351498637,1.0827458403378674
11,13.0,0.9754768392370572,0.9908256880733946,0.9818181818181818,0.9863013698630138,0.6948228882833787,1.0637420713066348
12,14.0,0.9836512261580381,0.990909090909091,0.990909090909091,0.990909090909091,0.5885558583106267,1.1271091203113355
13,15.0,0.989100817438692,0.9939393939393939,0.9939393939393939,0.9939393939393939,0.561307901907357,1.1239327870405857
